,Unnamed: 0,Unnamed: 0.1,timestamp,value,anomaly_score,label,S(t)_standard,S(t)_reward_low_FP_rate,S(t)_reward_low_FN_rate
0,0,0,2014-04-01 00:00:00,18.6221849224,0,0,-0.11,-0.22,-0.11
1,1,1,2014-04-01 00:05:00,8.1634173476,0,0,-0.11,-0.22,-0.11
2,2,2,2014-04-01 00:10:00,13.29238261,0,0,-0.11,-0.22,-0.11
3,3,3,2014-04-01 00:15:00,11.6670462193,0,0,-0.11,-0.22,-0.11
4,4,4,2014-04-01 00:20:00,12.9403575532,0,0,-0.11,-0.22,-0.11
5,5,5,2014-04-01 00:25:00,14.2773103688,0,0,-0.11,-0.22,-0.11
6,6,6,2014-04-01 00:30:00,12.7914807381,0,0,-0.11,-0.22,-0.11
7,7,7,2014-04-01 00:35:00,12.563315353299998,0,0,-0.11,-0.22,-0.11
8,8,8,2014-04-01 00:40:00,16.0599575695,0,0,-0.11,-0.22,-0.11
9,9,9,2014-04-01 00:45:00,15.544639026,0,0,-0.11,-0.22,-0.11
10,10,10,2014-04-01 00:50:00,17.1659841024,0,0,-0.11,-0.22,-0.11
11,11,11,2014-04-01 00:55:00,10.7495487936,0,0,-0.11,-0.22,-0.11
12,12,12,2014-04-01 01:00:00,14.7048136073,0,0,-0.11,-0.22,-0.11
13,13,13,2014-04-01 01:05:00,14.4371426393,0,0,-0.11,-0.22,-0.11
14,14,14,2014-04-01 01:10:00,12.0671159196,0,0,-0.11,-0.22,-0.11
15,15,15,2014-04-01 01:15:00,13.3466329609,0,0,-0.11,-0.22,-0.11
16,16,16,2014-04-01 01:20:00,11.451603576400002,0,0,-0.11,-0.22,-0.11
17,17,17,2014-04-01 01:25:00,9.5602883738,0,0,-0.11,-0.22,-0.11
18,18,18,2014-04-01 01:30:00,10.3518133173,0,0,-0.11,-0.22,-0.11
19,19,19,2014-04-01 01:35:00,9.1606501104,0,0,-0.11,-0.22,-0.11
20,20,20,2014-04-01 01:40:00,15.5137653271,0,0,-0.11,-0.22,-0.11
21,21,21,2014-04-01 01:45:00,15.2680013242,0,0,-0.11,-0.22,-0.11
22,22,22,2014-04-01 01:50:00,18.4566700874,0,0,-0.11,-0.22,-0.11
