,Unnamed: 0,Unnamed: 0.1,timestamp,value,anomaly_score,label,S(t)_standard,S(t)_reward_low_FP_rate,S(t)_reward_low_FN_rate
0,0,0,2014-04-01 00:00:00,19.761251903,0,0,-0.11,-0.22,-0.11
1,1,1,2014-04-01 00:05:00,20.500833287,0,0,-0.11,-0.22,-0.11
2,2,2,2014-04-01 00:10:00,19.9616414445,0,0,-0.11,-0.22,-0.11
3,3,3,2014-04-01 00:15:00,21.4902660734,0,0,-0.11,-0.22,-0.11
4,4,4,2014-04-01 00:20:00,20.1877394098,0,0,-0.11,-0.22,-0.11
5,5,5,2014-04-01 00:25:00,19.9231256718,0,0,-0.11,-0.22,-0.11
6,6,6,2014-04-01 00:30:00,21.6984039617,0,0,-0.11,-0.22,-0.11
7,7,7,2014-04-01 00:35:00,20.8787583842,0,0,-0.11,-0.22,-0.11
8,8,8,2014-04-01 00:40:00,18.4461996294,0,0,-0.11,-0.22,-0.11
9,9,9,2014-04-01 00:45:00,18.7108178448,0,0,-0.11,-0.22,-0.11
10,10,10,2014-04-01 00:50:00,21.1484914518,0,0,-0.11,-0.22,-0.11
11,11,11,2014-04-01 00:55:00,21.3434052847,0,0,-0.11,-0.22,-0.11
12,12,12,2014-04-01 01:00:00,20.1807633164,0,0,-0.11,-0.22,-0.11
13,13,13,2014-04-01 01:05:00,20.2178209115,0,0,-0.11,-0.22,-0.11
14,14,14,2014-04-01 01:10:00,20.5277318514,0,0,-0.11,-0.22,-0.11
15,15,15,2014-04-01 01:15:00,19.7564630971,0,0,-0.11,-0.22,-0.11
16,16,16,2014-04-01 01:20:00,20.7207964939,0,0,-0.11,-0.22,-0.11
17,17,17,2014-04-01 01:25:00,18.4339250303,0,0,-0.11,-0.22,-0.11
18,18,18,2014-04-01 01:30:00,21.8451169695,0,0,-0.11,-0.22,-0.11
19,19,19,2014-04-01 01:35:00,21.0006192952,0,0,-0.11,-0.22,-0.11
20,20,20,2014-04-01 01:40:00,20.524696816,0,0,-0.11,-0.22,-0.11
21,21,21,2014-04-01 01:45:00,19.265288228,0,0,-0.11,-0.22,-0.11
22,22,22,2014-04-01 01:50:00,18.6438219498,0,0,-0.11,-0.22,-0.11
23,23,23,2014-04-01 01:55:00,19.6373718553,0,0,-0.11,-0.22,-0.11
24,24,24,2014-04-01 02:00:00,20.6463069623,0,0,-0.11,-0.22,-0.11
25,25,25,2014-04-01 02:05:00,20.5348389737,0,0,-0.11,-0.22,-0.11
26,26,26,2014-04-01 02:10:00,19.5305646203,0,0,-0.11,-0.22,-0.11
27,27,27,2014-04-01 02:15:00,20.4531455753,0,0,-0.11,-0.22,-0.11
28,28,28,2014-04-01 02:20:00,21.2549931823,0,0,-0.11,-0.22,-0.11
29,29,29,2014-04-01 02:25:00,18.1051390894,0,0,-0.11,-0.22,-0.11
30,30,30,2014-04-01 02:30:00,19.8024841917,0,0,-0.11,-0.22,-0.11
31,31,31,2014-04-01 02:35:00,21.0342209139,0,0,-0.11,-0.22,-0.11
32,32,32,2014-04-01 02:40:00,20.1845778819,0,0,-0.11,-0.22,-0.11
33,33,33,2014-04-01 02:45:00,20.6059043517,0,0,-0.11,-0.22,-0.11
34,34,34,2014-04-01 02:50:00,20.0667055704,0,0,-0.11,-0.22,-0.11
35,35,35,2014-04-01 02:55:00,21.9674981787,0,0,-0.11,-0.22,-0.11
36,36,36,2014-04-01 03:00:00,18.218486146,0,0,-0.11,-0.22,-0.11
37,37,37,2014-04-01 03:05:00,19.9641792871,0,0,-0.11,-0.22,-0.11
38,38,38,2014-04-01 03:10:00,18.3656661965,0,0,-0.11,-0.22,-0.11
39,39,39,2014-04-01 03:15:00,18.6391422485,0,0,-0.11,-0.22,-0.11
40,40,40,2014-04-01 03:20:00,19.5321534017,0,0,-0.11,-0.22,-0.11
41,41,41,2014-04-01 03:25:00,18.622160366,0,0,-0.11,-0.22,-0.11
42,42,42,2014-04-01 03:30:00,21.8547486638,0,0,-0.11,-0.22,-0.11
43,43,43,2014-04-01 03:35:00,21.7871591069,0,0,-0.11,-0.22,-0.11
44,44,44,2014-04-01 03:40:00,19.3444385849,0,0,-0.11,-0.22,-0.11
45,45,45,2014-04-01 03:45:00,20.5589908482,0,0,-0.11,-0.22,-0.11
46,46,46,2014-04-01 03:50:00,20.1350132824,0,0,-0.11,-0.22,-0.11
47,47,47,2014-04-01 03:55:00,21.2623479221,0,0,-0.11,-0.22,-0.11
48,48,48,2014-04-01 04:00:00,20.5097824393,0,0,-0.11,-0.22,-0.11
49,49,49,2014-04-01 04:05:00,18.001009818,0,0,-0.11,-0.22,-0.11
50,50,50,2014-04-01 04:10:00,21.0526975424,0,0,-0.11,-0.22,-0.11
51,51,51,2014-04-01 04:15:00,20.9873924852,0,0,-0.11,-0.22,-0.11
52,52,52,2014-04-01 04:20:00,20.0388908223,0,0,-0.11,-0.22,-0.11
53,53,53,2014-04-01 04:25:00,21.6116758929,0,0,-0.11,-0.22,-0.11
54,54,54,2014-04-01 04:30:00,21.633784822800003,0,0,-0.11,-0.22,-0.11
55,55,55,2014-04-01 04:35:00,20.0956467068,0,0,-0.11,-0.22,-0.11
56,56,56,2014-04-01 04:40:00,20.4319529248,0,0,-0.11,-0.22,-0.11
57,57,57,2014-04-01 04:45:00,21.9860882877,0,0,-0.11,-0.22,-0.11
58,58,58,2014-04-01 04:50:00,19.1952809392,0,0,-0.11,-0.22,-0.11
59,59,59,2014-04-01 04:55:00,19.2984689692,0,0,-0.11,-0.22,-0.11
60,60,60,2014-04-01 05:00:00,18.7310956107,0,0,-0.11,-0.22,-0.11
61,61,61,2014-04-01 05:05:00,21.5834677566,0,0,-0.11,-0.22,-0.11
62,62,62,2014-04-01 05:10:00,20.9779535598,0,0,-0.11,-0.22,-0.11
63,63,63,2014-04-01 05:15:00,18.4225713955,0,0,-0.11,-0.22,-0.11
64,64,64,2014-04-01 05:20:00,21.9270694048,0,0,-0.11,-0.22,-0.11
65,65,65,2014-04-01 05:25:00,20.9238468326,0,0,-0.11,-0.22,-0.11
66,66,66,2014-04-01 05:30:00,21.4020884384,0,0,-0.11,-0.22,-0.11
67,67,67,2014-04-01 05:35:00,18.1926031567,0,0,-0.11,-0.22,-0.11
68,68,68,2014-04-01 05:40:00,20.0198436758,0,0,-0.11,-0.22,-0.11
69,69,69,2014-04-01 05:45:00,20.7943931469,0,0,-0.11,-0.22,-0.11
70,70,70,2014-04-01 05:50:00,20.1717863383,0,0,-0.11,-0.22,-0.11
71,71,71,2014-04-01 05:55:00,20.6665898628,0,0,-0.11,-0.22,-0.11
72,72,72,2014-04-01 06:00:00,21.2714962544,0,0,-0.11,-0.22,-0.11
73,73,73,2014-04-01 06:05:00,19.4973482518,0,0,-0.11,-0.22,-0.11
74,74,74,2014-04-01 06:10:00,21.3946747025,0,0,-0.11,-0.22,-0.11
75,75,75,2014-04-01 06:15:00,18.6516644191,0,0,-0.11,-0.22,-0.11
76,76,76,2014-04-01 06:20:00,19.0835442201,0,0,-0.11,-0.22,-0.11
77,77,77,2014-04-01 06:25:00,18.1733824797,0,0,-0.11,-0.22,-0.11
78,78,78,2014-04-01 06:30:00,19.4577072453,0,0,-0.11,-0.22,-0.11
79,79,79,2014-04-01 06:35:00,19.5196381793,0,0,-0.11,-0.22,-0.11
80,80,80,2014-04-01 06:40:00,21.221082388800003,0,0,-0.11,-0.22,-0.11
81,81,81,2014-04-01 06:45:00,20.6125226812,0,0,-0.11,-0.22,-0.11
82,82,82,2014-04-01 06:50:00,19.7468902326,0,0,-0.11,-0.22,-0.11
83,83,83,2014-04-01 06:55:00,20.6084559145,0,0,-0.11,-0.22,-0.11
84,84,84,2014-04-01 07:00:00,18.2111334021,0,0,-0.11,-0.22,-0.11
85,85,85,2014-04-01 07:05:00,18.7210861441,0,0,-0.11,-0.22,-0.11
86,86,86,2014-04-01 07:10:00,20.507791421,0,0,-0.11,-0.22,-0.11
87,87,87,2014-04-01 07:15:00,20.5654672769,0,0,-0.11,-0.22,-0.11
88,88,88,2014-04-01 07:20:00,21.0965386348,0,0,-0.11,-0.22,-0.11
89,89,89,2014-04-01 07:25:00,19.6119990362,0,0,-0.11,-0.22,-0.11
90,90,90,2014-04-01 07:30:00,20.8902163865,0,0,-0.11,-0.22,-0.11
91,91,91,2014-04-01 07:35:00,20.7359213302,0,0,-0.11,-0.22,-0.11
92,92,92,2014-04-01 07:40:00,21.8535735135,0,0,-0.11,-0.22,-0.11
93,93,93,2014-04-01 07:45:00,18.8605209057,0,0,-0.11,-0.22,-0.11
94,94,94,2014-04-01 07:50:00,20.206718255,0,0,-0.11,-0.22,-0.11
95,95,95,2014-04-01 07:55:00,20.4070577684,0,0,-0.11,-0.22,-0.11
96,96,96,2014-04-01 08:00:00,21.9945915397,0,0,-0.11,-0.22,-0.11
97,97,97,2014-04-01 08:05:00,18.8047365687,0,0,-0.11,-0.22,-0.11
98,98,98,2014-04-01 08:10:00,20.0928720799,0,0,-0.11,-0.22,-0.11
99,99,99,2014-04-01 08:15:00,19.3847412309,0,0,-0.11,-0.22,-0.11
100,100,100,2014-04-01 08:20:00,20.1035718743,0,0,-0.11,-0.22,-0.11
101,101,101,2014-04-01 08:25:00,18.9285144084,0,0,-0.11,-0.22,-0.11
102,102,102,2014-04-01 08:30:00,18.1904495137,0,0,-0.11,-0.22,-0.11
103,103,103,2014-04-01 08:35:00,20.2902618156,0,0,-0.11,-0.22,-0.11
104,104,104,2014-04-01 08:40:00,19.3434172634,0,0,-0.11,-0.22,-0.11
105,105,105,2014-04-01 08:45:00,18.727765607,0,0,-0.11,-0.22,-0.11
106,106,106,2014-04-01 08:50:00,19.2957422643,0,0,-0.11,-0.22,-0.11
107,107,107,2014-04-01 08:55:00,18.1971208058,0,0,-0.11,-0.22,-0.11
108,108,108,2014-04-01 09:00:00,74.1260143836,0,0,-0.11,-0.22,-0.11
109,109,109,2014-04-01 09:05:00,69.10361164359999,0,0,-0.11,-0.22,-0.11
110,110,110,2014-04-01 09:10:00,72.2808540663,0,0,-0.11,-0.22,-0.11
111,111,111,2014-04-01 09:15:00,66.9544074866,0,0,-0.11,-0.22,-0.11
112,112,112,2014-04-01 09:20:00,73.4850794789,0,0,-0.11,-0.22,-0.11
113,113,113,2014-04-01 09:25:00,67.7731278131,0,0,-0.11,-0.22,-0.11
114,114,114,2014-04-01 09:30:00,69.0056563819,0,0,-0.11,-0.22,-0.11
115,115,115,2014-04-01 09:35:00,67.88839812890001,0,0,-0.11,-0.22,-0.11
116,116,116,2014-04-01 09:40:00,71.1725848238,0,0,-0.11,-0.22,-0.11
117,117,117,2014-04-01 09:45:00,68.9065226554,0,0,-0.11,-0.22,-0.11
118,118,118,2014-04-01 09:50:00,64.8937453607,0,0,-0.11,-0.22,-0.11
119,119,119,2014-04-01 09:55:00,63.179337626000006,0,0,-0.11,-0.22,-0.11
120,120,120,2014-04-01 10:00:00,79.2470505155,0,0,-0.11,-0.22,-0.11
121,121,121,2014-04-01 10:05:00,77.4320730032,0,0,-0.11,-0.22,-0.11
122,122,122,2014-04-01 10:10:00,71.3295428127,0,0,-0.11,-0.22,-0.11
123,123,123,2014-04-01 10:15:00,75.9799830691,0,0,-0.11,-0.22,-0.11
124,124,124,2014-04-01 10:20:00,77.8293300694,0,0,-0.11,-0.22,-0.11
125,125,125,2014-04-01 10:25:00,82.67338298899999,0,0,-0.11,-0.22,-0.11
126,126,126,2014-04-01 10:30:00,71.0210883865,0,0,-0.11,-0.22,-0.11
127,127,127,2014-04-01 10:35:00,75.2486478048,0,0,-0.11,-0.22,-0.11
128,128,128,2014-04-01 10:40:00,82.6076230245,0,0,-0.11,-0.22,-0.11
129,129,129,2014-04-01 10:45:00,79.90353942109999,0,0,-0.11,-0.22,-0.11
130,130,130,2014-04-01 10:50:00,74.3401531544,0,0,-0.11,-0.22,-0.11
131,131,131,2014-04-01 10:55:00,82.9596010938,0,0,-0.11,-0.22,-0.11
132,132,132,2014-04-01 11:00:00,79.41334110529999,0,0,-0.11,-0.22,-0.11
133,133,133,2014-04-01 11:05:00,79.4937884794,0,0,-0.11,-0.22,-0.11
134,134,134,2014-04-01 11:10:00,87.0996450426,0,0,-0.11,-0.22,-0.11
135,135,135,2014-04-01 11:15:00,86.6309408675,0,0,-0.11,-0.22,-0.11
136,136,136,2014-04-01 11:20:00,77.2701037963,0,0,-0.11,-0.22,-0.11
137,137,137,2014-04-01 11:25:00,73.8037704623,0,0,-0.11,-0.22,-0.11
138,138,138,2014-04-01 11:30:00,76.7474037102,0,0,-0.11,-0.22,-0.11
139,139,139,2014-04-01 11:35:00,72.052805772,0,0,-0.11,-0.22,-0.11
140,140,140,2014-04-01 11:40:00,71.8982924702,0,0,-0.11,-0.22,-0.11
141,141,141,2014-04-01 11:45:00,77.8583840549,0,0,-0.11,-0.22,-0.11
