,Unnamed: 0,Unnamed: 0.1,timestamp,value,anomaly_score,label,S(t)_standard,S(t)_reward_low_FP_rate,S(t)_reward_low_FN_rate
0,0,0,2014-02-14 14:27:00,2.296,0,0,-0.11,-0.22,-0.11
1,1,1,2014-02-14 14:32:00,2.144,0,0,-0.11,-0.22,-0.11
2,2,2,2014-02-14 14:37:00,2.274,0,0,-0.11,-0.22,-0.11
3,3,3,2014-02-14 14:42:00,2.066,0,0,-0.11,-0.22,-0.11
4,4,4,2014-02-14 14:47:00,2.35,0,0,-0.11,-0.22,-0.11
5,5,5,2014-02-14 14:52:00,2.136,0,0,-0.11,-0.22,-0.11
6,6,6,2014-02-14 14:57:00,2.366,0,0,-0.11,-0.22,-0.11
7,7,7,2014-02-14 15:02:00,2.252,0,0,-0.11,-0.22,-0.11
8,8,8,2014-02-14 15:07:00,2.4,0,0,-0.11,-0.22,-0.11
9,9,9,2014-02-14 15:12:00,2.18,0,0,-0.11,-0.22,-0.11
10,10,10,2014-02-14 15:17:00,2.352,0,0,-0.11,-0.22,-0.11
11,11,11,2014-02-14 15:22:00,3.434,0,0,-0.11,-0.22,-0.11
12,12,12,2014-02-14 15:27:00,2.43,0,0,-0.11,-0.22,-0.11
13,13,13,2014-02-14 15:32:00,2.0340000000000003,0,0,-0.11,-0.22,-0.11
14,14,14,2014-02-14 15:37:00,2.296,0,0,-0.11,-0.22,-0.11
15,15,15,2014-02-14 15:42:00,2.052,0,0,-0.11,-0.22,-0.11
16,16,16,2014-02-14 15:47:00,2.314,0,0,-0.11,-0.22,-0.11
17,17,17,2014-02-14 15:52:00,2.07,0,0,-0.11,-0.22,-0.11
18,18,18,2014-02-14 15:57:00,2.4,0,0,-0.11,-0.22,-0.11
19,19,19,2014-02-14 16:02:00,2.07,0,0,-0.11,-0.22,-0.11
20,20,20,2014-02-14 16:07:00,3.588,0,0,-0.11,-0.22,-0.11
21,21,21,2014-02-14 16:12:00,2.192,0,0,-0.11,-0.22,-0.11
22,22,22,2014-02-14 16:17:00,2.3,0,0,-0.11,-0.22,-0.11
23,23,23,2014-02-14 16:22:00,2.134,0,0,-0.11,-0.22,-0.11
24,24,24,2014-02-14 16:27:00,2.2840000000000003,0,0,-0.11,-0.22,-0.11
25,25,25,2014-02-14 16:32:00,2.12,0,0,-0.11,-0.22,-0.11
26,26,26,2014-02-14 16:37:00,2.35,0,0,-0.11,-0.22,-0.11
27,27,27,2014-02-14 16:42:00,2.166,0,0,-0.11,-0.22,-0.11
28,28,28,2014-02-14 16:47:00,2.314,0,0,-0.11,-0.22,-0.11
29,29,29,2014-02-14 16:52:00,2.186,0,0,-0.11,-0.22,-0.11
30,30,30,2014-02-14 16:57:00,2.33,0,0,-0.11,-0.22,-0.11
31,31,31,2014-02-14 17:02:00,2.108,0,0,-0.11,-0.22,-0.11
32,32,32,2014-02-14 17:07:00,2.3280000000000003,0,0,-0.11,-0.22,-0.11
33,33,33,2014-02-14 17:12:00,3.434,0,0,-0.11,-0.22,-0.11
34,34,34,2014-02-14 17:17:00,2.424,0,0,-0.11,-0.22,-0.11
35,35,35,2014-02-14 17:22:00,2.158,0,0,-0.11,-0.22,-0.11
36,36,36,2014-02-14 17:27:00,2.342,0,0,-0.11,-0.22,-0.11
37,37,37,2014-02-14 17:32:00,2.056,0,0,-0.11,-0.22,-0.11
38,38,38,2014-02-14 17:37:00,2.376,0,0,-0.11,-0.22,-0.11
39,39,39,2014-02-14 17:42:00,2.106,0,0,-0.11,-0.22,-0.11
40,40,40,2014-02-14 17:47:00,2.408,0,0,-0.11,-0.22,-0.11
41,41,41,2014-02-14 17:52:00,2.156,0,0,-0.11,-0.22,-0.11
42,42,42,2014-02-14 17:57:00,2.464,0,0,-0.11,-0.22,-0.11
43,43,43,2014-02-14 18:02:00,2.224,0,0,-0.11,-0.22,-0.11
44,44,44,2014-02-14 18:07:00,2.428,0,0,-0.11,-0.22,-0.11
45,45,45,2014-02-14 18:12:00,2.234,0,0,-0.11,-0.22,-0.11
46,46,46,2014-02-14 18:17:00,2.408,0,0,-0.11,-0.22,-0.11
47,47,47,2014-02-14 18:22:00,3.372,0,0,-0.11,-0.22,-0.11
48,48,48,2014-02-14 18:27:00,2.318,0,0,-0.11,-0.22,-0.11
49,49,49,2014-02-14 18:32:00,2.166,0,0,-0.11,-0.22,-0.11
50,50,50,2014-02-14 18:37:00,2.386,0,0,-0.11,-0.22,-0.11
51,51,51,2014-02-14 18:42:00,2.138,0,0,-0.11,-0.22,-0.11
52,52,52,2014-02-14 18:47:00,2.336,0,0,-0.11,-0.22,-0.11
53,53,53,2014-02-14 18:52:00,2.23,0,0,-0.11,-0.22,-0.11
54,54,54,2014-02-14 18:57:00,2.452,0,0,-0.11,-0.22,-0.11
55,55,55,2014-02-14 19:02:00,2.15,0,0,-0.11,-0.22,-0.11
56,56,56,2014-02-14 19:07:00,2.386,0,0,-0.11,-0.22,-0.11
57,57,57,2014-02-14 19:12:00,2.234,0,0,-0.11,-0.22,-0.11
58,58,58,2014-02-14 19:17:00,2.732,0,0,-0.11,-0.22,-0.11
59,59,59,2014-02-14 19:22:00,2.9160000000000004,0,0,-0.11,-0.22,-0.11
60,60,60,2014-02-14 19:27:00,2.246,0,0,-0.11,-0.22,-0.11
61,61,61,2014-02-14 19:32:00,2.084,0,0,-0.11,-0.22,-0.11
62,62,62,2014-02-14 19:37:00,2.248,0,0,-0.11,-0.22,-0.11
63,63,63,2014-02-14 19:42:00,2.096,0,0,-0.11,-0.22,-0.11
64,64,64,2014-02-14 19:47:00,2.266,0,0,-0.11,-0.22,-0.11
65,65,65,2014-02-14 19:52:00,2.504,0,0,-0.11,-0.22,-0.11
66,66,66,2014-02-14 19:57:00,52.26600000000001,0,0,-0.11,-0.22,-0.11
67,67,67,2014-02-14 20:02:00,54.806,0,0,-0.11,-0.22,-0.11
68,68,68,2014-02-14 20:07:00,55.736,0,0,-0.11,-0.22,-0.11
69,69,69,2014-02-14 20:12:00,11.058,0,0,-0.11,-0.22,-0.11
