,Unnamed: 0,Unnamed: 0.1,timestamp,value,anomaly_score,label,S(t)_standard,S(t)_reward_low_FP_rate,S(t)_reward_low_FN_rate
0,0,0,2014-04-02 14:25:00,0.0,0,0,-0.11,-0.22,-0.11
1,1,1,2014-04-02 14:30:00,0.0,0,0,-0.11,-0.22,-0.11
2,2,2,2014-04-02 14:35:00,0.0,0,0,-0.11,-0.22,-0.11
3,3,3,2014-04-02 14:40:00,0.0,0,0,-0.11,-0.22,-0.11
4,4,4,2014-04-02 14:45:00,0.0,0,0,-0.11,-0.22,-0.11
5,5,5,2014-04-02 14:50:00,0.0,0,0,-0.11,-0.22,-0.11
6,6,6,2014-04-02 14:55:00,0.0,0,0,-0.11,-0.22,-0.11
7,7,7,2014-04-02 15:00:00,19949200.0,0,0,-0.11,-0.22,-0.11
8,8,8,2014-04-02 15:05:00,48951300.0,0,0,-0.11,-0.22,-0.11
9,9,9,2014-04-02 15:10:00,431199000.0,0,0,-0.11,-0.22,-0.11
10,10,10,2014-04-02 15:15:00,36434700.0,0,0,-0.11,-0.22,-0.11
11,11,11,2014-04-02 15:20:00,1558940.0,0,0,-0.11,-0.22,-0.11
12,12,12,2014-04-02 15:25:00,0.0,0,0,-0.11,-0.22,-0.11
13,13,13,2014-04-02 15:30:00,0.0,0,0,-0.11,-0.22,-0.11
14,14,14,2014-04-02 15:35:00,0.0,0,0,-0.11,-0.22,-0.11
15,15,15,2014-04-02 15:40:00,0.0,0,0,-0.11,-0.22,-0.11
16,16,16,2014-04-02 15:45:00,0.0,0,0,-0.11,-0.22,-0.11
17,17,17,2014-04-02 15:50:00,0.0,0,0,-0.11,-0.22,-0.11
18,18,18,2014-04-02 15:55:00,0.0,0,0,-0.11,-0.22,-0.11
19,19,19,2014-04-02 16:00:00,0.0,0,0,-0.11,-0.22,-0.11
20,20,20,2014-04-02 16:05:00,0.0,0,0,-0.11,-0.22,-0.11
21,21,21,2014-04-02 16:10:00,0.0,0,0,-0.11,-0.22,-0.11
22,22,22,2014-04-02 16:15:00,0.0,0,0,-0.11,-0.22,-0.11
23,23,23,2014-04-02 16:20:00,0.0,0,0,-0.11,-0.22,-0.11
24,24,24,2014-04-02 16:25:00,0.0,0,0,-0.11,-0.22,-0.11
25,25,25,2014-04-02 16:30:00,0.0,0,0,-0.11,-0.22,-0.11
26,26,26,2014-04-02 16:35:00,0.0,0,0,-0.11,-0.22,-0.11
27,27,27,2014-04-02 16:40:00,0.0,0,0,-0.11,-0.22,-0.11
28,28,28,2014-04-02 16:45:00,0.0,0,0,-0.11,-0.22,-0.11
29,29,29,2014-04-02 16:50:00,0.0,0,0,-0.11,-0.22,-0.11
30,30,30,2014-04-02 16:55:00,0.0,0,0,-0.11,-0.22,-0.11
31,31,31,2014-04-02 17:00:00,0.0,0,0,-0.11,-0.22,-0.11
32,32,32,2014-04-02 17:05:00,34572700.0,0,0,-0.11,-0.22,-0.11
33,33,33,2014-04-02 17:10:00,323807000.0,0,0,-0.11,-0.22,-0.11
34,34,34,2014-04-02 17:15:00,143349000.0,0,0,-0.11,-0.22,-0.11
35,35,35,2014-04-02 17:20:00,35015100.0,0,0,-0.11,-0.22,-0.11
36,36,36,2014-04-02 17:25:00,9830.4,0,0,-0.11,-0.22,-0.11
37,37,37,2014-04-02 17:30:00,0.0,0,0,-0.11,-0.22,-0.11
38,38,38,2014-04-02 17:35:00,0.0,0,0,-0.11,-0.22,-0.11
39,39,39,2014-04-02 17:40:00,1259110.0,0,0,-0.11,-0.22,-0.11
40,40,40,2014-04-02 17:45:00,49739400.0,0,0,-0.11,-0.22,-0.11
41,41,41,2014-04-02 17:50:00,12263400.0,0,0,-0.11,-0.22,-0.11
42,42,42,2014-04-02 17:55:00,0.0,0,0,-0.11,-0.22,-0.11
43,43,43,2014-04-02 18:00:00,0.0,0,0,-0.11,-0.22,-0.11
44,44,44,2014-04-02 18:05:00,0.0,0,0,-0.11,-0.22,-0.11
45,45,45,2014-04-02 18:10:00,0.0,0,0,-0.11,-0.22,-0.11
46,46,46,2014-04-02 18:15:00,43611800.0,0,0,-0.11,-0.22,-0.11
47,47,47,2014-04-02 18:20:00,19225800.0,0,0,-0.11,-0.22,-0.11
48,48,48,2014-04-02 18:25:00,36003000.0,0,0,-0.11,-0.22,-0.11
49,49,49,2014-04-02 18:30:00,385991000.0,0,0,-0.11,-0.22,-0.11
50,50,50,2014-04-02 18:35:00,107839000.0,0,0,-0.11,-0.22,-0.11
51,51,51,2014-04-02 18:40:00,6696960.0,0,0,-0.11,-0.22,-0.11
52,52,52,2014-04-02 18:45:00,0.0,0,0,-0.11,-0.22,-0.11
53,53,53,2014-04-02 18:50:00,0.0,0,0,-0.11,-0.22,-0.11
54,54,54,2014-04-02 18:55:00,0.0,0,0,-0.11,-0.22,-0.11
55,55,55,2014-04-02 19:00:00,0.0,0,0,-0.11,-0.22,-0.11
56,56,56,2014-04-02 19:05:00,0.0,0,0,-0.11,-0.22,-0.11
57,57,57,2014-04-02 19:10:00,1376260.0,0,0,-0.11,-0.22,-0.11
58,58,58,2014-04-02 19:15:00,19660.8,0,0,-0.11,-0.22,-0.11
59,59,59,2014-04-02 19:20:00,0.0,0,0,-0.11,-0.22,-0.11
60,60,60,2014-04-02 19:25:00,0.0,0,0,-0.11,-0.22,-0.11
61,61,61,2014-04-02 19:30:00,0.0,0,0,-0.11,-0.22,-0.11
62,62,62,2014-04-02 19:35:00,0.0,0,0,-0.11,-0.22,-0.11
63,63,63,2014-04-02 19:40:00,0.0,0,0,-0.11,-0.22,-0.11
64,64,64,2014-04-02 19:45:00,0.0,0,0,-0.11,-0.22,-0.11
65,65,65,2014-04-02 19:50:00,0.0,0,0,-0.11,-0.22,-0.11
66,66,66,2014-04-02 19:55:00,0.0,0,0,-0.11,-0.22,-0.11
67,67,67,2014-04-02 20:00:00,0.0,0,0,-0.11,-0.22,-0.11
68,68,68,2014-04-02 20:05:00,0.0,0,0,-0.11,-0.22,-0.11
69,69,69,2014-04-02 20:10:00,0.0,0,0,-0.11,-0.22,-0.11
70,70,70,2014-04-02 20:15:00,0.0,0,0,-0.11,-0.22,-0.11
71,71,71,2014-04-02 20:20:00,0.0,0,0,-0.11,-0.22,-0.11
72,72,72,2014-04-02 20:25:00,0.0,0,0,-0.11,-0.22,-0.11
73,73,73,2014-04-02 20:30:00,0.0,0,0,-0.11,-0.22,-0.11
74,74,74,2014-04-02 20:35:00,0.0,0,0,-0.11,-0.22,-0.11
75,75,75,2014-04-02 20:40:00,0.0,0,0,-0.11,-0.22,-0.11
76,76,76,2014-04-02 20:45:00,0.0,0,0,-0.11,-0.22,-0.11
77,77,77,2014-04-02 20:50:00,0.0,0,0,-0.11,-0.22,-0.11
78,78,78,2014-04-02 20:55:00,0.0,0,0,-0.11,-0.22,-0.11
79,79,79,2014-04-02 21:00:00,0.0,0,0,-0.11,-0.22,-0.11
80,80,80,2014-04-02 21:05:00,0.0,0,0,-0.11,-0.22,-0.11
81,81,81,2014-04-02 21:10:00,0.0,0,0,-0.11,-0.22,-0.11
82,82,82,2014-04-02 21:15:00,0.0,0,0,-0.11,-0.22,-0.11
83,83,83,2014-04-02 21:20:00,0.0,0,0,-0.11,-0.22,-0.11
84,84,84,2014-04-02 21:25:00,20512800.0,0,0,-0.11,-0.22,-0.11
85,85,85,2014-04-02 21:30:00,51529300.0,0,0,-0.11,-0.22,-0.11
86,86,86,2014-04-02 21:35:00,430348000.0,0,0,-0.11,-0.22,-0.11
87,87,87,2014-04-02 21:40:00,36686200.0,0,0,-0.11,-0.22,-0.11
88,88,88,2014-04-02 21:45:00,1443430.0,0,0,-0.11,-0.22,-0.11
89,89,89,2014-04-02 21:50:00,0.0,0,0,-0.11,-0.22,-0.11
90,90,90,2014-04-02 21:55:00,3276.8,0,0,-0.11,-0.22,-0.11
91,91,91,2014-04-02 22:00:00,667648.0,0,0,-0.11,-0.22,-0.11
92,92,92,2014-04-02 22:05:00,46249600.0,0,0,-0.11,-0.22,-0.11
93,93,93,2014-04-02 22:10:00,452547000.0,0,0,-0.11,-0.22,-0.11
94,94,94,2014-04-02 22:15:00,34741500.0,0,0,-0.11,-0.22,-0.11
95,95,95,2014-04-02 22:20:00,3342340.0,0,0,-0.11,-0.22,-0.11
96,96,96,2014-04-02 22:25:00,0.0,0,0,-0.11,-0.22,-0.11
97,97,97,2014-04-02 22:30:00,20099100.0,0,0,-0.11,-0.22,-0.11
98,98,98,2014-04-02 22:35:00,332104000.0,0,0,-0.11,-0.22,-0.11
99,99,99,2014-04-02 22:40:00,146865000.0,0,0,-0.11,-0.22,-0.11
100,100,100,2014-04-02 22:45:00,38238600.0,0,0,-0.11,-0.22,-0.11
101,101,101,2014-04-02 22:50:00,28672.0,0,0,-0.11,-0.22,-0.11
102,102,102,2014-04-02 22:55:00,0.0,0,0,-0.11,-0.22,-0.11
103,103,103,2014-04-02 23:00:00,0.0,0,0,-0.11,-0.22,-0.11
104,104,104,2014-04-02 23:05:00,0.0,0,0,-0.11,-0.22,-0.11
105,105,105,2014-04-02 23:10:00,0.0,0,0,-0.11,-0.22,-0.11
106,106,106,2014-04-02 23:15:00,0.0,0,0,-0.11,-0.22,-0.11
107,107,107,2014-04-02 23:20:00,0.0,0,0,-0.11,-0.22,-0.11
108,108,108,2014-04-02 23:25:00,0.0,0,0,-0.11,-0.22,-0.11
109,109,109,2014-04-02 23:30:00,0.0,0,0,-0.11,-0.22,-0.11
110,110,110,2014-04-02 23:35:00,0.0,0,0,-0.11,-0.22,-0.11
111,111,111,2014-04-02 23:40:00,0.0,0,0,-0.11,-0.22,-0.11
112,112,112,2014-04-02 23:45:00,0.0,0,0,-0.11,-0.22,-0.11
113,113,113,2014-04-02 23:50:00,0.0,0,0,-0.11,-0.22,-0.11
114,114,114,2014-04-02 23:55:00,0.0,0,0,-0.11,-0.22,-0.11
115,115,115,2014-04-03 00:00:00,0.0,0,0,-0.11,-0.22,-0.11
116,116,116,2014-04-03 00:05:00,0.0,0,0,-0.11,-0.22,-0.11
117,117,117,2014-04-03 00:10:00,0.0,0,0,-0.11,-0.22,-0.11
118,118,118,2014-04-03 00:15:00,1543370.0,0,0,-0.11,-0.22,-0.11
119,119,119,2014-04-03 00:20:00,0.0,0,0,-0.11,-0.22,-0.11
120,120,120,2014-04-03 00:25:00,0.0,0,0,-0.11,-0.22,-0.11
121,121,121,2014-04-03 00:30:00,0.0,0,0,-0.11,-0.22,-0.11
122,122,122,2014-04-03 00:35:00,0.0,0,0,-0.11,-0.22,-0.11
123,123,123,2014-04-03 00:40:00,20086000.0,0,0,-0.11,-0.22,-0.11
124,124,124,2014-04-03 00:45:00,236052000.0,0,0,-0.11,-0.22,-0.11
125,125,125,2014-04-03 00:50:00,243388000.0,0,0,-0.11,-0.22,-0.11
126,126,126,2014-04-03 00:55:00,38255000.0,0,0,-0.11,-0.22,-0.11
127,127,127,2014-04-03 01:00:00,26214.4,0,0,-0.11,-0.22,-0.11
128,128,128,2014-04-03 01:05:00,0.0,0,0,-0.11,-0.22,-0.11
129,129,129,2014-04-03 01:10:00,0.0,0,0,-0.11,-0.22,-0.11
130,130,130,2014-04-03 01:15:00,0.0,0,0,-0.11,-0.22,-0.11
131,131,131,2014-04-03 01:20:00,0.0,0,0,-0.11,-0.22,-0.11
132,132,132,2014-04-03 01:25:00,0.0,0,0,-0.11,-0.22,-0.11
133,133,133,2014-04-03 01:30:00,0.0,0,0,-0.11,-0.22,-0.11
134,134,134,2014-04-03 01:35:00,0.0,0,0,-0.11,-0.22,-0.11
135,135,135,2014-04-03 01:40:00,0.0,0,0,-0.11,-0.22,-0.11
136,136,136,2014-04-03 01:45:00,0.0,0,0,-0.11,-0.22,-0.11
137,137,137,2014-04-03 01:50:00,0.0,0,0,-0.11,-0.22,-0.11
138,138,138,2014-04-03 01:55:00,0.0,0,0,-0.11,-0.22,-0.11
139,139,139,2014-04-03 02:00:00,0.0,0,0,-0.11,-0.22,-0.11
140,140,140,2014-04-03 02:05:00,0.0,0,0,-0.11,-0.22,-0.11
141,141,141,2014-04-03 02:10:00,0.0,0,0,-0.11,-0.22,-0.11
142,142,142,2014-04-03 02:15:00,0.0,0,0,-0.11,-0.22,-0.11
143,143,143,2014-04-03 02:20:00,0.0,0,0,-0.11,-0.22,-0.11
144,144,144,2014-04-03 02:25:00,0.0,0,0,-0.11,-0.22,-0.11
145,145,145,2014-04-03 02:30:00,0.0,0,0,-0.11,-0.22,-0.11
146,146,146,2014-04-03 02:35:00,0.0,0,0,-0.11,-0.22,-0.11
147,147,147,2014-04-03 02:40:00,0.0,0,0,-0.11,-0.22,-0.11
148,148,148,2014-04-03 02:45:00,0.0,0,0,-0.11,-0.22,-0.11
149,149,149,2014-04-03 02:50:00,0.0,0,0,-0.11,-0.22,-0.11
150,150,150,2014-04-03 02:55:00,0.0,0,0,-0.11,-0.22,-0.11
151,151,151,2014-04-03 03:00:00,0.0,0,0,-0.11,-0.22,-0.11
152,152,152,2014-04-03 03:05:00,0.0,0,0,-0.11,-0.22,-0.11
153,153,153,2014-04-03 03:10:00,0.0,0,0,-0.11,-0.22,-0.11
154,154,154,2014-04-03 03:15:00,0.0,0,0,-0.11,-0.22,-0.11
155,155,155,2014-04-03 03:20:00,0.0,0,0,-0.11,-0.22,-0.11
156,156,156,2014-04-03 03:25:00,0.0,0,0,-0.11,-0.22,-0.11
157,157,157,2014-04-03 03:30:00,0.0,0,0,-0.11,-0.22,-0.11
158,158,158,2014-04-03 03:35:00,0.0,0,0,-0.11,-0.22,-0.11
159,159,159,2014-04-03 03:40:00,0.0,0,0,-0.11,-0.22,-0.11
160,160,160,2014-04-03 03:45:00,0.0,0,0,-0.11,-0.22,-0.11
161,161,161,2014-04-03 03:50:00,0.0,0,0,-0.11,-0.22,-0.11
162,162,162,2014-04-03 03:55:00,0.0,0,0,-0.11,-0.22,-0.11
163,163,163,2014-04-03 04:00:00,0.0,0,0,-0.11,-0.22,-0.11
164,164,164,2014-04-03 04:05:00,0.0,0,0,-0.11,-0.22,-0.11
