,Unnamed: 0,Unnamed: 0.1,timestamp,value,anomaly_score,label,S(t)_reward_low_FP_rate,S(t)_reward_low_FN_rate,S(t)_standard
0,0,0,2014-04-10 00:04:00,251643.0,0,0,-0.22,-0.11,-0.11
1,1,1,2014-04-10 00:09:00,3203510.0,0,0,-0.22,-0.11,-0.11
2,2,2,2014-04-10 00:14:00,287397.0,0,0,-0.22,-0.11,-0.11
3,3,3,2014-04-10 00:19:00,238944.0,0,0,-0.22,-0.11,-0.11
4,4,4,2014-04-10 00:24:00,245880.0,0,0,-0.22,-0.11,-0.11
5,5,5,2014-04-10 00:29:00,234170.0,0,0,-0.22,-0.11,-0.11
6,6,6,2014-04-10 00:34:00,255797.0,0,0,-0.22,-0.11,-0.11
7,7,7,2014-04-10 00:39:00,244002.0,0,0,-0.22,-0.11,-0.11
8,8,8,2014-04-10 00:44:00,514385.0,0,0,-0.22,-0.11,-0.11
9,9,9,2014-04-10 00:49:00,270883.0,0,0,-0.22,-0.11,-0.11
10,10,10,2014-04-10 00:54:00,249887.0,0,0,-0.22,-0.11,-0.11
11,11,11,2014-04-10 00:59:00,3201940.0,0,0,-0.22,-0.11,-0.11
12,12,12,2014-04-10 01:04:00,280638.0,0,0,-0.22,-0.11,-0.11
13,13,13,2014-04-10 01:09:00,3231740.0,0,0,-0.22,-0.11,-0.11
14,14,14,2014-04-10 01:14:00,223158.0,0,0,-0.22,-0.11,-0.11
15,15,15,2014-04-10 01:19:00,242568.0,0,0,-0.22,-0.11,-0.11
16,16,16,2014-04-10 01:24:00,221907.0,0,0,-0.22,-0.11,-0.11
17,17,17,2014-04-10 01:29:00,248537.0,0,0,-0.22,-0.11,-0.11
18,18,18,2014-04-10 01:34:00,223433.0,0,0,-0.22,-0.11,-0.11
19,19,19,2014-04-10 01:39:00,247310.0,0,0,-0.22,-0.11,-0.11
20,20,20,2014-04-10 01:44:00,224771.0,0,0,-0.22,-0.11,-0.11
21,21,21,2014-04-10 01:49:00,223668.0,0,0,-0.22,-0.11,-0.11
22,22,22,2014-04-10 01:54:00,240044.0,0,0,-0.22,-0.11,-0.11
23,23,23,2014-04-10 01:59:00,3221290.0,0,0,-0.22,-0.11,-0.11
24,24,24,2014-04-10 02:04:00,235606.0,0,0,-0.22,-0.11,-0.11
25,25,25,2014-04-10 02:09:00,3202800.0,0,0,-0.22,-0.11,-0.11
26,26,26,2014-04-10 02:14:00,244192.0,0,0,-0.22,-0.11,-0.11
27,27,27,2014-04-10 02:19:00,231729.0,0,0,-0.22,-0.11,-0.11
28,28,28,2014-04-10 02:24:00,251450.0,0,0,-0.22,-0.11,-0.11
29,29,29,2014-04-10 02:29:00,219342.0,0,0,-0.22,-0.11,-0.11
30,30,30,2014-04-10 02:34:00,241032.0,0,0,-0.22,-0.11,-0.11
31,31,31,2014-04-10 02:39:00,219744.0,0,0,-0.22,-0.11,-0.11
32,32,32,2014-04-10 02:44:00,232511.0,0,0,-0.22,-0.11,-0.11
33,33,33,2014-04-10 02:49:00,237811.0,0,0,-0.22,-0.11,-0.11
34,34,34,2014-04-10 02:54:00,226034.0,0,0,-0.22,-0.11,-0.11
35,35,35,2014-04-10 02:59:00,3220170.0,0,0,-0.22,-0.11,-0.11
36,36,36,2014-04-10 03:04:00,228654.0,0,0,-0.22,-0.11,-0.11
37,37,37,2014-04-10 03:09:00,3227830.0,0,0,-0.22,-0.11,-0.11
38,38,38,2014-04-10 03:19:00,256906.0,0,0,-0.22,-0.11,-0.11
39,39,39,2014-04-10 03:24:00,216462.0,0,0,-0.22,-0.11,-0.11
40,40,40,2014-04-10 03:29:00,238240.0,0,0,-0.22,-0.11,-0.11
41,41,41,2014-04-10 03:34:00,233821.0,0,0,-0.22,-0.11,-0.11
42,42,42,2014-04-10 03:39:00,239067.0,0,0,-0.22,-0.11,-0.11
43,43,43,2014-04-10 03:44:00,229348.0,0,0,-0.22,-0.11,-0.11
44,44,44,2014-04-10 03:49:00,233914.0,0,0,-0.22,-0.11,-0.11
45,45,45,2014-04-10 03:54:00,245289.0,0,0,-0.22,-0.11,-0.11
46,46,46,2014-04-10 03:59:00,3201090.0,0,0,-0.22,-0.11,-0.11
47,47,47,2014-04-10 04:04:00,249867.0,0,0,-0.22,-0.11,-0.11
48,48,48,2014-04-10 04:09:00,3207780.0,0,0,-0.22,-0.11,-0.11
49,49,49,2014-04-10 04:14:00,241860.0,0,0,-0.22,-0.11,-0.11
50,50,50,2014-04-10 04:19:00,220347.0,0,0,-0.22,-0.11,-0.11
51,51,51,2014-04-10 04:24:00,244003.0,0,0,-0.22,-0.11,-0.11
52,52,52,2014-04-10 04:29:00,3223880.0,0,0,-0.22,-0.11,-0.11
53,53,53,2014-04-10 04:34:00,1046040.0,0,0,-0.22,-0.11,-0.11
54,54,54,2014-04-10 04:39:00,1477550.0,0,0,-0.22,-0.11,-0.11
55,55,55,2014-04-10 04:44:00,239252.0,0,0,-0.22,-0.11,-0.11
56,56,56,2014-04-10 04:49:00,245477.0,0,0,-0.22,-0.11,-0.11
57,57,57,2014-04-10 04:54:00,233018.0,0,0,-0.22,-0.11,-0.11
58,58,58,2014-04-10 04:59:00,3213870.0,0,0,-0.22,-0.11,-0.11
59,59,59,2014-04-10 05:04:00,241929.0,0,0,-0.22,-0.11,-0.11
60,60,60,2014-04-10 05:09:00,3208820.0,0,0,-0.22,-0.11,-0.11
61,61,61,2014-04-10 05:14:00,236597.0,0,0,-0.22,-0.11,-0.11
62,62,62,2014-04-10 05:19:00,239443.0,0,0,-0.22,-0.11,-0.11
63,63,63,2014-04-10 05:24:00,244422.0,0,0,-0.22,-0.11,-0.11
64,64,64,2014-04-10 05:29:00,225751.0,0,0,-0.22,-0.11,-0.11
65,65,65,2014-04-10 05:34:00,250915.0,0,0,-0.22,-0.11,-0.11
66,66,66,2014-04-10 05:39:00,223452.0,0,0,-0.22,-0.11,-0.11
67,67,67,2014-04-10 05:44:00,248468.0,0,0,-0.22,-0.11,-0.11
68,68,68,2014-04-10 05:49:00,223264.0,0,0,-0.22,-0.11,-0.11
69,69,69,2014-04-10 05:54:00,248395.0,0,0,-0.22,-0.11,-0.11
70,70,70,2014-04-10 05:59:00,3213880.0,0,0,-0.22,-0.11,-0.11
71,71,71,2014-04-10 06:04:00,252731.0,0,0,-0.22,-0.11,-0.11
72,72,72,2014-04-10 06:09:00,3197710.0,0,0,-0.22,-0.11,-0.11
73,73,73,2014-04-10 06:14:00,244921.0,0,0,-0.22,-0.11,-0.11
74,74,74,2014-04-10 06:19:00,236245.0,0,0,-0.22,-0.11,-0.11
75,75,75,2014-04-10 06:24:00,241661.0,0,0,-0.22,-0.11,-0.11
76,76,76,2014-04-10 06:29:00,239502.0,0,0,-0.22,-0.11,-0.11
77,77,77,2014-04-10 06:34:00,226975.0,0,0,-0.22,-0.11,-0.11
78,78,78,2014-04-10 06:39:00,236693.0,0,0,-0.22,-0.11,-0.11
79,79,79,2014-04-10 06:44:00,227811.0,0,0,-0.22,-0.11,-0.11
80,80,80,2014-04-10 06:49:00,252527.0,0,0,-0.22,-0.11,-0.11
81,81,81,2014-04-10 06:54:00,246855.0,0,0,-0.22,-0.11,-0.11
82,82,82,2014-04-10 06:59:00,3304330.0,0,0,-0.22,-0.11,-0.11
83,83,83,2014-04-10 07:04:00,247814.0,0,0,-0.22,-0.11,-0.11
84,84,84,2014-04-10 07:09:00,3344340.0,0,0,-0.22,-0.11,-0.11
85,85,85,2014-04-10 07:14:00,162030.0,0,0,-0.22,-0.11,-0.11
86,86,86,2014-04-10 07:19:00,231891.0,0,0,-0.22,-0.11,-0.11
87,87,87,2014-04-10 07:24:00,245066.0,0,0,-0.22,-0.11,-0.11
88,88,88,2014-04-10 07:29:00,215014.0,0,0,-0.22,-0.11,-0.11
89,89,89,2014-04-10 07:34:00,256753.0,0,0,-0.22,-0.11,-0.11
90,90,90,2014-04-10 07:39:00,214400.0,0,0,-0.22,-0.11,-0.11
91,91,91,2014-04-10 07:44:00,252184.0,0,0,-0.22,-0.11,-0.11
92,92,92,2014-04-10 07:49:00,227100.0,0,0,-0.22,-0.11,-0.11
93,93,93,2014-04-10 07:54:00,257610.0,0,0,-0.22,-0.11,-0.11
94,94,94,2014-04-10 07:59:00,3244530.0,0,0,-0.22,-0.11,-0.11
95,95,95,2014-04-10 08:04:00,226090.0,0,0,-0.22,-0.11,-0.11
96,96,96,2014-04-10 08:09:00,3223170.0,0,0,-0.22,-0.11,-0.11
97,97,97,2014-04-10 08:14:00,243799.0,0,0,-0.22,-0.11,-0.11
98,98,98,2014-04-10 08:19:00,223899.0,0,0,-0.22,-0.11,-0.11
99,99,99,2014-04-10 08:24:00,242690.0,0,0,-0.22,-0.11,-0.11
100,100,100,2014-04-10 08:29:00,243337.0,0,0,-0.22,-0.11,-0.11
101,101,101,2014-04-10 08:34:00,237122.0,0,0,-0.22,-0.11,-0.11
102,102,102,2014-04-10 08:39:00,244758.0,0,0,-0.22,-0.11,-0.11
103,103,103,2014-04-10 08:44:00,234992.0,0,0,-0.22,-0.11,-0.11
104,104,104,2014-04-10 08:49:00,245196.0,0,0,-0.22,-0.11,-0.11
105,105,105,2014-04-10 08:54:00,235424.0,0,0,-0.22,-0.11,-0.11
106,106,106,2014-04-10 08:59:00,3235630.0,0,0,-0.22,-0.11,-0.11
107,107,107,2014-04-10 09:04:00,230811.0,0,0,-0.22,-0.11,-0.11
108,108,108,2014-04-10 09:09:00,3222420.0,0,0,-0.22,-0.11,-0.11
109,109,109,2014-04-10 09:14:00,248917.0,0,0,-0.22,-0.11,-0.11
110,110,110,2014-04-10 09:19:00,231741.0,0,0,-0.22,-0.11,-0.11
111,111,111,2014-04-10 09:24:00,249645.0,0,0,-0.22,-0.11,-0.11
112,112,112,2014-04-10 09:29:00,232232.0,0,0,-0.22,-0.11,-0.11
113,113,113,2014-04-10 09:34:00,250527.0,0,0,-0.22,-0.11,-0.11
114,114,114,2014-04-10 09:39:00,236964.0,0,0,-0.22,-0.11,-0.11
115,115,115,2014-04-10 09:44:00,239944.0,0,0,-0.22,-0.11,-0.11
116,116,116,2014-04-10 09:49:00,225171.0,0,0,-0.22,-0.11,-0.11
117,117,117,2014-04-10 09:54:00,258593.0,0,0,-0.22,-0.11,-0.11
118,118,118,2014-04-10 09:59:00,3208930.0,0,0,-0.22,-0.11,-0.11
119,119,119,2014-04-10 10:04:00,234706.0,0,0,-0.22,-0.11,-0.11
120,120,120,2014-04-10 10:09:00,3233600.0,0,0,-0.22,-0.11,-0.11
121,121,121,2014-04-10 10:14:00,240440.0,0,0,-0.22,-0.11,-0.11
122,122,122,2014-04-10 10:19:00,248880.0,0,0,-0.22,-0.11,-0.11
123,123,123,2014-04-10 10:24:00,230407.0,0,0,-0.22,-0.11,-0.11
124,124,124,2014-04-10 10:29:00,251796.0,0,0,-0.22,-0.11,-0.11
125,125,125,2014-04-10 10:34:00,232703.0,0,0,-0.22,-0.11,-0.11
126,126,126,2014-04-10 10:39:00,249573.0,0,0,-0.22,-0.11,-0.11
127,127,127,2014-04-10 10:44:00,217737.0,0,0,-0.22,-0.11,-0.11
128,128,128,2014-04-10 10:49:00,239745.0,0,0,-0.22,-0.11,-0.11
129,129,129,2014-04-10 10:54:00,4119680.0,0,0,-0.22,-0.11,-0.11
130,130,130,2014-04-10 10:59:00,226480.0,0,0,-0.22,-0.11,-0.11
131,131,131,2014-04-10 11:04:00,251084.0,0,0,-0.22,-0.11,-0.11
132,132,132,2014-04-10 11:09:00,3206870.0,0,0,-0.22,-0.11,-0.11
133,133,133,2014-04-10 11:14:00,240960.0,0,0,-0.22,-0.11,-0.11
134,134,134,2014-04-10 11:19:00,238029.0,0,0,-0.22,-0.11,-0.11
135,135,135,2014-04-10 11:24:00,248519.0,0,0,-0.22,-0.11,-0.11
136,136,136,2014-04-10 11:29:00,236986.0,0,0,-0.22,-0.11,-0.11
137,137,137,2014-04-10 11:34:00,234174.0,0,0,-0.22,-0.11,-0.11
138,138,138,2014-04-10 11:39:00,235833.0,0,0,-0.22,-0.11,-0.11
139,139,139,2014-04-10 11:44:00,241185.0,0,0,-0.22,-0.11,-0.11
140,140,140,2014-04-10 11:49:00,233637.0,0,0,-0.22,-0.11,-0.11
141,141,141,2014-04-10 11:54:00,235894.0,0,0,-0.22,-0.11,-0.11
142,142,142,2014-04-10 11:59:00,3239200.0,0,0,-0.22,-0.11,-0.11
143,143,143,2014-04-10 12:04:00,249254.0,0,0,-0.22,-0.11,-0.11
144,144,144,2014-04-10 12:09:00,3226810.0,0,0,-0.22,-0.11,-0.11
145,145,145,2014-04-10 12:14:00,219341.0,0,0,-0.22,-0.11,-0.11
146,146,146,2014-04-10 12:19:00,250379.0,0,0,-0.22,-0.11,-0.11
147,147,147,2014-04-10 12:24:00,243888.0,0,0,-0.22,-0.11,-0.11
148,148,148,2014-04-10 12:29:00,231633.0,0,0,-0.22,-0.11,-0.11
149,149,149,2014-04-10 12:34:00,229597.0,0,0,-0.22,-0.11,-0.11
150,150,150,2014-04-10 12:39:00,249854.0,0,0,-0.22,-0.11,-0.11
151,151,151,2014-04-10 12:44:00,226666.0,0,0,-0.22,-0.11,-0.11
152,152,152,2014-04-10 12:49:00,235965.0,0,0,-0.22,-0.11,-0.11
153,153,153,2014-04-10 12:54:00,253658.0,0,0,-0.22,-0.11,-0.11
154,154,154,2014-04-10 12:59:00,3230240.0,0,0,-0.22,-0.11,-0.11
155,155,155,2014-04-10 13:04:00,254252.0,0,0,-0.22,-0.11,-0.11
156,156,156,2014-04-10 13:09:00,3208580.0,0,0,-0.22,-0.11,-0.11
157,157,157,2014-04-10 13:14:00,248958.0,0,0,-0.22,-0.11,-0.11
158,158,158,2014-04-10 13:19:00,226541.0,0,0,-0.22,-0.11,-0.11
159,159,159,2014-04-10 13:24:00,240359.0,0,0,-0.22,-0.11,-0.11
160,160,160,2014-04-10 13:29:00,236906.0,0,0,-0.22,-0.11,-0.11
161,161,161,2014-04-10 13:34:00,247200.0,0,0,-0.22,-0.11,-0.11
162,162,162,2014-04-10 13:39:00,244932.0,0,0,-0.22,-0.11,-0.11
163,163,163,2014-04-10 13:44:00,249894.0,0,0,-0.22,-0.11,-0.11
164,164,164,2014-04-10 13:49:00,226273.0,0,0,-0.22,-0.11,-0.11
165,165,165,2014-04-10 13:54:00,236794.0,0,0,-0.22,-0.11,-0.11
166,166,166,2014-04-10 13:59:00,3234110.0,0,0,-0.22,-0.11,-0.11
167,167,167,2014-04-10 14:04:00,255988.0,0,0,-0.22,-0.11,-0.11
168,168,168,2014-04-10 14:09:00,3226730.0,0,0,-0.22,-0.11,-0.11
169,169,169,2014-04-10 14:14:00,224082.0,0,0,-0.22,-0.11,-0.11
170,170,170,2014-04-10 14:19:00,247132.0,0,0,-0.22,-0.11,-0.11
171,171,171,2014-04-10 14:24:00,238059.0,0,0,-0.22,-0.11,-0.11
172,172,172,2014-04-10 14:29:00,248839.0,0,0,-0.22,-0.11,-0.11
173,173,173,2014-04-10 14:34:00,224071.0,0,0,-0.22,-0.11,-0.11
174,174,174,2014-04-10 14:39:00,236928.0,0,0,-0.22,-0.11,-0.11
175,175,175,2014-04-10 14:44:00,243858.0,0,0,-0.22,-0.11,-0.11
176,176,176,2014-04-10 14:49:00,245120.0,0,0,-0.22,-0.11,-0.11
177,177,177,2014-04-10 14:54:00,251672.0,0,0,-0.22,-0.11,-0.11
178,178,178,2014-04-10 14:59:00,3220620.0,0,0,-0.22,-0.11,-0.11
179,179,179,2014-04-10 15:04:00,249774.0,0,0,-0.22,-0.11,-0.11
180,180,180,2014-04-10 15:09:00,3213390.0,0,0,-0.22,-0.11,-0.11
181,181,181,2014-04-10 15:14:00,257850.0,0,0,-0.22,-0.11,-0.11
182,182,182,2014-04-10 15:19:00,240188.0,0,0,-0.22,-0.11,-0.11
183,183,183,2014-04-10 15:24:00,257911.0,0,0,-0.22,-0.11,-0.11
184,184,184,2014-04-10 15:29:00,235086.0,0,0,-0.22,-0.11,-0.11
185,185,185,2014-04-10 15:34:00,243701.0,0,0,-0.22,-0.11,-0.11
186,186,186,2014-04-10 15:39:00,244044.0,0,0,-0.22,-0.11,-0.11
187,187,187,2014-04-10 15:44:00,231573.0,0,0,-0.22,-0.11,-0.11
188,188,188,2014-04-10 15:49:00,243532.0,0,0,-0.22,-0.11,-0.11
189,189,189,2014-04-10 15:54:00,240454.0,0,0,-0.22,-0.11,-0.11
190,190,190,2014-04-10 15:59:00,3251260.0,0,0,-0.22,-0.11,-0.11
191,191,191,2014-04-10 16:04:00,238736.0,0,0,-0.22,-0.11,-0.11
192,192,192,2014-04-10 16:09:00,3239740.0,0,0,-0.22,-0.11,-0.11
193,193,193,2014-04-10 16:14:00,235562.0,0,0,-0.22,-0.11,-0.11
194,194,194,2014-04-10 16:19:00,240626.0,0,0,-0.22,-0.11,-0.11
195,195,195,2014-04-10 16:24:00,247963.0,0,0,-0.22,-0.11,-0.11
196,196,196,2014-04-10 16:29:00,226795.0,0,0,-0.22,-0.11,-0.11
197,197,197,2014-04-10 16:34:00,251630.0,0,0,-0.22,-0.11,-0.11
198,198,198,2014-04-10 16:39:00,224232.0,0,0,-0.22,-0.11,-0.11
199,199,199,2014-04-10 16:44:00,256887.0,0,0,-0.22,-0.11,-0.11
200,200,200,2014-04-10 16:49:00,237801.0,0,0,-0.22,-0.11,-0.11
201,201,201,2014-04-10 16:54:00,362671.0,0,0,-0.22,-0.11,-0.11
202,202,202,2014-04-10 16:59:00,3222900.0,0,0,-0.22,-0.11,-0.11
203,203,203,2014-04-10 17:04:00,258759.0,0,0,-0.22,-0.11,-0.11
204,204,204,2014-04-10 17:09:00,3224910.0,0,0,-0.22,-0.11,-0.11
205,205,205,2014-04-10 17:14:00,246360.0,0,0,-0.22,-0.11,-0.11
206,206,206,2014-04-10 17:19:00,240932.0,0,0,-0.22,-0.11,-0.11
207,207,207,2014-04-10 17:24:00,243533.0,0,0,-0.22,-0.11,-0.11
208,208,208,2014-04-10 17:29:00,261247.0,0,0,-0.22,-0.11,-0.11
209,209,209,2014-04-10 17:34:00,230275.0,0,0,-0.22,-0.11,-0.11
210,210,210,2014-04-10 17:39:00,339881.0,0,0,-0.22,-0.11,-0.11
211,211,211,2014-04-10 17:44:00,227804.0,0,0,-0.22,-0.11,-0.11
212,212,212,2014-04-10 17:49:00,242555.0,0,0,-0.22,-0.11,-0.11
213,213,213,2014-04-10 17:54:00,244851.0,0,0,-0.22,-0.11,-0.11
