,Unnamed: 0,Unnamed: 0.1,timestamp,value,anomaly_score,label,S(t)_reward_low_FP_rate,S(t)_reward_low_FN_rate,S(t)_standard
0,0,0,2014-03-01 17:36:00,42.0,0,0,-0.22,-0.11,-0.11
1,1,1,2014-03-01 17:41:00,94.8,0,0,-0.22,-0.11,-0.11
2,2,2,2014-03-01 17:46:00,42.0,0,0,-0.22,-0.11,-0.11
3,3,3,2014-03-01 17:51:00,68.4,0,0,-0.22,-0.11,-0.11
4,4,4,2014-03-01 17:56:00,68.4,0,0,-0.22,-0.11,-0.11
5,5,5,2014-03-01 18:01:00,86.4,0,0,-0.22,-0.11,-0.11
6,6,6,2014-03-01 18:06:00,68.4,0,0,-0.22,-0.11,-0.11
7,7,7,2014-03-01 18:11:00,42.0,0,0,-0.22,-0.11,-0.11
8,8,8,2014-03-01 18:16:00,112.8,0,0,-0.22,-0.11,-0.11
9,9,9,2014-03-01 18:21:00,68.4,0,0,-0.22,-0.11,-0.11
10,10,10,2014-03-01 18:26:00,42.0,0,0,-0.22,-0.11,-0.11
11,11,11,2014-03-01 18:31:00,86.4,0,0,-0.22,-0.11,-0.11
12,12,12,2014-03-01 18:36:00,42.0,0,0,-0.22,-0.11,-0.11
13,13,13,2014-03-01 18:41:00,68.4,0,0,-0.22,-0.11,-0.11
14,14,14,2014-03-01 18:46:00,42.0,0,0,-0.22,-0.11,-0.11
15,15,15,2014-03-01 18:51:00,104.4,0,0,-0.22,-0.11,-0.11
16,16,16,2014-03-01 18:56:00,68.4,0,0,-0.22,-0.11,-0.11
17,17,17,2014-03-01 19:01:00,42.0,0,0,-0.22,-0.11,-0.11
18,18,18,2014-03-01 19:06:00,104.4,0,0,-0.22,-0.11,-0.11
19,19,19,2014-03-01 19:11:00,42.0,0,0,-0.22,-0.11,-0.11
20,20,20,2014-03-01 19:16:00,68.4,0,0,-0.22,-0.11,-0.11
21,21,21,2014-03-01 19:21:00,68.4,0,0,-0.22,-0.11,-0.11
22,22,22,2014-03-01 19:26:00,86.4,0,0,-0.22,-0.11,-0.11
23,23,23,2014-03-01 19:31:00,68.4,0,0,-0.22,-0.11,-0.11
24,24,24,2014-03-01 19:36:00,42.0,0,0,-0.22,-0.11,-0.11
25,25,25,2014-03-01 19:41:00,112.8,0,0,-0.22,-0.11,-0.11
26,26,26,2014-03-01 19:46:00,150.6,0,0,-0.22,-0.11,-0.11
27,27,27,2014-03-01 19:51:00,42.0,0,0,-0.22,-0.11,-0.11
28,28,28,2014-03-01 19:56:00,112.8,0,0,-0.22,-0.11,-0.11
29,29,29,2014-03-01 20:01:00,50.4,0,0,-0.22,-0.11,-0.11
30,30,30,2014-03-01 20:06:00,68.4,0,0,-0.22,-0.11,-0.11
31,31,31,2014-03-01 20:11:00,42.0,0,0,-0.22,-0.11,-0.11
32,32,32,2014-03-01 20:16:00,112.8,0,0,-0.22,-0.11,-0.11
33,33,33,2014-03-01 20:21:00,68.4,0,0,-0.22,-0.11,-0.11
34,34,34,2014-03-01 20:26:00,42.0,0,0,-0.22,-0.11,-0.11
35,35,35,2014-03-01 20:31:00,112.8,0,0,-0.22,-0.11,-0.11
36,36,36,2014-03-01 20:36:00,42.0,0,0,-0.22,-0.11,-0.11
37,37,37,2014-03-01 20:41:00,68.4,0,0,-0.22,-0.11,-0.11
38,38,38,2014-03-01 20:46:00,68.4,0,0,-0.22,-0.11,-0.11
39,39,39,2014-03-01 20:51:00,78.0,0,0,-0.22,-0.11,-0.11
40,40,40,2014-03-01 20:56:00,60.0,0,0,-0.22,-0.11,-0.11
41,41,41,2014-03-01 21:01:00,42.0,0,0,-0.22,-0.11,-0.11
42,42,42,2014-03-01 21:06:00,112.8,0,0,-0.22,-0.11,-0.11
43,43,43,2014-03-01 21:11:00,42.0,0,0,-0.22,-0.11,-0.11
44,44,44,2014-03-01 21:16:00,60.0,0,0,-0.22,-0.11,-0.11
45,45,45,2014-03-01 21:21:00,68.4,0,0,-0.22,-0.11,-0.11
46,46,46,2014-03-01 21:26:00,86.4,0,0,-0.22,-0.11,-0.11
47,47,47,2014-03-01 21:31:00,68.4,0,0,-0.22,-0.11,-0.11
48,48,48,2014-03-01 21:36:00,42.0,0,0,-0.22,-0.11,-0.11
49,49,49,2014-03-01 21:41:00,112.8,0,0,-0.22,-0.11,-0.11
50,50,50,2014-03-01 21:46:00,68.4,0,0,-0.22,-0.11,-0.11
51,51,51,2014-03-01 21:51:00,42.0,0,0,-0.22,-0.11,-0.11
52,52,52,2014-03-01 21:56:00,112.8,0,0,-0.22,-0.11,-0.11
53,53,53,2014-03-01 22:01:00,42.0,0,0,-0.22,-0.11,-0.11
54,54,54,2014-03-01 22:06:00,68.4,0,0,-0.22,-0.11,-0.11
55,55,55,2014-03-01 22:11:00,68.4,0,0,-0.22,-0.11,-0.11
56,56,56,2014-03-01 22:16:00,86.4,0,0,-0.22,-0.11,-0.11
57,57,57,2014-03-01 22:21:00,68.4,0,0,-0.22,-0.11,-0.11
58,58,58,2014-03-01 22:26:00,42.0,0,0,-0.22,-0.11,-0.11
59,59,59,2014-03-01 22:31:00,94.8,0,0,-0.22,-0.11,-0.11
60,60,60,2014-03-01 22:36:00,42.0,0,0,-0.22,-0.11,-0.11
61,61,61,2014-03-01 22:41:00,68.4,0,0,-0.22,-0.11,-0.11
62,62,62,2014-03-01 22:46:00,68.4,0,0,-0.22,-0.11,-0.11
63,63,63,2014-03-01 22:51:00,86.4,0,0,-0.22,-0.11,-0.11
64,64,64,2014-03-01 22:56:00,68.4,0,0,-0.22,-0.11,-0.11
65,65,65,2014-03-01 23:01:00,42.0,0,0,-0.22,-0.11,-0.11
66,66,66,2014-03-01 23:06:00,104.4,0,0,-0.22,-0.11,-0.11
67,67,67,2014-03-01 23:11:00,68.4,0,0,-0.22,-0.11,-0.11
68,68,68,2014-03-01 23:16:00,42.0,0,0,-0.22,-0.11,-0.11
69,69,69,2014-03-01 23:21:00,112.8,0,0,-0.22,-0.11,-0.11
70,70,70,2014-03-01 23:26:00,42.0,0,0,-0.22,-0.11,-0.11
71,71,71,2014-03-01 23:31:00,76.8,0,0,-0.22,-0.11,-0.11
72,72,72,2014-03-01 23:36:00,42.0,0,0,-0.22,-0.11,-0.11
73,73,73,2014-03-01 23:41:00,112.8,0,0,-0.22,-0.11,-0.11
74,74,74,2014-03-01 23:46:00,68.4,0,0,-0.22,-0.11,-0.11
75,75,75,2014-03-01 23:51:00,42.0,0,0,-0.22,-0.11,-0.11
76,76,76,2014-03-01 23:56:00,112.8,0,0,-0.22,-0.11,-0.11
77,77,77,2014-03-02 00:01:00,42.0,0,0,-0.22,-0.11,-0.11
78,78,78,2014-03-02 00:06:00,68.4,0,0,-0.22,-0.11,-0.11
79,79,79,2014-03-02 00:11:00,68.4,0,0,-0.22,-0.11,-0.11
80,80,80,2014-03-02 00:16:00,86.4,0,0,-0.22,-0.11,-0.11
81,81,81,2014-03-02 00:21:00,68.4,0,0,-0.22,-0.11,-0.11
82,82,82,2014-03-02 00:26:00,42.0,0,0,-0.22,-0.11,-0.11
83,83,83,2014-03-02 00:31:00,112.8,0,0,-0.22,-0.11,-0.11
84,84,84,2014-03-02 00:36:00,42.0,0,0,-0.22,-0.11,-0.11
85,85,85,2014-03-02 00:41:00,60.0,0,0,-0.22,-0.11,-0.11
86,86,86,2014-03-02 00:46:00,68.4,0,0,-0.22,-0.11,-0.11
87,87,87,2014-03-02 00:51:00,86.4,0,0,-0.22,-0.11,-0.11
88,88,88,2014-03-02 00:56:00,68.4,0,0,-0.22,-0.11,-0.11
89,89,89,2014-03-02 01:01:00,42.0,0,0,-0.22,-0.11,-0.11
90,90,90,2014-03-02 01:06:00,112.8,0,0,-0.22,-0.11,-0.11
91,91,91,2014-03-02 01:11:00,68.4,0,0,-0.22,-0.11,-0.11
92,92,92,2014-03-02 01:16:00,42.0,0,0,-0.22,-0.11,-0.11
93,93,93,2014-03-02 01:21:00,112.8,0,0,-0.22,-0.11,-0.11
94,94,94,2014-03-02 01:26:00,42.0,0,0,-0.22,-0.11,-0.11
95,95,95,2014-03-02 01:31:00,68.4,0,0,-0.22,-0.11,-0.11
96,96,96,2014-03-02 01:36:00,68.4,0,0,-0.22,-0.11,-0.11
97,97,97,2014-03-02 01:41:00,86.4,0,0,-0.22,-0.11,-0.11
98,98,98,2014-03-02 01:46:00,68.4,0,0,-0.22,-0.11,-0.11
99,99,99,2014-03-02 01:51:00,42.0,0,0,-0.22,-0.11,-0.11
100,100,100,2014-03-02 01:56:00,112.8,0,0,-0.22,-0.11,-0.11
101,101,101,2014-03-02 02:01:00,42.0,0,0,-0.22,-0.11,-0.11
102,102,102,2014-03-02 02:06:00,68.4,0,0,-0.22,-0.11,-0.11
103,103,103,2014-03-02 02:11:00,68.4,0,0,-0.22,-0.11,-0.11
104,104,104,2014-03-02 02:16:00,94.8,0,0,-0.22,-0.11,-0.11
105,105,105,2014-03-02 02:21:00,68.4,0,0,-0.22,-0.11,-0.11
106,106,106,2014-03-02 02:26:00,42.0,0,0,-0.22,-0.11,-0.11
107,107,107,2014-03-02 02:31:00,94.8,0,0,-0.22,-0.11,-0.11
108,108,108,2014-03-02 02:36:00,68.4,0,0,-0.22,-0.11,-0.11
109,109,109,2014-03-02 02:41:00,42.0,0,0,-0.22,-0.11,-0.11
110,110,110,2014-03-02 02:46:00,94.8,0,0,-0.22,-0.11,-0.11
111,111,111,2014-03-02 02:51:00,42.0,0,0,-0.22,-0.11,-0.11
112,112,112,2014-03-02 02:56:00,68.4,0,0,-0.22,-0.11,-0.11
113,113,113,2014-03-02 03:01:00,42.0,0,0,-0.22,-0.11,-0.11
114,114,114,2014-03-02 03:06:00,104.4,0,0,-0.22,-0.11,-0.11
115,115,115,2014-03-02 03:11:00,68.4,0,0,-0.22,-0.11,-0.11
116,116,116,2014-03-02 03:16:00,42.0,0,0,-0.22,-0.11,-0.11
117,117,117,2014-03-02 03:21:00,112.8,0,0,-0.22,-0.11,-0.11
118,118,118,2014-03-02 03:26:00,42.0,0,0,-0.22,-0.11,-0.11
119,119,119,2014-03-02 03:31:00,68.4,0,0,-0.22,-0.11,-0.11
120,120,120,2014-03-02 03:36:00,68.4,0,0,-0.22,-0.11,-0.11
121,121,121,2014-03-02 03:41:00,86.4,0,0,-0.22,-0.11,-0.11
122,122,122,2014-03-02 03:46:00,68.4,0,0,-0.22,-0.11,-0.11
123,123,123,2014-03-02 03:51:00,42.0,0,0,-0.22,-0.11,-0.11
124,124,124,2014-03-02 03:56:00,112.8,0,0,-0.22,-0.11,-0.11
125,125,125,2014-03-02 04:01:00,60.0,0,0,-0.22,-0.11,-0.11
126,126,126,2014-03-02 04:06:00,50.4,0,0,-0.22,-0.11,-0.11
127,127,127,2014-03-02 04:11:00,94.8,0,0,-0.22,-0.11,-0.11
128,128,128,2014-03-02 04:16:00,60.0,0,0,-0.22,-0.11,-0.11
129,129,129,2014-03-02 04:21:00,68.4,0,0,-0.22,-0.11,-0.11
130,130,130,2014-03-02 04:26:00,42.0,0,0,-0.22,-0.11,-0.11
131,131,131,2014-03-02 04:31:00,112.8,0,0,-0.22,-0.11,-0.11
132,132,132,2014-03-02 04:36:00,60.0,0,0,-0.22,-0.11,-0.11
133,133,133,2014-03-02 04:41:00,42.0,0,0,-0.22,-0.11,-0.11
134,134,134,2014-03-02 04:46:00,112.8,0,0,-0.22,-0.11,-0.11
135,135,135,2014-03-02 04:51:00,42.0,0,0,-0.22,-0.11,-0.11
136,136,136,2014-03-02 04:56:00,68.4,0,0,-0.22,-0.11,-0.11
137,137,137,2014-03-02 05:01:00,68.4,0,0,-0.22,-0.11,-0.11
138,138,138,2014-03-02 05:06:00,86.4,0,0,-0.22,-0.11,-0.11
139,139,139,2014-03-02 05:11:00,68.4,0,0,-0.22,-0.11,-0.11
140,140,140,2014-03-02 05:16:00,42.0,0,0,-0.22,-0.11,-0.11
141,141,141,2014-03-02 05:21:00,112.8,0,0,-0.22,-0.11,-0.11
142,142,142,2014-03-02 05:26:00,42.0,0,0,-0.22,-0.11,-0.11
143,143,143,2014-03-02 05:31:00,76.8,0,0,-0.22,-0.11,-0.11
144,144,144,2014-03-02 05:36:00,68.4,0,0,-0.22,-0.11,-0.11
145,145,145,2014-03-02 05:41:00,86.4,0,0,-0.22,-0.11,-0.11
146,146,146,2014-03-02 05:46:00,68.4,0,0,-0.22,-0.11,-0.11
147,147,147,2014-03-02 05:51:00,42.0,0,0,-0.22,-0.11,-0.11
148,148,148,2014-03-02 05:56:00,112.8,0,0,-0.22,-0.11,-0.11
149,149,149,2014-03-02 06:01:00,68.4,0,0,-0.22,-0.11,-0.11
150,150,150,2014-03-02 06:06:00,42.0,0,0,-0.22,-0.11,-0.11
151,151,151,2014-03-02 06:11:00,112.8,0,0,-0.22,-0.11,-0.11
152,152,152,2014-03-02 06:16:00,42.0,0,0,-0.22,-0.11,-0.11
153,153,153,2014-03-02 06:21:00,68.4,0,0,-0.22,-0.11,-0.11
154,154,154,2014-03-02 06:26:00,42.0,0,0,-0.22,-0.11,-0.11
155,155,155,2014-03-02 06:31:00,86.4,0,0,-0.22,-0.11,-0.11
156,156,156,2014-03-02 06:36:00,68.4,0,0,-0.22,-0.11,-0.11
157,157,157,2014-03-02 06:41:00,42.0,0,0,-0.22,-0.11,-0.11
158,158,158,2014-03-02 06:46:00,104.4,0,0,-0.22,-0.11,-0.11
159,159,159,2014-03-02 06:51:00,42.0,0,0,-0.22,-0.11,-0.11
160,160,160,2014-03-02 06:56:00,68.4,0,0,-0.22,-0.11,-0.11
161,161,161,2014-03-02 07:01:00,150.6,0,0,-0.22,-0.11,-0.11
162,162,162,2014-03-02 07:06:00,86.4,0,0,-0.22,-0.11,-0.11
163,163,163,2014-03-02 07:11:00,68.4,0,0,-0.22,-0.11,-0.11
164,164,164,2014-03-02 07:16:00,42.0,0,0,-0.22,-0.11,-0.11
165,165,165,2014-03-02 07:21:00,112.8,0,0,-0.22,-0.11,-0.11
166,166,166,2014-03-02 07:26:00,68.4,0,0,-0.22,-0.11,-0.11
167,167,167,2014-03-02 07:31:00,42.0,0,0,-0.22,-0.11,-0.11
168,168,168,2014-03-02 07:36:00,94.8,0,0,-0.22,-0.11,-0.11
169,169,169,2014-03-02 07:41:00,68.4,0,0,-0.22,-0.11,-0.11
170,170,170,2014-03-02 07:46:00,68.4,0,0,-0.22,-0.11,-0.11
171,171,171,2014-03-02 07:51:00,42.0,0,0,-0.22,-0.11,-0.11
172,172,172,2014-03-02 07:56:00,112.8,0,0,-0.22,-0.11,-0.11
173,173,173,2014-03-02 08:01:00,68.4,0,0,-0.22,-0.11,-0.11
174,174,174,2014-03-02 08:06:00,42.0,0,0,-0.22,-0.11,-0.11
175,175,175,2014-03-02 08:11:00,112.8,0,0,-0.22,-0.11,-0.11
176,176,176,2014-03-02 08:16:00,42.0,0,0,-0.22,-0.11,-0.11
177,177,177,2014-03-02 08:21:00,60.0,0,0,-0.22,-0.11,-0.11
178,178,178,2014-03-02 08:26:00,68.4,0,0,-0.22,-0.11,-0.11
179,179,179,2014-03-02 08:31:00,86.4,0,0,-0.22,-0.11,-0.11
180,180,180,2014-03-02 08:36:00,68.4,0,0,-0.22,-0.11,-0.11
181,181,181,2014-03-02 08:41:00,42.0,0,0,-0.22,-0.11,-0.11
182,182,182,2014-03-02 08:46:00,112.8,0,0,-0.22,-0.11,-0.11
