,Unnamed: 0,Unnamed: 0.1,timestamp,value,anomaly_score,label,S(t)_reward_low_FP_rate,S(t)_reward_low_FN_rate,S(t)_standard
0,0,0,2014-05-14 01:14:00,85.835,0,0,-0.22,-0.11,-0.11
1,1,1,2014-05-14 01:19:00,88.167,0,0,-0.22,-0.11,-0.11
2,2,2,2014-05-14 01:24:00,44.595,0,0,-0.22,-0.11,-0.11
3,3,3,2014-05-14 01:29:00,56.282,0,0,-0.22,-0.11,-0.11
4,4,4,2014-05-14 01:34:00,36.534,0,0,-0.22,-0.11,-0.11
5,5,5,2014-05-14 01:39:00,36.894,0,0,-0.22,-0.11,-0.11
6,6,6,2014-05-14 01:44:00,36.807,0,0,-0.22,-0.11,-0.11
7,7,7,2014-05-14 01:49:00,36.763,0,0,-0.22,-0.11,-0.11
8,8,8,2014-05-14 01:54:00,36.167,0,0,-0.22,-0.11,-0.11
9,9,9,2014-05-14 01:59:00,38.992,0,0,-0.22,-0.11,-0.11
10,10,10,2014-05-14 02:04:00,49.724,0,0,-0.22,-0.11,-0.11
11,11,11,2014-05-14 02:09:00,39.939,0,0,-0.22,-0.11,-0.11
12,12,12,2014-05-14 02:14:00,37.058,0,0,-0.22,-0.11,-0.11
13,13,13,2014-05-14 02:19:00,36.119,0,0,-0.22,-0.11,-0.11
14,14,14,2014-05-14 02:24:00,36.339,0,0,-0.22,-0.11,-0.11
15,15,15,2014-05-14 02:29:00,37.39,0,0,-0.22,-0.11,-0.11
16,16,16,2014-05-14 02:34:00,36.156,0,0,-0.22,-0.11,-0.11
17,17,17,2014-05-14 02:39:00,36.59,0,0,-0.22,-0.11,-0.11
18,18,18,2014-05-14 02:44:00,36.624,0,0,-0.22,-0.11,-0.11
19,19,19,2014-05-14 02:49:00,35.89,0,0,-0.22,-0.11,-0.11
20,20,20,2014-05-14 02:54:00,36.398,0,0,-0.22,-0.11,-0.11
21,21,21,2014-05-14 02:59:00,40.294,0,0,-0.22,-0.11,-0.11
22,22,22,2014-05-14 03:04:00,49.725,0,0,-0.22,-0.11,-0.11
23,23,23,2014-05-14 03:09:00,37.274,0,0,-0.22,-0.11,-0.11
24,24,24,2014-05-14 03:14:00,46.506,0,0,-0.22,-0.11,-0.11
25,25,25,2014-05-14 03:19:00,38.674,0,0,-0.22,-0.11,-0.11
26,26,26,2014-05-14 03:24:00,36.715,0,0,-0.22,-0.11,-0.11
27,27,27,2014-05-14 03:29:00,50.673,0,0,-0.22,-0.11,-0.11
28,28,28,2014-05-14 03:34:00,38.114,0,0,-0.22,-0.11,-0.11
29,29,29,2014-05-14 03:39:00,36.561,0,0,-0.22,-0.11,-0.11
30,30,30,2014-05-14 03:44:00,40.321,0,0,-0.22,-0.11,-0.11
31,31,31,2014-05-14 03:49:00,37.425,0,0,-0.22,-0.11,-0.11
32,32,32,2014-05-14 03:54:00,34.767,0,0,-0.22,-0.11,-0.11
33,33,33,2014-05-14 03:59:00,37.408,0,0,-0.22,-0.11,-0.11
34,34,34,2014-05-14 04:04:00,71.106,0,0,-0.22,-0.11,-0.11
35,35,35,2014-05-14 04:09:00,33.43,0,0,-0.22,-0.11,-0.11
36,36,36,2014-05-14 04:14:00,33.502,0,0,-0.22,-0.11,-0.11
37,37,37,2014-05-14 04:19:00,31.879,0,0,-0.22,-0.11,-0.11
38,38,38,2014-05-14 04:24:00,31.615,0,0,-0.22,-0.11,-0.11
39,39,39,2014-05-14 04:29:00,33.388,0,0,-0.22,-0.11,-0.11
40,40,40,2014-05-14 04:34:00,32.013,0,0,-0.22,-0.11,-0.11
41,41,41,2014-05-14 04:39:00,32.003,0,0,-0.22,-0.11,-0.11
