,Unnamed: 0,Unnamed: 0.1,timestamp,value,anomaly_score,label,S(t)_reward_low_FP_rate,S(t)_reward_low_FN_rate,S(t)_standard
0,0,0,2013-12-02 21:15:00,73.96732207,0,0,-0.22,-0.11,-0.11
1,1,1,2013-12-02 21:20:00,74.935882,0,0,-0.22,-0.11,-0.11
2,2,2,2013-12-02 21:25:00,76.12416182,0,0,-0.22,-0.11,-0.11
3,3,3,2013-12-02 21:30:00,78.14070732,0,0,-0.22,-0.11,-0.11
4,4,4,2013-12-02 21:35:00,79.32983574,0,0,-0.22,-0.11,-0.11
5,5,5,2013-12-02 21:40:00,78.71041827,0,0,-0.22,-0.11,-0.11
6,6,6,2013-12-02 21:45:00,80.26978421,0,0,-0.22,-0.11,-0.11
7,7,7,2013-12-02 21:50:00,80.27282792,0,0,-0.22,-0.11,-0.11
8,8,8,2013-12-02 21:55:00,80.35342468,0,0,-0.22,-0.11,-0.11
9,9,9,2013-12-02 22:00:00,79.48652315,0,0,-0.22,-0.11,-0.11
10,10,10,2013-12-02 22:05:00,80.78327674,0,0,-0.22,-0.11,-0.11
11,11,11,2013-12-02 22:10:00,79.50815854,0,0,-0.22,-0.11,-0.11
12,12,12,2013-12-02 22:15:00,79.30203285,0,0,-0.22,-0.11,-0.11
13,13,13,2013-12-02 22:20:00,80.80262407,0,0,-0.22,-0.11,-0.11
14,14,14,2013-12-02 22:25:00,80.37778929,0,0,-0.22,-0.11,-0.11
15,15,15,2013-12-02 22:30:00,80.47923735,0,0,-0.22,-0.11,-0.11
16,16,16,2013-12-02 22:35:00,81.42356028,0,0,-0.22,-0.11,-0.11
17,17,17,2013-12-02 22:40:00,81.37357535,0,0,-0.22,-0.11,-0.11
18,18,18,2013-12-02 22:45:00,81.69094215,0,0,-0.22,-0.11,-0.11
19,19,19,2013-12-02 22:50:00,80.18124978,0,0,-0.22,-0.11,-0.11
20,20,20,2013-12-02 22:55:00,81.76717835,0,0,-0.22,-0.11,-0.11
21,21,21,2013-12-02 23:00:00,81.25978065,0,0,-0.22,-0.11,-0.11
22,22,22,2013-12-02 23:05:00,80.30293653,0,0,-0.22,-0.11,-0.11
23,23,23,2013-12-02 23:10:00,81.11459031,0,0,-0.22,-0.11,-0.11
24,24,24,2013-12-02 23:15:00,81.74810877,0,0,-0.22,-0.11,-0.11
25,25,25,2013-12-02 23:20:00,81.99460747,0,0,-0.22,-0.11,-0.11
26,26,26,2013-12-02 23:25:00,81.2580527,0,0,-0.22,-0.11,-0.11
27,27,27,2013-12-02 23:30:00,83.11803871,0,0,-0.22,-0.11,-0.11
28,28,28,2013-12-02 23:35:00,81.24702121,0,0,-0.22,-0.11,-0.11
29,29,29,2013-12-02 23:40:00,82.73586941,0,0,-0.22,-0.11,-0.11
30,30,30,2013-12-02 23:45:00,81.72332602,0,0,-0.22,-0.11,-0.11
31,31,31,2013-12-02 23:50:00,81.56235567,0,0,-0.22,-0.11,-0.11
32,32,32,2013-12-02 23:55:00,81.43553422,0,0,-0.22,-0.11,-0.11
33,33,33,2013-12-03 00:00:00,81.90815592,0,0,-0.22,-0.11,-0.11
34,34,34,2013-12-03 00:05:00,82.45575098,0,0,-0.22,-0.11,-0.11
35,35,35,2013-12-03 00:10:00,83.02758267,0,0,-0.22,-0.11,-0.11
36,36,36,2013-12-03 00:15:00,83.36235646,0,0,-0.22,-0.11,-0.11
37,37,37,2013-12-03 00:20:00,81.88701566,0,0,-0.22,-0.11,-0.11
38,38,38,2013-12-03 00:25:00,82.88189183,0,0,-0.22,-0.11,-0.11
39,39,39,2013-12-03 00:30:00,83.57965349,0,0,-0.22,-0.11,-0.11
40,40,40,2013-12-03 00:35:00,83.76141298,0,0,-0.22,-0.11,-0.11
41,41,41,2013-12-03 00:40:00,82.30991906,0,0,-0.22,-0.11,-0.11
42,42,42,2013-12-03 00:45:00,83.05136903,0,0,-0.22,-0.11,-0.11
43,43,43,2013-12-03 00:50:00,83.26333638,0,0,-0.22,-0.11,-0.11
44,44,44,2013-12-03 00:55:00,84.09700706,0,0,-0.22,-0.11,-0.11
45,45,45,2013-12-03 01:00:00,83.5464428,0,0,-0.22,-0.11,-0.11
46,46,46,2013-12-03 01:05:00,83.48998999,0,0,-0.22,-0.11,-0.11
47,47,47,2013-12-03 01:10:00,83.43534304,0,0,-0.22,-0.11,-0.11
48,48,48,2013-12-03 01:15:00,85.18336642,0,0,-0.22,-0.11,-0.11
49,49,49,2013-12-03 01:20:00,85.34462435,0,0,-0.22,-0.11,-0.11
50,50,50,2013-12-03 01:25:00,84.67196172,0,0,-0.22,-0.11,-0.11
51,51,51,2013-12-03 01:30:00,85.30276155,0,0,-0.22,-0.11,-0.11
52,52,52,2013-12-03 01:35:00,84.34921079,0,0,-0.22,-0.11,-0.11
53,53,53,2013-12-03 01:40:00,84.55584383,0,0,-0.22,-0.11,-0.11
54,54,54,2013-12-03 01:45:00,83.7711366,0,0,-0.22,-0.11,-0.11
55,55,55,2013-12-03 01:50:00,85.29834063,0,0,-0.22,-0.11,-0.11
56,56,56,2013-12-03 01:55:00,85.40014591,0,0,-0.22,-0.11,-0.11
57,57,57,2013-12-03 02:00:00,85.10730255,0,0,-0.22,-0.11,-0.11
58,58,58,2013-12-03 02:05:00,84.97405668,0,0,-0.22,-0.11,-0.11
59,59,59,2013-12-03 02:10:00,85.43784202,0,0,-0.22,-0.11,-0.11
60,60,60,2013-12-03 02:15:00,84.83484013,0,0,-0.22,-0.11,-0.11
61,61,61,2013-12-03 02:20:00,84.94715827,0,0,-0.22,-0.11,-0.11
62,62,62,2013-12-03 02:25:00,86.16861901,0,0,-0.22,-0.11,-0.11
63,63,63,2013-12-03 02:30:00,86.37621858,0,0,-0.22,-0.11,-0.11
64,64,64,2013-12-03 02:35:00,86.3421685,0,0,-0.22,-0.11,-0.11
65,65,65,2013-12-03 02:40:00,86.61918376,0,0,-0.22,-0.11,-0.11
66,66,66,2013-12-03 02:45:00,86.30151068,0,0,-0.22,-0.11,-0.11
67,67,67,2013-12-03 02:50:00,86.57173751,0,0,-0.22,-0.11,-0.11
68,68,68,2013-12-03 02:55:00,86.48675455,0,0,-0.22,-0.11,-0.11
69,69,69,2013-12-03 03:00:00,87.52018696,0,0,-0.22,-0.11,-0.11
70,70,70,2013-12-03 03:05:00,87.00908412,0,0,-0.22,-0.11,-0.11
71,71,71,2013-12-03 03:10:00,86.96641259,0,0,-0.22,-0.11,-0.11
72,72,72,2013-12-03 03:15:00,88.62366147,0,0,-0.22,-0.11,-0.11
73,73,73,2013-12-03 03:20:00,88.59942914,0,0,-0.22,-0.11,-0.11
74,74,74,2013-12-03 03:25:00,89.44293245,0,0,-0.22,-0.11,-0.11
75,75,75,2013-12-03 03:30:00,87.98565262,0,0,-0.22,-0.11,-0.11
76,76,76,2013-12-03 03:35:00,89.75558903,0,0,-0.22,-0.11,-0.11
77,77,77,2013-12-03 03:40:00,88.80257312,0,0,-0.22,-0.11,-0.11
78,78,78,2013-12-03 03:45:00,89.7298597,0,0,-0.22,-0.11,-0.11
79,79,79,2013-12-03 03:50:00,90.22009915,0,0,-0.22,-0.11,-0.11
80,80,80,2013-12-03 03:55:00,89.44223536,0,0,-0.22,-0.11,-0.11
81,81,81,2013-12-03 04:00:00,90.50690649,0,0,-0.22,-0.11,-0.11
82,82,82,2013-12-03 04:05:00,90.89985471,0,0,-0.22,-0.11,-0.11
83,83,83,2013-12-03 04:10:00,89.52273909,0,0,-0.22,-0.11,-0.11
84,84,84,2013-12-03 04:15:00,90.79023919,0,0,-0.22,-0.11,-0.11
85,85,85,2013-12-03 04:20:00,91.52798129,0,0,-0.22,-0.11,-0.11
86,86,86,2013-12-03 04:25:00,90.30234442,0,0,-0.22,-0.11,-0.11
87,87,87,2013-12-03 04:30:00,91.69464161,0,0,-0.22,-0.11,-0.11
88,88,88,2013-12-03 04:35:00,90.61223839,0,0,-0.22,-0.11,-0.11
89,89,89,2013-12-03 04:40:00,91.35611449,0,0,-0.22,-0.11,-0.11
90,90,90,2013-12-03 04:45:00,91.1192753,0,0,-0.22,-0.11,-0.11
91,91,91,2013-12-03 04:50:00,92.2779806,0,0,-0.22,-0.11,-0.11
92,92,92,2013-12-03 04:55:00,91.93466396,0,0,-0.22,-0.11,-0.11
93,93,93,2013-12-03 05:00:00,91.26341409,0,0,-0.22,-0.11,-0.11
94,94,94,2013-12-03 05:05:00,91.03317052,0,0,-0.22,-0.11,-0.11
95,95,95,2013-12-03 05:10:00,90.54178741,0,0,-0.22,-0.11,-0.11
96,96,96,2013-12-03 05:15:00,89.31712427,0,0,-0.22,-0.11,-0.11
97,97,97,2013-12-03 05:20:00,88.60863427,0,0,-0.22,-0.11,-0.11
98,98,98,2013-12-03 05:25:00,88.00860982,0,0,-0.22,-0.11,-0.11
99,99,99,2013-12-03 05:30:00,87.9874342,0,0,-0.22,-0.11,-0.11
100,100,100,2013-12-03 05:35:00,87.62276247,0,0,-0.22,-0.11,-0.11
101,101,101,2013-12-03 05:40:00,86.35545122,0,0,-0.22,-0.11,-0.11
102,102,102,2013-12-03 05:45:00,86.69530437,0,0,-0.22,-0.11,-0.11
103,103,103,2013-12-03 05:50:00,84.67963832,0,0,-0.22,-0.11,-0.11
104,104,104,2013-12-03 05:55:00,84.07484551,0,0,-0.22,-0.11,-0.11
105,105,105,2013-12-03 06:00:00,84.35696223,0,0,-0.22,-0.11,-0.11
106,106,106,2013-12-03 06:05:00,84.58044581,0,0,-0.22,-0.11,-0.11
107,107,107,2013-12-03 06:10:00,82.68818775,0,0,-0.22,-0.11,-0.11
108,108,108,2013-12-03 06:15:00,82.69563236,0,0,-0.22,-0.11,-0.11
109,109,109,2013-12-03 06:20:00,83.76512879,0,0,-0.22,-0.11,-0.11
110,110,110,2013-12-03 06:25:00,82.98957536,0,0,-0.22,-0.11,-0.11
111,111,111,2013-12-03 06:30:00,82.23041088,0,0,-0.22,-0.11,-0.11
112,112,112,2013-12-03 06:35:00,83.88653506,0,0,-0.22,-0.11,-0.11
113,113,113,2013-12-03 06:40:00,81.89958882,0,0,-0.22,-0.11,-0.11
114,114,114,2013-12-03 06:45:00,81.51452457,0,0,-0.22,-0.11,-0.11
115,115,115,2013-12-03 06:50:00,82.75784339,0,0,-0.22,-0.11,-0.11
116,116,116,2013-12-03 06:55:00,82.38401128,0,0,-0.22,-0.11,-0.11
117,117,117,2013-12-03 07:00:00,83.21031771,0,0,-0.22,-0.11,-0.11
118,118,118,2013-12-03 07:05:00,82.8468474,0,0,-0.22,-0.11,-0.11
119,119,119,2013-12-03 07:10:00,80.83401484,0,0,-0.22,-0.11,-0.11
120,120,120,2013-12-03 07:15:00,80.57814533,0,0,-0.22,-0.11,-0.11
121,121,121,2013-12-03 07:20:00,82.38411475,0,0,-0.22,-0.11,-0.11
122,122,122,2013-12-03 07:25:00,82.14105996,0,0,-0.22,-0.11,-0.11
123,123,123,2013-12-03 07:30:00,81.51010328,0,0,-0.22,-0.11,-0.11
124,124,124,2013-12-03 07:35:00,80.32038196,0,0,-0.22,-0.11,-0.11
125,125,125,2013-12-03 07:40:00,81.37765072,0,0,-0.22,-0.11,-0.11
126,126,126,2013-12-03 07:45:00,82.57875201,0,0,-0.22,-0.11,-0.11
127,127,127,2013-12-03 07:50:00,83.67102071,0,0,-0.22,-0.11,-0.11
128,128,128,2013-12-03 07:55:00,82.31952904,0,0,-0.22,-0.11,-0.11
129,129,129,2013-12-03 08:00:00,84.00735878,0,0,-0.22,-0.11,-0.11
130,130,130,2013-12-03 08:05:00,84.15133223,0,0,-0.22,-0.11,-0.11
131,131,131,2013-12-03 08:10:00,85.42547113,0,0,-0.22,-0.11,-0.11
132,132,132,2013-12-03 08:15:00,86.54847695,0,0,-0.22,-0.11,-0.11
133,133,133,2013-12-03 08:20:00,87.29964034,0,0,-0.22,-0.11,-0.11
134,134,134,2013-12-03 08:25:00,86.08152742,0,0,-0.22,-0.11,-0.11
135,135,135,2013-12-03 08:30:00,85.88428549,0,0,-0.22,-0.11,-0.11
136,136,136,2013-12-03 08:35:00,85.56048471,0,0,-0.22,-0.11,-0.11
137,137,137,2013-12-03 08:40:00,85.13496309,0,0,-0.22,-0.11,-0.11
138,138,138,2013-12-03 08:45:00,86.6109496,0,0,-0.22,-0.11,-0.11
139,139,139,2013-12-03 08:50:00,86.15758118,0,0,-0.22,-0.11,-0.11
140,140,140,2013-12-03 08:55:00,85.23120601,0,0,-0.22,-0.11,-0.11
141,141,141,2013-12-03 09:00:00,85.93395961,0,0,-0.22,-0.11,-0.11
142,142,142,2013-12-03 09:05:00,85.11561607,0,0,-0.22,-0.11,-0.11
143,143,143,2013-12-03 09:10:00,85.86375607,0,0,-0.22,-0.11,-0.11
144,144,144,2013-12-03 09:15:00,83.48616417,0,0,-0.22,-0.11,-0.11
145,145,145,2013-12-03 09:20:00,85.48938451,0,0,-0.22,-0.11,-0.11
146,146,146,2013-12-03 09:25:00,83.14095879,0,0,-0.22,-0.11,-0.11
147,147,147,2013-12-03 09:30:00,83.35164174,0,0,-0.22,-0.11,-0.11
148,148,148,2013-12-03 09:35:00,83.69802526,0,0,-0.22,-0.11,-0.11
149,149,149,2013-12-03 09:40:00,83.80362667,0,0,-0.22,-0.11,-0.11
150,150,150,2013-12-03 09:45:00,83.50931286,0,0,-0.22,-0.11,-0.11
151,151,151,2013-12-03 09:50:00,83.4881532,0,0,-0.22,-0.11,-0.11
152,152,152,2013-12-03 09:55:00,84.0784573,0,0,-0.22,-0.11,-0.11
153,153,153,2013-12-03 10:00:00,82.2651982,0,0,-0.22,-0.11,-0.11
154,154,154,2013-12-03 10:05:00,82.83535437,0,0,-0.22,-0.11,-0.11
155,155,155,2013-12-03 10:10:00,82.04034143,0,0,-0.22,-0.11,-0.11
156,156,156,2013-12-03 10:15:00,81.50854903,0,0,-0.22,-0.11,-0.11
157,157,157,2013-12-03 10:20:00,82.36420121,0,0,-0.22,-0.11,-0.11
158,158,158,2013-12-03 10:25:00,80.58482816,0,0,-0.22,-0.11,-0.11
159,159,159,2013-12-03 10:30:00,80.9978684,0,0,-0.22,-0.11,-0.11
160,160,160,2013-12-03 10:35:00,81.16723557,0,0,-0.22,-0.11,-0.11
161,161,161,2013-12-03 10:40:00,80.31567859,0,0,-0.22,-0.11,-0.11
162,162,162,2013-12-03 10:45:00,79.66605694,0,0,-0.22,-0.11,-0.11
163,163,163,2013-12-03 10:50:00,79.8814896,0,0,-0.22,-0.11,-0.11
164,164,164,2013-12-03 10:55:00,78.09314197,0,0,-0.22,-0.11,-0.11
165,165,165,2013-12-03 11:00:00,77.72449282,0,0,-0.22,-0.11,-0.11
166,166,166,2013-12-03 11:05:00,78.41045288,0,0,-0.22,-0.11,-0.11
167,167,167,2013-12-03 11:10:00,77.1646548,0,0,-0.22,-0.11,-0.11
168,168,168,2013-12-03 11:15:00,75.35177264,0,0,-0.22,-0.11,-0.11
169,169,169,2013-12-03 11:20:00,76.18233367,0,0,-0.22,-0.11,-0.11
170,170,170,2013-12-03 11:25:00,74.56924109,0,0,-0.22,-0.11,-0.11
171,171,171,2013-12-03 11:30:00,73.50573006,0,0,-0.22,-0.11,-0.11
172,172,172,2013-12-03 11:35:00,74.57014555,0,0,-0.22,-0.11,-0.11
173,173,173,2013-12-03 11:40:00,72.68741156,0,0,-0.22,-0.11,-0.11
174,174,174,2013-12-03 11:45:00,73.52553931,0,0,-0.22,-0.11,-0.11
175,175,175,2013-12-03 11:50:00,72.82721113,0,0,-0.22,-0.11,-0.11
176,176,176,2013-12-03 11:55:00,72.77529924,0,0,-0.22,-0.11,-0.11
177,177,177,2013-12-03 12:00:00,73.83093472,0,0,-0.22,-0.11,-0.11
178,178,178,2013-12-03 12:05:00,73.13846943,0,0,-0.22,-0.11,-0.11
179,179,179,2013-12-03 12:10:00,75.34241901,0,0,-0.22,-0.11,-0.11
180,180,180,2013-12-03 12:15:00,74.81298165,0,0,-0.22,-0.11,-0.11
181,181,181,2013-12-03 12:20:00,76.34122004,0,0,-0.22,-0.11,-0.11
182,182,182,2013-12-03 12:25:00,75.35202093,0,0,-0.22,-0.11,-0.11
183,183,183,2013-12-03 12:30:00,76.16336404,0,0,-0.22,-0.11,-0.11
184,184,184,2013-12-03 12:35:00,77.01836571,0,0,-0.22,-0.11,-0.11
185,185,185,2013-12-03 12:40:00,78.61550225,0,0,-0.22,-0.11,-0.11
186,186,186,2013-12-03 12:45:00,77.52448684,0,0,-0.22,-0.11,-0.11
187,187,187,2013-12-03 12:50:00,79.26428222,0,0,-0.22,-0.11,-0.11
188,188,188,2013-12-03 12:55:00,77.39280881,0,0,-0.22,-0.11,-0.11
189,189,189,2013-12-03 13:00:00,78.22049763,0,0,-0.22,-0.11,-0.11
190,190,190,2013-12-03 13:05:00,78.35412045,0,0,-0.22,-0.11,-0.11
191,191,191,2013-12-03 13:10:00,80.11719562,0,0,-0.22,-0.11,-0.11
192,192,192,2013-12-03 13:15:00,80.49280262,0,0,-0.22,-0.11,-0.11
193,193,193,2013-12-03 13:20:00,78.8077078,0,0,-0.22,-0.11,-0.11
194,194,194,2013-12-03 13:25:00,80.44409017,0,0,-0.22,-0.11,-0.11
195,195,195,2013-12-03 13:30:00,79.70186363,0,0,-0.22,-0.11,-0.11
196,196,196,2013-12-03 13:35:00,80.17581648,0,0,-0.22,-0.11,-0.11
197,197,197,2013-12-03 13:40:00,80.00900765,0,0,-0.22,-0.11,-0.11
198,198,198,2013-12-03 13:45:00,79.75172848,0,0,-0.22,-0.11,-0.11
199,199,199,2013-12-03 13:50:00,81.54395534,0,0,-0.22,-0.11,-0.11
200,200,200,2013-12-03 13:55:00,81.30146345,0,0,-0.22,-0.11,-0.11
201,201,201,2013-12-03 14:00:00,81.19987815,0,0,-0.22,-0.11,-0.11
202,202,202,2013-12-03 14:05:00,81.68924032,0,0,-0.22,-0.11,-0.11
203,203,203,2013-12-03 14:10:00,80.85042358,0,0,-0.22,-0.11,-0.11
204,204,204,2013-12-03 14:15:00,80.22887183,0,0,-0.22,-0.11,-0.11
205,205,205,2013-12-03 14:20:00,80.54340412,0,0,-0.22,-0.11,-0.11
206,206,206,2013-12-03 14:25:00,82.69675156,0,0,-0.22,-0.11,-0.11
207,207,207,2013-12-03 14:30:00,82.87691879,0,0,-0.22,-0.11,-0.11
208,208,208,2013-12-03 14:35:00,81.39294104,0,0,-0.22,-0.11,-0.11
209,209,209,2013-12-03 14:40:00,81.09516526,0,0,-0.22,-0.11,-0.11
210,210,210,2013-12-03 14:45:00,82.01953528,0,0,-0.22,-0.11,-0.11
211,211,211,2013-12-03 14:50:00,81.3269712,0,0,-0.22,-0.11,-0.11
212,212,212,2013-12-03 14:55:00,82.31148178,0,0,-0.22,-0.11,-0.11
213,213,213,2013-12-03 15:00:00,83.32496669,0,0,-0.22,-0.11,-0.11
214,214,214,2013-12-03 15:05:00,83.21001771,0,0,-0.22,-0.11,-0.11
215,215,215,2013-12-03 15:10:00,82.25146959,0,0,-0.22,-0.11,-0.11
216,216,216,2013-12-03 15:15:00,83.11339476,0,0,-0.22,-0.11,-0.11
217,217,217,2013-12-03 15:20:00,84.61722355,0,0,-0.22,-0.11,-0.11
218,218,218,2013-12-03 15:25:00,84.37223101,0,0,-0.22,-0.11,-0.11
219,219,219,2013-12-03 15:30:00,84.79520638,0,0,-0.22,-0.11,-0.11
220,220,220,2013-12-03 15:35:00,83.63540044,0,0,-0.22,-0.11,-0.11
221,221,221,2013-12-03 15:40:00,82.62589147,0,0,-0.22,-0.11,-0.11
222,222,222,2013-12-03 15:45:00,83.2559329,0,0,-0.22,-0.11,-0.11
223,223,223,2013-12-03 15:50:00,84.38916448,0,0,-0.22,-0.11,-0.11
224,224,224,2013-12-03 15:55:00,83.18147487,0,0,-0.22,-0.11,-0.11
225,225,225,2013-12-03 16:00:00,83.48184527,0,0,-0.22,-0.11,-0.11
226,226,226,2013-12-03 16:05:00,82.68143532,0,0,-0.22,-0.11,-0.11
227,227,227,2013-12-03 16:10:00,82.97997961,0,0,-0.22,-0.11,-0.11
