,Unnamed: 0,Unnamed: 0.1,timestamp,value,anomaly_score,label,S(t)_reward_low_FP_rate,S(t)_reward_low_FN_rate,S(t)_standard
0,0,0,2014-07-01 00:00:00,10844.0,0,0,-0.22,-0.11,-0.11
1,1,1,2014-07-01 00:30:00,8127.0,0,0,-0.22,-0.11,-0.11
2,2,2,2014-07-01 01:00:00,6210.0,0,0,-0.22,-0.11,-0.11
3,3,3,2014-07-01 01:30:00,4656.0,0,0,-0.22,-0.11,-0.11
4,4,4,2014-07-01 02:00:00,3820.0,0,0,-0.22,-0.11,-0.11
5,5,5,2014-07-01 02:30:00,2873.0,0,0,-0.22,-0.11,-0.11
6,6,6,2014-07-01 03:00:00,2369.0,0,0,-0.22,-0.11,-0.11
7,7,7,2014-07-01 03:30:00,2064.0,0,0,-0.22,-0.11,-0.11
8,8,8,2014-07-01 04:00:00,2221.0,0,0,-0.22,-0.11,-0.11
9,9,9,2014-07-01 04:30:00,2158.0,0,0,-0.22,-0.11,-0.11
10,10,10,2014-07-01 05:00:00,2515.0,0,0,-0.22,-0.11,-0.11
11,11,11,2014-07-01 05:30:00,4364.0,0,0,-0.22,-0.11,-0.11
12,12,12,2014-07-01 06:00:00,6526.0,0,0,-0.22,-0.11,-0.11
13,13,13,2014-07-01 06:30:00,11039.0,0,0,-0.22,-0.11,-0.11
14,14,14,2014-07-01 07:00:00,13857.0,0,0,-0.22,-0.11,-0.11
15,15,15,2014-07-01 07:30:00,15865.0,0,0,-0.22,-0.11,-0.11
16,16,16,2014-07-01 08:00:00,17920.0,0,0,-0.22,-0.11,-0.11
17,17,17,2014-07-01 08:30:00,20346.0,0,0,-0.22,-0.11,-0.11
18,18,18,2014-07-01 09:00:00,19539.0,0,0,-0.22,-0.11,-0.11
19,19,19,2014-07-01 09:30:00,20107.0,0,0,-0.22,-0.11,-0.11
20,20,20,2014-07-01 10:00:00,18984.0,0,0,-0.22,-0.11,-0.11
21,21,21,2014-07-01 10:30:00,17720.0,0,0,-0.22,-0.11,-0.11
22,22,22,2014-07-01 11:00:00,17249.0,0,0,-0.22,-0.11,-0.11
23,23,23,2014-07-01 11:30:00,18463.0,0,0,-0.22,-0.11,-0.11
24,24,24,2014-07-01 12:00:00,18908.0,0,0,-0.22,-0.11,-0.11
25,25,25,2014-07-01 12:30:00,18886.0,0,0,-0.22,-0.11,-0.11
26,26,26,2014-07-01 13:00:00,18178.0,0,0,-0.22,-0.11,-0.11
27,27,27,2014-07-01 13:30:00,19459.0,0,0,-0.22,-0.11,-0.11
28,28,28,2014-07-01 14:00:00,19546.0,0,0,-0.22,-0.11,-0.11
29,29,29,2014-07-01 14:30:00,20591.0,0,0,-0.22,-0.11,-0.11
30,30,30,2014-07-01 15:00:00,19380.0,0,0,-0.22,-0.11,-0.11
31,31,31,2014-07-01 15:30:00,18544.0,0,0,-0.22,-0.11,-0.11
32,32,32,2014-07-01 16:00:00,16228.0,0,0,-0.22,-0.11,-0.11
33,33,33,2014-07-01 16:30:00,15013.0,0,0,-0.22,-0.11,-0.11
34,34,34,2014-07-01 17:00:00,17203.0,0,0,-0.22,-0.11,-0.11
35,35,35,2014-07-01 17:30:00,19525.0,0,0,-0.22,-0.11,-0.11
36,36,36,2014-07-01 18:00:00,22966.0,0,0,-0.22,-0.11,-0.11
37,37,37,2014-07-01 18:30:00,27598.0,0,0,-0.22,-0.11,-0.11
38,38,38,2014-07-01 19:00:00,26827.0,0,0,-0.22,-0.11,-0.11
39,39,39,2014-07-01 19:30:00,24904.0,0,0,-0.22,-0.11,-0.11
40,40,40,2014-07-01 20:00:00,22875.0,0,0,-0.22,-0.11,-0.11
41,41,41,2014-07-01 20:30:00,20394.0,0,0,-0.22,-0.11,-0.11
42,42,42,2014-07-01 21:00:00,23401.0,0,0,-0.22,-0.11,-0.11
43,43,43,2014-07-01 21:30:00,24439.0,0,0,-0.22,-0.11,-0.11
44,44,44,2014-07-01 22:00:00,23318.0,0,0,-0.22,-0.11,-0.11
45,45,45,2014-07-01 22:30:00,21733.0,0,0,-0.22,-0.11,-0.11
46,46,46,2014-07-01 23:00:00,20104.0,0,0,-0.22,-0.11,-0.11
47,47,47,2014-07-01 23:30:00,16111.0,0,0,-0.22,-0.11,-0.11
48,48,48,2014-07-02 00:00:00,13370.0,0,0,-0.22,-0.11,-0.11
49,49,49,2014-07-02 00:30:00,9945.0,0,0,-0.22,-0.11,-0.11
50,50,50,2014-07-02 01:00:00,7571.0,0,0,-0.22,-0.11,-0.11
51,51,51,2014-07-02 01:30:00,5917.0,0,0,-0.22,-0.11,-0.11
52,52,52,2014-07-02 02:00:00,4820.0,0,0,-0.22,-0.11,-0.11
53,53,53,2014-07-02 02:30:00,3634.0,0,0,-0.22,-0.11,-0.11
54,54,54,2014-07-02 03:00:00,2993.0,0,0,-0.22,-0.11,-0.11
55,55,55,2014-07-02 03:30:00,2535.0,0,0,-0.22,-0.11,-0.11
56,56,56,2014-07-02 04:00:00,2570.0,0,0,-0.22,-0.11,-0.11
57,57,57,2014-07-02 04:30:00,2485.0,0,0,-0.22,-0.11,-0.11
58,58,58,2014-07-02 05:00:00,2868.0,0,0,-0.22,-0.11,-0.11
59,59,59,2014-07-02 05:30:00,4482.0,0,0,-0.22,-0.11,-0.11
60,60,60,2014-07-02 06:00:00,6788.0,0,0,-0.22,-0.11,-0.11
61,61,61,2014-07-02 06:30:00,11078.0,0,0,-0.22,-0.11,-0.11
62,62,62,2014-07-02 07:00:00,13729.0,0,0,-0.22,-0.11,-0.11
63,63,63,2014-07-02 07:30:00,16700.0,0,0,-0.22,-0.11,-0.11
64,64,64,2014-07-02 08:00:00,19156.0,0,0,-0.22,-0.11,-0.11
65,65,65,2014-07-02 08:30:00,19953.0,0,0,-0.22,-0.11,-0.11
66,66,66,2014-07-02 09:00:00,19502.0,0,0,-0.22,-0.11,-0.11
67,67,67,2014-07-02 09:30:00,18994.0,0,0,-0.22,-0.11,-0.11
68,68,68,2014-07-02 10:00:00,17311.0,0,0,-0.22,-0.11,-0.11
69,69,69,2014-07-02 10:30:00,17904.0,0,0,-0.22,-0.11,-0.11
70,70,70,2014-07-02 11:00:00,17133.0,0,0,-0.22,-0.11,-0.11
71,71,71,2014-07-02 11:30:00,18589.0,0,0,-0.22,-0.11,-0.11
72,72,72,2014-07-02 12:00:00,19134.0,0,0,-0.22,-0.11,-0.11
73,73,73,2014-07-02 12:30:00,19259.0,0,0,-0.22,-0.11,-0.11
74,74,74,2014-07-02 13:00:00,18667.0,0,0,-0.22,-0.11,-0.11
75,75,75,2014-07-02 13:30:00,19078.0,0,0,-0.22,-0.11,-0.11
76,76,76,2014-07-02 14:00:00,18546.0,0,0,-0.22,-0.11,-0.11
77,77,77,2014-07-02 14:30:00,18593.0,0,0,-0.22,-0.11,-0.11
78,78,78,2014-07-02 15:00:00,17967.0,0,0,-0.22,-0.11,-0.11
79,79,79,2014-07-02 15:30:00,16624.0,0,0,-0.22,-0.11,-0.11
80,80,80,2014-07-02 16:00:00,14634.0,0,0,-0.22,-0.11,-0.11
81,81,81,2014-07-02 16:30:00,13888.0,0,0,-0.22,-0.11,-0.11
82,82,82,2014-07-02 17:00:00,17430.0,0,0,-0.22,-0.11,-0.11
83,83,83,2014-07-02 17:30:00,21919.0,0,0,-0.22,-0.11,-0.11
84,84,84,2014-07-02 18:00:00,23633.0,0,0,-0.22,-0.11,-0.11
85,85,85,2014-07-02 18:30:00,24512.0,0,0,-0.22,-0.11,-0.11
86,86,86,2014-07-02 19:00:00,24887.0,0,0,-0.22,-0.11,-0.11
87,87,87,2014-07-02 19:30:00,26872.0,0,0,-0.22,-0.11,-0.11
88,88,88,2014-07-02 20:00:00,22009.0,0,0,-0.22,-0.11,-0.11
89,89,89,2014-07-02 20:30:00,18259.0,0,0,-0.22,-0.11,-0.11
90,90,90,2014-07-02 21:00:00,20844.0,0,0,-0.22,-0.11,-0.11
91,91,91,2014-07-02 21:30:00,22576.0,0,0,-0.22,-0.11,-0.11
92,92,92,2014-07-02 22:00:00,22401.0,0,0,-0.22,-0.11,-0.11
93,93,93,2014-07-02 22:30:00,19056.0,0,0,-0.22,-0.11,-0.11
94,94,94,2014-07-02 23:00:00,17518.0,0,0,-0.22,-0.11,-0.11
95,95,95,2014-07-02 23:30:00,15307.0,0,0,-0.22,-0.11,-0.11
96,96,96,2014-07-03 00:00:00,12646.0,0,0,-0.22,-0.11,-0.11
97,97,97,2014-07-03 00:30:00,10562.0,0,0,-0.22,-0.11,-0.11
98,98,98,2014-07-03 01:00:00,8416.0,0,0,-0.22,-0.11,-0.11
99,99,99,2014-07-03 01:30:00,7098.0,0,0,-0.22,-0.11,-0.11
100,100,100,2014-07-03 02:00:00,5826.0,0,0,-0.22,-0.11,-0.11
101,101,101,2014-07-03 02:30:00,4383.0,0,0,-0.22,-0.11,-0.11
102,102,102,2014-07-03 03:00:00,3270.0,0,0,-0.22,-0.11,-0.11
103,103,103,2014-07-03 03:30:00,2948.0,0,0,-0.22,-0.11,-0.11
104,104,104,2014-07-03 04:00:00,3146.0,0,0,-0.22,-0.11,-0.11
105,105,105,2014-07-03 04:30:00,3077.0,0,0,-0.22,-0.11,-0.11
106,106,106,2014-07-03 05:00:00,3000.0,0,0,-0.22,-0.11,-0.11
107,107,107,2014-07-03 05:30:00,4592.0,0,0,-0.22,-0.11,-0.11
108,108,108,2014-07-03 06:00:00,6486.0,0,0,-0.22,-0.11,-0.11
109,109,109,2014-07-03 06:30:00,10113.0,0,0,-0.22,-0.11,-0.11
110,110,110,2014-07-03 07:00:00,12240.0,0,0,-0.22,-0.11,-0.11
111,111,111,2014-07-03 07:30:00,14574.0,0,0,-0.22,-0.11,-0.11
112,112,112,2014-07-03 08:00:00,16778.0,0,0,-0.22,-0.11,-0.11
