,Unnamed: 0,Unnamed: 0.1,timestamp,value,anomaly_score,label,S(t)_reward_low_FP_rate,S(t)_reward_low_FN_rate,S(t)_standard
0,0,0,2014-07-06 20:10:00,0.064534524,0,0,-0.22,-0.11,-0.11
1,1,1,2014-07-06 20:15:00,0.064295318,0,0,-0.22,-0.11,-0.11
2,2,2,2014-07-06 20:20:00,0.063879838,0,0,-0.22,-0.11,-0.11
3,3,3,2014-07-06 20:25:00,0.065691833,0,0,-0.22,-0.11,-0.11
4,4,4,2014-07-06 20:35:00,0.056301242,0,0,-0.22,-0.11,-0.11
5,5,5,2014-07-06 20:40:00,0.067750636,0,0,-0.22,-0.11,-0.11
6,6,6,2014-07-06 20:45:00,0.0,0,0,-0.22,-0.11,-0.11
7,7,7,2014-07-06 20:55:00,0.065287908,0,0,-0.22,-0.11,-0.11
8,8,8,2014-07-06 21:00:00,0.063178539,0,0,-0.22,-0.11,-0.11
9,9,9,2014-07-06 21:05:00,0.0,0,0,-0.22,-0.11,-0.11
10,10,10,2014-07-06 21:10:00,0.0,0,0,-0.22,-0.11,-0.11
11,11,11,2014-07-06 21:15:00,0.0,0,0,-0.22,-0.11,-0.11
12,12,12,2014-07-07 16:15:00,0.065932076,0,0,-0.22,-0.11,-0.11
13,13,13,2014-07-07 16:20:00,0.068277308,0,0,-0.22,-0.11,-0.11
14,14,14,2014-07-07 16:25:00,0.0,0,0,-0.22,-0.11,-0.11
15,15,15,2014-07-07 16:35:00,0.062787234,0,0,-0.22,-0.11,-0.11
16,16,16,2014-07-07 16:40:00,0.066577566,0,0,-0.22,-0.11,-0.11
17,17,17,2014-07-07 16:45:00,0.077044715,0,0,-0.22,-0.11,-0.11
18,18,18,2014-07-07 16:50:00,0.075116301,0,0,-0.22,-0.11,-0.11
19,19,19,2014-07-07 16:55:00,0.07199654,0,0,-0.22,-0.11,-0.11
20,20,20,2014-07-07 17:00:00,0.0,0,0,-0.22,-0.11,-0.11
21,21,21,2014-07-07 17:05:00,0.0,0,0,-0.22,-0.11,-0.11
22,22,22,2014-07-07 17:25:00,0.061142873,0,0,-0.22,-0.11,-0.11
23,23,23,2014-07-07 17:30:00,0.0,0,0,-0.22,-0.11,-0.11
24,24,24,2014-07-07 17:35:00,0.04943192,0,0,-0.22,-0.11,-0.11
25,25,25,2014-07-07 17:45:00,0.071269501,0,0,-0.22,-0.11,-0.11
26,26,26,2014-07-07 17:50:00,0.064887449,0,0,-0.22,-0.11,-0.11
27,27,27,2014-07-07 17:55:00,0.079126387,0,0,-0.22,-0.11,-0.11
28,28,28,2014-07-07 18:00:00,0.079692364,0,0,-0.22,-0.11,-0.11
29,29,29,2014-07-07 18:05:00,0.064561804,0,0,-0.22,-0.11,-0.11
30,30,30,2014-07-07 18:10:00,0.076985488,0,0,-0.22,-0.11,-0.11
31,31,31,2014-07-07 18:15:00,0.071985259,0,0,-0.22,-0.11,-0.11
32,32,32,2014-07-07 18:20:00,0.066090552,0,0,-0.22,-0.11,-0.11
33,33,33,2014-07-07 18:25:00,0.064693249,0,0,-0.22,-0.11,-0.11
34,34,34,2014-07-07 18:30:00,0.064608783,0,0,-0.22,-0.11,-0.11
35,35,35,2014-07-07 18:35:00,0.067478103,0,0,-0.22,-0.11,-0.11
36,36,36,2014-07-07 18:40:00,0.069862932,0,0,-0.22,-0.11,-0.11
37,37,37,2014-07-07 18:45:00,0.06589513,0,0,-0.22,-0.11,-0.11
38,38,38,2014-07-07 18:50:00,0.065224467,0,0,-0.22,-0.11,-0.11
39,39,39,2014-07-07 18:55:00,0.058982897,0,0,-0.22,-0.11,-0.11
40,40,40,2014-07-07 19:00:00,0.0,0,0,-0.22,-0.11,-0.11
41,41,41,2014-07-07 19:30:00,0.0,0,0,-0.22,-0.11,-0.11
42,42,42,2014-07-07 20:10:00,0.0,0,0,-0.22,-0.11,-0.11
43,43,43,2014-07-07 20:15:00,0.075375982,0,0,-0.22,-0.11,-0.11
44,44,44,2014-07-07 20:20:00,0.068337687,0,0,-0.22,-0.11,-0.11
45,45,45,2014-07-07 20:25:00,0.077055882,0,0,-0.22,-0.11,-0.11
46,46,46,2014-07-07 20:30:00,0.085102868,0,0,-0.22,-0.11,-0.11
47,47,47,2014-07-07 20:35:00,0.074617078,0,0,-0.22,-0.11,-0.11
48,48,48,2014-07-07 20:40:00,0.073783769,0,0,-0.22,-0.11,-0.11
49,49,49,2014-07-07 20:45:00,0.067219689,0,0,-0.22,-0.11,-0.11
50,50,50,2014-07-07 20:50:00,0.082650582,0,0,-0.22,-0.11,-0.11
51,51,51,2014-07-07 20:55:00,0.071369655,0,0,-0.22,-0.11,-0.11
52,52,52,2014-07-07 21:00:00,0.074396641,0,0,-0.22,-0.11,-0.11
53,53,53,2014-07-07 21:05:00,0.11970953,0,0,-0.22,-0.11,-0.11
54,54,54,2014-07-07 21:10:00,0.067314457,0,0,-0.22,-0.11,-0.11
55,55,55,2014-07-07 21:15:00,0.072558182,0,0,-0.22,-0.11,-0.11
56,56,56,2014-07-07 21:20:00,0.067285087,0,0,-0.22,-0.11,-0.11
57,57,57,2014-07-07 21:25:00,0.070712037,0,0,-0.22,-0.11,-0.11
58,58,58,2014-07-07 21:30:00,0.064641756,0,0,-0.22,-0.11,-0.11
59,59,59,2014-07-07 21:35:00,0.073068096,0,0,-0.22,-0.11,-0.11
60,60,60,2014-07-07 21:40:00,0.070574748,0,0,-0.22,-0.11,-0.11
61,61,61,2014-07-07 21:45:00,0.066541138,0,0,-0.22,-0.11,-0.11
62,62,62,2014-07-07 21:50:00,0.070966409,0,0,-0.22,-0.11,-0.11
