,Unnamed: 0,Unnamed: 0.1,timestamp,value,anomaly_score,label,S(t)_reward_low_FP_rate,S(t)_reward_low_FN_rate,S(t)_standard
0,0,0,2015-07-10 14:24:00,564.0,0,0,-0.22,-0.11,-0.11
1,1,1,2015-07-10 14:38:00,730.0,0,0,-0.22,-0.11,-0.11
2,2,2,2015-07-10 14:48:00,770.0,0,0,-0.22,-0.11,-0.11
3,3,3,2015-07-10 15:03:00,910.0,0,0,-0.22,-0.11,-0.11
4,4,4,2015-07-10 15:22:00,1035.0,0,0,-0.22,-0.11,-0.11
5,5,5,2015-07-10 15:32:00,1065.0,0,0,-0.22,-0.11,-0.11
6,6,6,2015-07-10 15:42:00,953.0,0,0,-0.22,-0.11,-0.11
7,7,7,2015-07-10 15:52:00,1005.0,0,0,-0.22,-0.11,-0.11
8,8,8,2015-07-10 16:02:00,996.0,0,0,-0.22,-0.11,-0.11
9,9,9,2015-07-10 16:12:00,901.0,0,0,-0.22,-0.11,-0.11
10,10,10,2015-07-10 16:22:00,939.0,0,0,-0.22,-0.11,-0.11
11,11,11,2015-07-10 16:32:00,988.0,0,0,-0.22,-0.11,-0.11
12,12,12,2015-07-10 16:42:00,1020.0,0,0,-0.22,-0.11,-0.11
13,13,13,2015-07-10 16:52:00,876.0,0,0,-0.22,-0.11,-0.11
14,14,14,2015-07-10 17:02:00,870.0,0,0,-0.22,-0.11,-0.11
15,15,15,2015-07-10 17:12:00,809.0,0,0,-0.22,-0.11,-0.11
16,16,16,2015-07-10 17:22:00,884.0,0,0,-0.22,-0.11,-0.11
17,17,17,2015-07-10 17:32:00,926.0,0,0,-0.22,-0.11,-0.11
18,18,18,2015-07-10 17:42:00,829.0,0,0,-0.22,-0.11,-0.11
19,19,19,2015-07-10 18:02:00,712.0,0,0,-0.22,-0.11,-0.11
20,20,20,2015-07-10 18:12:00,624.0,0,0,-0.22,-0.11,-0.11
21,21,21,2015-07-10 18:22:00,632.0,0,0,-0.22,-0.11,-0.11
22,22,22,2015-07-10 18:32:00,596.0,0,0,-0.22,-0.11,-0.11
23,23,23,2015-07-10 18:42:00,510.0,0,0,-0.22,-0.11,-0.11
24,24,24,2015-07-10 18:52:00,526.0,0,0,-0.22,-0.11,-0.11
25,25,25,2015-07-10 19:32:00,99.0,0,0,-0.22,-0.11,-0.11
26,26,26,2015-07-10 19:42:00,85.0,0,0,-0.22,-0.11,-0.11
27,27,27,2015-07-10 20:02:00,85.0,0,0,-0.22,-0.11,-0.11
28,28,28,2015-07-10 20:12:00,87.0,0,0,-0.22,-0.11,-0.11
29,29,29,2015-07-10 20:22:00,93.0,0,0,-0.22,-0.11,-0.11
30,30,30,2015-07-10 20:42:00,57.0,0,0,-0.22,-0.11,-0.11
31,31,31,2015-07-10 21:32:00,101.0,0,0,-0.22,-0.11,-0.11
32,32,32,2015-07-11 10:10:00,177.0,0,0,-0.22,-0.11,-0.11
33,33,33,2015-07-11 10:30:00,221.0,0,0,-0.22,-0.11,-0.11
34,34,34,2015-07-11 11:00:00,332.0,0,0,-0.22,-0.11,-0.11
35,35,35,2015-07-11 11:10:00,338.0,0,0,-0.22,-0.11,-0.11
36,36,36,2015-07-11 11:20:00,263.0,0,0,-0.22,-0.11,-0.11
37,37,37,2015-07-11 11:30:00,304.0,0,0,-0.22,-0.11,-0.11
38,38,38,2015-07-11 11:40:00,358.0,0,0,-0.22,-0.11,-0.11
39,39,39,2015-07-11 11:50:00,385.0,0,0,-0.22,-0.11,-0.11
40,40,40,2015-07-11 12:00:00,397.0,0,0,-0.22,-0.11,-0.11
41,41,41,2015-07-11 12:10:00,426.0,0,0,-0.22,-0.11,-0.11
42,42,42,2015-07-11 12:20:00,461.0,0,0,-0.22,-0.11,-0.11
43,43,43,2015-07-11 12:28:00,418.0,0,0,-0.22,-0.11,-0.11
44,44,44,2015-07-11 12:38:00,448.0,0,0,-0.22,-0.11,-0.11
45,45,45,2015-07-11 12:43:00,432.0,0,0,-0.22,-0.11,-0.11
46,46,46,2015-07-11 12:53:00,416.0,0,0,-0.22,-0.11,-0.11
47,47,47,2015-07-11 12:57:00,425.0,0,0,-0.22,-0.11,-0.11
48,48,48,2015-07-11 13:07:00,439.0,0,0,-0.22,-0.11,-0.11
49,49,49,2015-07-11 13:09:00,423.0,0,0,-0.22,-0.11,-0.11
50,50,50,2015-07-11 13:19:00,370.0,0,0,-0.22,-0.11,-0.11
51,51,51,2015-07-11 13:29:00,404.0,0,0,-0.22,-0.11,-0.11
52,52,52,2015-07-11 13:39:00,387.0,0,0,-0.22,-0.11,-0.11
53,53,53,2015-07-11 14:41:00,185.0,0,0,-0.22,-0.11,-0.11
54,54,54,2015-07-11 15:01:00,184.0,0,0,-0.22,-0.11,-0.11
55,55,55,2015-07-11 16:53:00,104.0,0,0,-0.22,-0.11,-0.11
56,56,56,2015-07-11 17:02:00,108.0,0,0,-0.22,-0.11,-0.11
57,57,57,2015-07-11 17:13:00,121.0,0,0,-0.22,-0.11,-0.11
58,58,58,2015-07-11 17:23:00,120.0,0,0,-0.22,-0.11,-0.11
59,59,59,2015-07-11 17:33:00,127.0,0,0,-0.22,-0.11,-0.11
60,60,60,2015-07-11 18:23:00,52.0,0,0,-0.22,-0.11,-0.11
61,61,61,2015-07-12 10:56:00,93.0,0,0,-0.22,-0.11,-0.11
62,62,62,2015-07-12 12:36:00,151.0,0,0,-0.22,-0.11,-0.11
63,63,63,2015-07-12 12:46:00,161.0,0,0,-0.22,-0.11,-0.11
64,64,64,2015-07-12 12:56:00,160.0,0,0,-0.22,-0.11,-0.11
65,65,65,2015-07-12 13:36:00,177.0,0,0,-0.22,-0.11,-0.11
66,66,66,2015-07-12 15:26:00,193.0,0,0,-0.22,-0.11,-0.11
67,67,67,2015-07-12 19:13:00,119.0,0,0,-0.22,-0.11,-0.11
68,68,68,2015-07-13 09:15:00,143.0,0,0,-0.22,-0.11,-0.11
69,69,69,2015-07-13 09:45:00,151.0,0,0,-0.22,-0.11,-0.11
70,70,70,2015-07-13 12:07:00,138.0,0,0,-0.22,-0.11,-0.11
71,71,71,2015-07-13 12:37:00,143.0,0,0,-0.22,-0.11,-0.11
72,72,72,2015-07-13 12:47:00,146.0,0,0,-0.22,-0.11,-0.11
73,73,73,2015-07-13 14:37:00,173.0,0,0,-0.22,-0.11,-0.11
74,74,74,2015-07-13 15:27:00,226.0,0,0,-0.22,-0.11,-0.11
75,75,75,2015-07-13 15:57:00,206.0,0,0,-0.22,-0.11,-0.11
76,76,76,2015-07-13 16:07:00,243.0,0,0,-0.22,-0.11,-0.11
77,77,77,2015-07-13 16:27:00,238.0,0,0,-0.22,-0.11,-0.11
78,78,78,2015-07-13 16:47:00,294.0,0,0,-0.22,-0.11,-0.11
79,79,79,2015-07-13 17:07:00,226.0,0,0,-0.22,-0.11,-0.11
80,80,80,2015-07-13 17:17:00,209.0,0,0,-0.22,-0.11,-0.11
81,81,81,2015-07-13 17:57:00,222.0,0,0,-0.22,-0.11,-0.11
