,Unnamed: 0,Unnamed: 0.1,timestamp,value,anomaly_score,label,S(t)_reward_low_FP_rate,S(t)_reward_low_FN_rate,S(t)_standard
0,0,0,2015-09-01 13:45:00,3.06,0,0,-0.22,-0.11,-0.11
1,1,1,2015-09-01 13:50:00,6.44,0,0,-0.22,-0.11,-0.11
2,2,2,2015-09-01 13:55:00,5.17,0,0,-0.22,-0.11,-0.11
3,3,3,2015-09-01 14:00:00,3.83,0,0,-0.22,-0.11,-0.11
4,4,4,2015-09-01 14:05:00,4.5,0,0,-0.22,-0.11,-0.11
5,5,5,2015-09-01 14:20:00,2.94,0,0,-0.22,-0.11,-0.11
6,6,6,2015-09-01 14:25:00,2.28,0,0,-0.22,-0.11,-0.11
7,7,7,2015-09-01 14:35:00,1.67,0,0,-0.22,-0.11,-0.11
8,8,8,2015-09-01 14:40:00,18.83,0,0,-0.22,-0.11,-0.11
9,9,9,2015-09-01 14:45:00,12.0,0,0,-0.22,-0.11,-0.11
10,10,10,2015-09-01 14:50:00,13.11,0,0,-0.22,-0.11,-0.11
11,11,11,2015-09-01 14:55:00,12.72,0,0,-0.22,-0.11,-0.11
12,12,12,2015-09-01 15:20:00,1.67,0,0,-0.22,-0.11,-0.11
13,13,13,2015-09-01 17:15:00,12.78,0,0,-0.22,-0.11,-0.11
14,14,14,2015-09-01 17:25:00,7.5,0,0,-0.22,-0.11,-0.11
15,15,15,2015-09-01 17:30:00,1.94,0,0,-0.22,-0.11,-0.11
16,16,16,2015-09-01 17:35:00,3.72,0,0,-0.22,-0.11,-0.11
17,17,17,2015-09-01 17:45:00,2.72,0,0,-0.22,-0.11,-0.11
18,18,18,2015-09-01 17:55:00,3.83,0,0,-0.22,-0.11,-0.11
19,19,19,2015-09-01 18:10:00,3.83,0,0,-0.22,-0.11,-0.11
20,20,20,2015-09-01 18:45:00,1.83,0,0,-0.22,-0.11,-0.11
21,21,21,2015-09-01 18:50:00,2.56,0,0,-0.22,-0.11,-0.11
22,22,22,2015-09-01 19:00:00,2.28,0,0,-0.22,-0.11,-0.11
23,23,23,2015-09-01 19:05:00,2.28,0,0,-0.22,-0.11,-0.11
24,24,24,2015-09-01 19:10:00,7.89,0,0,-0.22,-0.11,-0.11
25,25,25,2015-09-01 19:20:00,2.28,0,0,-0.22,-0.11,-0.11
