,Unnamed: 0,Unnamed: 0.1,timestamp,value,anomaly_score,label,S(t)_reward_low_FP_rate,S(t)_reward_low_FN_rate,S(t)_standard
0,0,0,2015-09-08 11:39:00,73.0,0,0,-0.22,-0.11,-0.11
1,1,1,2015-09-08 11:44:00,62.0,0,0,-0.22,-0.11,-0.11
2,2,2,2015-09-08 11:59:00,66.0,0,0,-0.22,-0.11,-0.11
3,3,3,2015-09-08 12:19:00,69.0,0,0,-0.22,-0.11,-0.11
4,4,4,2015-09-08 12:24:00,65.0,0,0,-0.22,-0.11,-0.11
5,5,5,2015-09-08 12:27:00,76.0,0,0,-0.22,-0.11,-0.11
6,6,6,2015-09-08 12:32:00,65.0,0,0,-0.22,-0.11,-0.11
7,7,7,2015-09-08 12:46:00,62.0,0,0,-0.22,-0.11,-0.11
8,8,8,2015-09-08 12:51:00,61.0,0,0,-0.22,-0.11,-0.11
9,9,9,2015-09-08 13:01:00,65.0,0,0,-0.22,-0.11,-0.11
10,10,10,2015-09-08 13:21:00,68.0,0,0,-0.22,-0.11,-0.11
11,11,11,2015-09-08 13:26:00,66.0,0,0,-0.22,-0.11,-0.11
12,12,12,2015-09-08 13:31:00,67.0,0,0,-0.22,-0.11,-0.11
13,13,13,2015-09-08 13:36:00,65.0,0,0,-0.22,-0.11,-0.11
14,14,14,2015-09-08 13:41:00,67.0,0,0,-0.22,-0.11,-0.11
15,15,15,2015-09-08 13:46:00,67.0,0,0,-0.22,-0.11,-0.11
16,16,16,2015-09-08 13:56:00,69.0,0,0,-0.22,-0.11,-0.11
17,17,17,2015-09-08 14:11:00,68.0,0,0,-0.22,-0.11,-0.11
18,18,18,2015-09-08 14:16:00,68.0,0,0,-0.22,-0.11,-0.11
19,19,19,2015-09-08 14:21:00,67.0,0,0,-0.22,-0.11,-0.11
20,20,20,2015-09-08 14:46:00,66.0,0,0,-0.22,-0.11,-0.11
21,21,21,2015-09-08 14:51:00,68.0,0,0,-0.22,-0.11,-0.11
22,22,22,2015-09-08 15:16:00,69.0,0,0,-0.22,-0.11,-0.11
23,23,23,2015-09-08 15:21:00,65.0,0,0,-0.22,-0.11,-0.11
24,24,24,2015-09-08 15:26:00,70.0,0,0,-0.22,-0.11,-0.11
25,25,25,2015-09-08 15:29:00,66.0,0,0,-0.22,-0.11,-0.11
26,26,26,2015-09-08 15:41:00,65.0,0,0,-0.22,-0.11,-0.11
27,27,27,2015-09-08 16:15:00,64.0,0,0,-0.22,-0.11,-0.11
28,28,28,2015-09-08 16:31:00,66.0,0,0,-0.22,-0.11,-0.11
29,29,29,2015-09-08 16:36:00,69.0,0,0,-0.22,-0.11,-0.11
30,30,30,2015-09-08 16:41:00,64.0,0,0,-0.22,-0.11,-0.11
31,31,31,2015-09-08 16:56:00,69.0,0,0,-0.22,-0.11,-0.11
32,32,32,2015-09-08 17:11:00,65.0,0,0,-0.22,-0.11,-0.11
33,33,33,2015-09-08 17:16:00,68.0,0,0,-0.22,-0.11,-0.11
34,34,34,2015-09-08 17:21:00,67.0,0,0,-0.22,-0.11,-0.11
35,35,35,2015-09-08 17:26:00,69.0,0,0,-0.22,-0.11,-0.11
36,36,36,2015-09-08 17:31:00,66.0,0,0,-0.22,-0.11,-0.11
37,37,37,2015-09-08 17:36:00,69.0,0,0,-0.22,-0.11,-0.11
38,38,38,2015-09-08 17:41:00,66.0,0,0,-0.22,-0.11,-0.11
39,39,39,2015-09-08 17:46:00,65.0,0,0,-0.22,-0.11,-0.11
40,40,40,2015-09-08 17:51:00,66.0,0,0,-0.22,-0.11,-0.11
41,41,41,2015-09-08 17:56:00,65.0,0,0,-0.22,-0.11,-0.11
42,42,42,2015-09-08 17:57:00,64.0,0,0,-0.22,-0.11,-0.11
43,43,43,2015-09-08 18:36:00,70.0,0,0,-0.22,-0.11,-0.11
44,44,44,2015-09-08 18:46:00,69.0,0,0,-0.22,-0.11,-0.11
