,Unnamed: 0,Unnamed: 0.1,timestamp,value,anomaly_score,label,S(t)_reward_low_FP_rate,S(t)_reward_low_FN_rate,S(t)_standard
0,0,0,2015-02-26 21:42:53,57.0,0,0,-0.22,-0.11,-0.11
1,1,1,2015-02-26 21:47:53,43.0,0,0,-0.22,-0.11,-0.11
2,2,2,2015-02-26 21:52:53,55.0,0,0,-0.22,-0.11,-0.11
3,3,3,2015-02-26 21:57:53,64.0,0,0,-0.22,-0.11,-0.11
4,4,4,2015-02-26 22:02:53,93.0,0,0,-0.22,-0.11,-0.11
5,5,5,2015-02-26 22:07:53,104.0,0,0,-0.22,-0.11,-0.11
6,6,6,2015-02-26 22:12:53,89.0,0,0,-0.22,-0.11,-0.11
7,7,7,2015-02-26 22:17:53,87.0,0,0,-0.22,-0.11,-0.11
8,8,8,2015-02-26 22:22:53,57.0,0,0,-0.22,-0.11,-0.11
9,9,9,2015-02-26 22:27:53,68.0,0,0,-0.22,-0.11,-0.11
10,10,10,2015-02-26 22:32:53,64.0,0,0,-0.22,-0.11,-0.11
11,11,11,2015-02-26 22:37:53,61.0,0,0,-0.22,-0.11,-0.11
12,12,12,2015-02-26 22:42:53,73.0,0,0,-0.22,-0.11,-0.11
13,13,13,2015-02-26 22:47:53,79.0,0,0,-0.22,-0.11,-0.11
14,14,14,2015-02-26 22:52:53,80.0,0,0,-0.22,-0.11,-0.11
15,15,15,2015-02-26 22:57:53,76.0,0,0,-0.22,-0.11,-0.11
16,16,16,2015-02-26 23:02:53,49.0,0,0,-0.22,-0.11,-0.11
17,17,17,2015-02-26 23:07:53,59.0,0,0,-0.22,-0.11,-0.11
18,18,18,2015-02-26 23:12:53,55.0,0,0,-0.22,-0.11,-0.11
19,19,19,2015-02-26 23:17:53,48.0,0,0,-0.22,-0.11,-0.11
20,20,20,2015-02-26 23:22:53,41.0,0,0,-0.22,-0.11,-0.11
21,21,21,2015-02-26 23:27:53,49.0,0,0,-0.22,-0.11,-0.11
22,22,22,2015-02-26 23:32:53,63.0,0,0,-0.22,-0.11,-0.11
23,23,23,2015-02-26 23:37:53,36.0,0,0,-0.22,-0.11,-0.11
24,24,24,2015-02-26 23:42:53,42.0,0,0,-0.22,-0.11,-0.11
25,25,25,2015-02-26 23:47:53,50.0,0,0,-0.22,-0.11,-0.11
26,26,26,2015-02-26 23:52:53,35.0,0,0,-0.22,-0.11,-0.11
27,27,27,2015-02-26 23:57:53,41.0,0,0,-0.22,-0.11,-0.11
28,28,28,2015-02-27 00:02:53,39.0,0,0,-0.22,-0.11,-0.11
29,29,29,2015-02-27 00:07:53,48.0,0,0,-0.22,-0.11,-0.11
30,30,30,2015-02-27 00:12:53,31.0,0,0,-0.22,-0.11,-0.11
31,31,31,2015-02-27 00:17:53,35.0,0,0,-0.22,-0.11,-0.11
32,32,32,2015-02-27 00:22:53,32.0,0,0,-0.22,-0.11,-0.11
33,33,33,2015-02-27 00:27:53,36.0,0,0,-0.22,-0.11,-0.11
34,34,34,2015-02-27 00:32:53,37.0,0,0,-0.22,-0.11,-0.11
35,35,35,2015-02-27 00:37:53,62.0,0,0,-0.22,-0.11,-0.11
36,36,36,2015-02-27 00:42:53,41.0,0,0,-0.22,-0.11,-0.11
37,37,37,2015-02-27 00:47:53,51.0,0,0,-0.22,-0.11,-0.11
38,38,38,2015-02-27 00:52:53,65.0,0,0,-0.22,-0.11,-0.11
39,39,39,2015-02-27 00:57:53,39.0,0,0,-0.22,-0.11,-0.11
40,40,40,2015-02-27 01:02:53,56.0,0,0,-0.22,-0.11,-0.11
41,41,41,2015-02-27 01:07:53,42.0,0,0,-0.22,-0.11,-0.11
42,42,42,2015-02-27 01:12:53,62.0,0,0,-0.22,-0.11,-0.11
43,43,43,2015-02-27 01:17:53,46.0,0,0,-0.22,-0.11,-0.11
44,44,44,2015-02-27 01:22:53,46.0,0,0,-0.22,-0.11,-0.11
45,45,45,2015-02-27 01:27:53,62.0,0,0,-0.22,-0.11,-0.11
46,46,46,2015-02-27 01:32:53,41.0,0,0,-0.22,-0.11,-0.11
47,47,47,2015-02-27 01:37:53,40.0,0,0,-0.22,-0.11,-0.11
48,48,48,2015-02-27 01:42:53,47.0,0,0,-0.22,-0.11,-0.11
49,49,49,2015-02-27 01:47:53,48.0,0,0,-0.22,-0.11,-0.11
50,50,50,2015-02-27 01:52:53,43.0,0,0,-0.22,-0.11,-0.11
51,51,51,2015-02-27 01:57:53,41.0,0,0,-0.22,-0.11,-0.11
52,52,52,2015-02-27 02:02:53,55.0,0,0,-0.22,-0.11,-0.11
53,53,53,2015-02-27 02:07:53,90.0,0,0,-0.22,-0.11,-0.11
54,54,54,2015-02-27 02:12:53,79.0,0,0,-0.22,-0.11,-0.11
55,55,55,2015-02-27 02:17:53,57.0,0,0,-0.22,-0.11,-0.11
56,56,56,2015-02-27 02:22:53,43.0,0,0,-0.22,-0.11,-0.11
57,57,57,2015-02-27 02:27:53,39.0,0,0,-0.22,-0.11,-0.11
58,58,58,2015-02-27 02:32:53,57.0,0,0,-0.22,-0.11,-0.11
59,59,59,2015-02-27 02:37:53,56.0,0,0,-0.22,-0.11,-0.11
60,60,60,2015-02-27 02:42:53,102.0,0,0,-0.22,-0.11,-0.11
61,61,61,2015-02-27 02:47:53,85.0,0,0,-0.22,-0.11,-0.11
62,62,62,2015-02-27 02:52:53,79.0,0,0,-0.22,-0.11,-0.11
63,63,63,2015-02-27 02:57:53,82.0,0,0,-0.22,-0.11,-0.11
64,64,64,2015-02-27 03:02:53,60.0,0,0,-0.22,-0.11,-0.11
65,65,65,2015-02-27 03:07:53,47.0,0,0,-0.22,-0.11,-0.11
66,66,66,2015-02-27 03:12:53,43.0,0,0,-0.22,-0.11,-0.11
67,67,67,2015-02-27 03:17:53,49.0,0,0,-0.22,-0.11,-0.11
68,68,68,2015-02-27 03:22:53,60.0,0,0,-0.22,-0.11,-0.11
69,69,69,2015-02-27 03:27:53,55.0,0,0,-0.22,-0.11,-0.11
70,70,70,2015-02-27 03:32:53,63.0,0,0,-0.22,-0.11,-0.11
71,71,71,2015-02-27 03:37:53,57.0,0,0,-0.22,-0.11,-0.11
72,72,72,2015-02-27 03:42:53,61.0,0,0,-0.22,-0.11,-0.11
73,73,73,2015-02-27 03:47:53,59.0,0,0,-0.22,-0.11,-0.11
74,74,74,2015-02-27 03:52:53,35.0,0,0,-0.22,-0.11,-0.11
75,75,75,2015-02-27 03:57:53,69.0,0,0,-0.22,-0.11,-0.11
76,76,76,2015-02-27 04:02:53,48.0,0,0,-0.22,-0.11,-0.11
77,77,77,2015-02-27 04:07:53,47.0,0,0,-0.22,-0.11,-0.11
78,78,78,2015-02-27 04:12:53,44.0,0,0,-0.22,-0.11,-0.11
79,79,79,2015-02-27 04:17:53,47.0,0,0,-0.22,-0.11,-0.11
80,80,80,2015-02-27 04:22:53,51.0,0,0,-0.22,-0.11,-0.11
81,81,81,2015-02-27 04:27:53,54.0,0,0,-0.22,-0.11,-0.11
82,82,82,2015-02-27 04:32:53,41.0,0,0,-0.22,-0.11,-0.11
83,83,83,2015-02-27 04:37:53,53.0,0,0,-0.22,-0.11,-0.11
84,84,84,2015-02-27 04:42:53,49.0,0,0,-0.22,-0.11,-0.11
85,85,85,2015-02-27 04:47:53,23.0,0,0,-0.22,-0.11,-0.11
86,86,86,2015-02-27 04:52:53,31.0,0,0,-0.22,-0.11,-0.11
87,87,87,2015-02-27 04:57:53,38.0,0,0,-0.22,-0.11,-0.11
88,88,88,2015-02-27 05:02:53,57.0,0,0,-0.22,-0.11,-0.11
89,89,89,2015-02-27 05:07:53,56.0,0,0,-0.22,-0.11,-0.11
90,90,90,2015-02-27 05:12:53,70.0,0,0,-0.22,-0.11,-0.11
91,91,91,2015-02-27 05:17:53,57.0,0,0,-0.22,-0.11,-0.11
92,92,92,2015-02-27 05:22:53,64.0,0,0,-0.22,-0.11,-0.11
93,93,93,2015-02-27 05:27:53,79.0,0,0,-0.22,-0.11,-0.11
94,94,94,2015-02-27 05:32:53,65.0,0,0,-0.22,-0.11,-0.11
95,95,95,2015-02-27 05:37:53,70.0,0,0,-0.22,-0.11,-0.11
96,96,96,2015-02-27 05:42:53,51.0,0,0,-0.22,-0.11,-0.11
97,97,97,2015-02-27 05:47:53,43.0,0,0,-0.22,-0.11,-0.11
98,98,98,2015-02-27 05:52:53,60.0,0,0,-0.22,-0.11,-0.11
99,99,99,2015-02-27 05:57:53,49.0,0,0,-0.22,-0.11,-0.11
100,100,100,2015-02-27 06:02:53,37.0,0,0,-0.22,-0.11,-0.11
101,101,101,2015-02-27 06:07:53,54.0,0,0,-0.22,-0.11,-0.11
102,102,102,2015-02-27 06:12:53,58.0,0,0,-0.22,-0.11,-0.11
103,103,103,2015-02-27 06:17:53,67.0,0,0,-0.22,-0.11,-0.11
104,104,104,2015-02-27 06:22:53,72.0,0,0,-0.22,-0.11,-0.11
105,105,105,2015-02-27 06:27:53,49.0,0,0,-0.22,-0.11,-0.11
106,106,106,2015-02-27 06:32:53,45.0,0,0,-0.22,-0.11,-0.11
107,107,107,2015-02-27 06:37:53,48.0,0,0,-0.22,-0.11,-0.11
108,108,108,2015-02-27 06:42:53,29.0,0,0,-0.22,-0.11,-0.11
109,109,109,2015-02-27 06:47:53,23.0,0,0,-0.22,-0.11,-0.11
110,110,110,2015-02-27 06:52:53,26.0,0,0,-0.22,-0.11,-0.11
111,111,111,2015-02-27 06:57:53,28.0,0,0,-0.22,-0.11,-0.11
112,112,112,2015-02-27 07:02:53,27.0,0,0,-0.22,-0.11,-0.11
113,113,113,2015-02-27 07:07:53,18.0,0,0,-0.22,-0.11,-0.11
114,114,114,2015-02-27 07:12:53,37.0,0,0,-0.22,-0.11,-0.11
115,115,115,2015-02-27 07:17:53,35.0,0,0,-0.22,-0.11,-0.11
116,116,116,2015-02-27 07:22:53,25.0,0,0,-0.22,-0.11,-0.11
117,117,117,2015-02-27 07:27:53,28.0,0,0,-0.22,-0.11,-0.11
118,118,118,2015-02-27 07:32:53,27.0,0,0,-0.22,-0.11,-0.11
119,119,119,2015-02-27 07:37:53,35.0,0,0,-0.22,-0.11,-0.11
120,120,120,2015-02-27 07:42:53,41.0,0,0,-0.22,-0.11,-0.11
121,121,121,2015-02-27 07:47:53,34.0,0,0,-0.22,-0.11,-0.11
122,122,122,2015-02-27 07:52:53,42.0,0,0,-0.22,-0.11,-0.11
123,123,123,2015-02-27 07:57:53,58.0,0,0,-0.22,-0.11,-0.11
124,124,124,2015-02-27 08:02:53,59.0,0,0,-0.22,-0.11,-0.11
125,125,125,2015-02-27 08:07:53,27.0,0,0,-0.22,-0.11,-0.11
126,126,126,2015-02-27 08:12:53,49.0,0,0,-0.22,-0.11,-0.11
127,127,127,2015-02-27 08:17:53,52.0,0,0,-0.22,-0.11,-0.11
128,128,128,2015-02-27 08:22:53,25.0,0,0,-0.22,-0.11,-0.11
129,129,129,2015-02-27 08:27:53,36.0,0,0,-0.22,-0.11,-0.11
130,130,130,2015-02-27 08:32:53,31.0,0,0,-0.22,-0.11,-0.11
131,131,131,2015-02-27 08:37:53,23.0,0,0,-0.22,-0.11,-0.11
132,132,132,2015-02-27 08:42:53,24.0,0,0,-0.22,-0.11,-0.11
133,133,133,2015-02-27 08:47:53,10.0,0,0,-0.22,-0.11,-0.11
134,134,134,2015-02-27 08:52:53,27.0,0,0,-0.22,-0.11,-0.11
135,135,135,2015-02-27 08:57:53,32.0,0,0,-0.22,-0.11,-0.11
136,136,136,2015-02-27 09:02:53,17.0,0,0,-0.22,-0.11,-0.11
137,137,137,2015-02-27 09:07:53,33.0,0,0,-0.22,-0.11,-0.11
138,138,138,2015-02-27 09:12:53,40.0,0,0,-0.22,-0.11,-0.11
139,139,139,2015-02-27 09:17:53,25.0,0,0,-0.22,-0.11,-0.11
140,140,140,2015-02-27 09:22:53,16.0,0,0,-0.22,-0.11,-0.11
141,141,141,2015-02-27 09:27:53,24.0,0,0,-0.22,-0.11,-0.11
142,142,142,2015-02-27 09:32:53,37.0,0,0,-0.22,-0.11,-0.11
143,143,143,2015-02-27 09:37:53,34.0,0,0,-0.22,-0.11,-0.11
144,144,144,2015-02-27 09:42:53,60.0,0,0,-0.22,-0.11,-0.11
145,145,145,2015-02-27 09:47:53,57.0,0,0,-0.22,-0.11,-0.11
146,146,146,2015-02-27 09:52:53,62.0,0,0,-0.22,-0.11,-0.11
147,147,147,2015-02-27 09:57:53,56.0,0,0,-0.22,-0.11,-0.11
148,148,148,2015-02-27 10:02:53,68.0,0,0,-0.22,-0.11,-0.11
149,149,149,2015-02-27 10:07:53,54.0,0,0,-0.22,-0.11,-0.11
150,150,150,2015-02-27 10:12:53,49.0,0,0,-0.22,-0.11,-0.11
151,151,151,2015-02-27 10:17:53,42.0,0,0,-0.22,-0.11,-0.11
152,152,152,2015-02-27 10:22:53,39.0,0,0,-0.22,-0.11,-0.11
153,153,153,2015-02-27 10:27:53,50.0,0,0,-0.22,-0.11,-0.11
154,154,154,2015-02-27 10:32:53,47.0,0,0,-0.22,-0.11,-0.11
155,155,155,2015-02-27 10:37:53,30.0,0,0,-0.22,-0.11,-0.11
156,156,156,2015-02-27 10:42:53,40.0,0,0,-0.22,-0.11,-0.11
157,157,157,2015-02-27 10:47:53,45.0,0,0,-0.22,-0.11,-0.11
158,158,158,2015-02-27 10:52:53,37.0,0,0,-0.22,-0.11,-0.11
159,159,159,2015-02-27 10:57:53,58.0,0,0,-0.22,-0.11,-0.11
160,160,160,2015-02-27 11:02:53,35.0,0,0,-0.22,-0.11,-0.11
161,161,161,2015-02-27 11:07:53,46.0,0,0,-0.22,-0.11,-0.11
162,162,162,2015-02-27 11:12:53,37.0,0,0,-0.22,-0.11,-0.11
163,163,163,2015-02-27 11:17:53,35.0,0,0,-0.22,-0.11,-0.11
164,164,164,2015-02-27 11:22:53,50.0,0,0,-0.22,-0.11,-0.11
165,165,165,2015-02-27 11:27:53,27.0,0,0,-0.22,-0.11,-0.11
166,166,166,2015-02-27 11:32:53,54.0,0,0,-0.22,-0.11,-0.11
167,167,167,2015-02-27 11:37:53,51.0,0,0,-0.22,-0.11,-0.11
168,168,168,2015-02-27 11:42:53,41.0,0,0,-0.22,-0.11,-0.11
169,169,169,2015-02-27 11:47:53,50.0,0,0,-0.22,-0.11,-0.11
170,170,170,2015-02-27 11:52:53,90.0,0,0,-0.22,-0.11,-0.11
171,171,171,2015-02-27 11:57:53,55.0,0,0,-0.22,-0.11,-0.11
172,172,172,2015-02-27 12:02:53,57.0,0,0,-0.22,-0.11,-0.11
173,173,173,2015-02-27 12:07:53,57.0,0,0,-0.22,-0.11,-0.11
174,174,174,2015-02-27 12:12:53,71.0,0,0,-0.22,-0.11,-0.11
175,175,175,2015-02-27 12:17:53,35.0,0,0,-0.22,-0.11,-0.11
176,176,176,2015-02-27 12:22:53,28.0,0,0,-0.22,-0.11,-0.11
177,177,177,2015-02-27 12:27:53,32.0,0,0,-0.22,-0.11,-0.11
178,178,178,2015-02-27 12:32:53,32.0,0,0,-0.22,-0.11,-0.11
179,179,179,2015-02-27 12:37:53,60.0,0,0,-0.22,-0.11,-0.11
180,180,180,2015-02-27 12:42:53,32.0,0,0,-0.22,-0.11,-0.11
181,181,181,2015-02-27 12:47:53,47.0,0,0,-0.22,-0.11,-0.11
182,182,182,2015-02-27 12:52:53,38.0,0,0,-0.22,-0.11,-0.11
183,183,183,2015-02-27 12:57:53,46.0,0,0,-0.22,-0.11,-0.11
184,184,184,2015-02-27 13:02:53,54.0,0,0,-0.22,-0.11,-0.11
185,185,185,2015-02-27 13:07:53,56.0,0,0,-0.22,-0.11,-0.11
186,186,186,2015-02-27 13:12:53,63.0,0,0,-0.22,-0.11,-0.11
187,187,187,2015-02-27 13:17:53,67.0,0,0,-0.22,-0.11,-0.11
188,188,188,2015-02-27 13:22:53,68.0,0,0,-0.22,-0.11,-0.11
189,189,189,2015-02-27 13:27:53,61.0,0,0,-0.22,-0.11,-0.11
190,190,190,2015-02-27 13:32:53,44.0,0,0,-0.22,-0.11,-0.11
191,191,191,2015-02-27 13:37:53,57.0,0,0,-0.22,-0.11,-0.11
192,192,192,2015-02-27 13:42:53,61.0,0,0,-0.22,-0.11,-0.11
193,193,193,2015-02-27 13:47:53,55.0,0,0,-0.22,-0.11,-0.11
194,194,194,2015-02-27 13:52:53,66.0,0,0,-0.22,-0.11,-0.11
195,195,195,2015-02-27 13:57:53,87.0,0,0,-0.22,-0.11,-0.11
196,196,196,2015-02-27 14:02:53,68.0,0,0,-0.22,-0.11,-0.11
197,197,197,2015-02-27 14:07:53,73.0,0,0,-0.22,-0.11,-0.11
198,198,198,2015-02-27 14:12:53,66.0,0,0,-0.22,-0.11,-0.11
199,199,199,2015-02-27 14:17:53,73.0,0,0,-0.22,-0.11,-0.11
