,Unnamed: 0,Unnamed: 0.1,timestamp,value,anomaly_score,label,S(t)_reward_low_FP_rate,S(t)_reward_low_FN_rate,S(t)_standard
0,0,0,2015-02-26 21:42:53,0.0,0,0,-0.22,-0.11,-0.11
1,1,1,2015-02-26 21:47:53,0.0,0,0,-0.22,-0.11,-0.11
2,2,2,2015-02-26 21:52:53,0.0,0,0,-0.22,-0.11,-0.11
3,3,3,2015-02-26 21:57:53,0.0,0,0,-0.22,-0.11,-0.11
4,4,4,2015-02-26 22:02:53,0.0,0,0,-0.22,-0.11,-0.11
5,5,5,2015-02-26 22:07:53,0.0,0,0,-0.22,-0.11,-0.11
6,6,6,2015-02-26 22:12:53,0.0,0,0,-0.22,-0.11,-0.11
7,7,7,2015-02-26 22:17:53,0.0,0,0,-0.22,-0.11,-0.11
8,8,8,2015-02-26 22:22:53,0.0,0,0,-0.22,-0.11,-0.11
9,9,9,2015-02-26 22:27:53,1.0,0,0,-0.22,-0.11,-0.11
10,10,10,2015-02-26 22:32:53,1.0,0,0,-0.22,-0.11,-0.11
11,11,11,2015-02-26 22:37:53,0.0,0,0,-0.22,-0.11,-0.11
12,12,12,2015-02-26 22:42:53,1.0,0,0,-0.22,-0.11,-0.11
13,13,13,2015-02-26 22:47:53,0.0,0,0,-0.22,-0.11,-0.11
14,14,14,2015-02-26 22:52:53,0.0,0,0,-0.22,-0.11,-0.11
15,15,15,2015-02-26 22:57:53,0.0,0,0,-0.22,-0.11,-0.11
16,16,16,2015-02-26 23:02:53,0.0,0,0,-0.22,-0.11,-0.11
17,17,17,2015-02-26 23:07:53,1.0,0,0,-0.22,-0.11,-0.11
18,18,18,2015-02-26 23:12:53,1.0,0,0,-0.22,-0.11,-0.11
19,19,19,2015-02-26 23:17:53,1.0,0,0,-0.22,-0.11,-0.11
20,20,20,2015-02-26 23:22:53,0.0,0,0,-0.22,-0.11,-0.11
21,21,21,2015-02-26 23:27:53,0.0,0,0,-0.22,-0.11,-0.11
22,22,22,2015-02-26 23:32:53,1.0,0,0,-0.22,-0.11,-0.11
23,23,23,2015-02-26 23:37:53,0.0,0,0,-0.22,-0.11,-0.11
24,24,24,2015-02-26 23:42:53,0.0,0,0,-0.22,-0.11,-0.11
25,25,25,2015-02-26 23:47:53,0.0,0,0,-0.22,-0.11,-0.11
