,Unnamed: 0,Unnamed: 0.1,timestamp,value,anomaly_score
0,0,0,2015-09-01 11:25:00,58,0.0
1,1,1,2015-09-01 11:30:00,63,0.0
2,2,2,2015-09-01 11:35:00,63,0.0
3,3,3,2015-09-01 11:40:00,64,0.0
4,4,4,2015-09-01 11:55:00,58,0.0
5,5,5,2015-09-01 12:00:00,63,0.0
6,6,6,2015-09-01 12:05:00,60,0.0
7,7,7,2015-09-01 12:10:00,60,0.0
8,8,8,2015-09-01 12:15:00,62,0.0
9,9,9,2015-09-01 12:20:00,62,0.0
10,10,10,2015-09-01 12:25:00,59,0.0
11,11,11,2015-09-01 12:30:00,65,0.0
12,12,12,2015-09-01 12:35:00,60,0.0
13,13,13,2015-09-01 12:45:00,63,0.0
14,14,14,2015-09-01 12:50:00,53,0.0
15,15,15,2015-09-01 12:55:00,62,0.0
16,16,16,2015-09-01 13:05:00,60,0.0
17,17,17,2015-09-01 13:10:00,60,0.0
18,18,18,2015-09-01 13:15:00,61,0.0
19,19,19,2015-09-01 13:20:00,61,0.0
20,20,20,2015-09-01 13:25:00,59,0.0
21,21,21,2015-09-01 13:35:00,63,0.0
22,22,22,2015-09-01 13:45:00,65,0.0
23,23,23,2015-09-01 13:50:00,59,0.0
24,24,24,2015-09-01 14:00:00,62,0.0
25,25,25,2015-09-01 14:05:00,58,0.0
26,26,26,2015-09-01 14:10:00,57,0.0
27,27,27,2015-09-01 14:15:00,64,0.0
28,28,28,2015-09-01 14:30:00,58,0.0
29,29,29,2015-09-01 14:35:00,62,0.0
30,30,30,2015-09-01 14:40:00,63,0.0
31,31,31,2015-09-01 14:50:00,62,0.0
32,32,32,2015-09-01 14:55:00,63,0.0
33,33,33,2015-09-01 15:00:00,66,0.0
34,34,34,2015-09-01 15:05:00,55,0.0
35,35,35,2015-09-01 15:10:00,59,0.0
36,36,36,2015-09-01 15:25:00,59,0.0
37,37,37,2015-09-01 15:30:00,59,0.0
