,Unnamed: 0,Unnamed: 0.1,timestamp,value,anomaly_score
0,0,0,2015-02-26 21:42:53,11,0.0
1,1,1,2015-02-26 21:47:53,10,0.0
2,2,2,2015-02-26 21:52:53,3,0.0
3,3,3,2015-02-26 21:57:53,4,0.0
4,4,4,2015-02-26 22:02:53,9,0.0
5,5,5,2015-02-26 22:07:53,2,0.0
6,6,6,2015-02-26 22:12:53,4,0.0
7,7,7,2015-02-26 22:17:53,7,0.0
8,8,8,2015-02-26 22:22:53,5,0.0
9,9,9,2015-02-26 22:27:53,10,0.0
10,10,10,2015-02-26 22:32:53,4,0.0
11,11,11,2015-02-26 22:37:53,6,0.0
12,12,12,2015-02-26 22:42:53,6,0.0
13,13,13,2015-02-26 22:47:53,2,0.0
14,14,14,2015-02-26 22:52:53,2,0.0
15,15,15,2015-02-26 22:57:53,9,0.0
16,16,16,2015-02-26 23:02:53,10,0.0
17,17,17,2015-02-26 23:07:53,4,0.0
18,18,18,2015-02-26 23:12:53,5,0.0
19,19,19,2015-02-26 23:17:53,4,0.0
20,20,20,2015-02-26 23:22:53,4,0.0
21,21,21,2015-02-26 23:27:53,6,0.0
22,22,22,2015-02-26 23:32:53,5,0.0
23,23,23,2015-02-26 23:37:53,2,0.0
24,24,24,2015-02-26 23:42:53,1,0.0
25,25,25,2015-02-26 23:47:53,5,0.0
26,26,26,2015-02-26 23:52:53,5,0.0
27,27,27,2015-02-26 23:57:53,9,0.0
28,28,28,2015-02-27 00:02:53,3,0.0
29,29,29,2015-02-27 00:07:53,5,0.0
30,30,30,2015-02-27 00:12:53,1,0.0
31,31,31,2015-02-27 00:17:53,3,0.0
32,32,32,2015-02-27 00:22:53,2,0.0
33,33,33,2015-02-27 00:27:53,1,0.0
34,34,34,2015-02-27 00:32:53,0,0.0
35,35,35,2015-02-27 00:37:53,3,0.0
36,36,36,2015-02-27 00:42:53,2,0.0
37,37,37,2015-02-27 00:47:53,3,0.0
38,38,38,2015-02-27 00:52:53,1,0.0
39,39,39,2015-02-27 00:57:53,5,0.0
40,40,40,2015-02-27 01:02:53,2,0.0
41,41,41,2015-02-27 01:07:53,7,0.0
42,42,42,2015-02-27 01:12:53,4,0.0
43,43,43,2015-02-27 01:17:53,7,0.0
44,44,44,2015-02-27 01:22:53,1,0.0
45,45,45,2015-02-27 01:27:53,5,0.0
46,46,46,2015-02-27 01:32:53,1,0.0
47,47,47,2015-02-27 01:37:53,0,0.0
48,48,48,2015-02-27 01:42:53,3,0.0
49,49,49,2015-02-27 01:47:53,2,0.0
50,50,50,2015-02-27 01:52:53,2,0.0
51,51,51,2015-02-27 01:57:53,5,0.0
52,52,52,2015-02-27 02:02:53,0,0.0
53,53,53,2015-02-27 02:07:53,2,0.0
54,54,54,2015-02-27 02:12:53,2,0.0
55,55,55,2015-02-27 02:17:53,2,0.0
56,56,56,2015-02-27 02:22:53,5,0.0
57,57,57,2015-02-27 02:27:53,4,0.0
58,58,58,2015-02-27 02:32:53,0,0.0
59,59,59,2015-02-27 02:37:53,2,0.0
60,60,60,2015-02-27 02:42:53,2,0.0
61,61,61,2015-02-27 02:47:53,4,0.0
62,62,62,2015-02-27 02:52:53,2,0.0
63,63,63,2015-02-27 02:57:53,0,0.0
64,64,64,2015-02-27 03:02:53,2,0.0
65,65,65,2015-02-27 03:07:53,2,0.0
66,66,66,2015-02-27 03:12:53,3,0.0
67,67,67,2015-02-27 03:17:53,1,0.0
68,68,68,2015-02-27 03:22:53,3,0.0
69,69,69,2015-02-27 03:27:53,2,0.0
70,70,70,2015-02-27 03:32:53,3,0.0
71,71,71,2015-02-27 03:37:53,1,0.0
72,72,72,2015-02-27 03:42:53,2,0.0
73,73,73,2015-02-27 03:47:53,4,0.0
74,74,74,2015-02-27 03:52:53,1,0.0
75,75,75,2015-02-27 03:57:53,1,0.0
76,76,76,2015-02-27 04:02:53,2,0.0
77,77,77,2015-02-27 04:07:53,0,0.0
78,78,78,2015-02-27 04:12:53,1,0.0
79,79,79,2015-02-27 04:17:53,0,0.0
80,80,80,2015-02-27 04:22:53,2,0.0
81,81,81,2015-02-27 04:27:53,2,0.0
82,82,82,2015-02-27 04:32:53,1,0.0
83,83,83,2015-02-27 04:37:53,2,0.0
84,84,84,2015-02-27 04:42:53,1,0.0
