,Unnamed: 0,Unnamed: 0.1,timestamp,value,anomaly_score
0,0,0,2015-02-26 21:42:53,8,0.0
1,1,1,2015-02-26 21:47:53,8,0.0
2,2,2,2015-02-26 21:52:53,5,0.0
3,3,3,2015-02-26 21:57:53,13,0.0
4,4,4,2015-02-26 22:02:53,22,0.0
5,5,5,2015-02-26 22:07:53,17,0.0
6,6,6,2015-02-26 22:12:53,12,0.0
7,7,7,2015-02-26 22:17:53,7,0.0
8,8,8,2015-02-26 22:22:53,10,0.0
9,9,9,2015-02-26 22:27:53,13,0.0
10,10,10,2015-02-26 22:32:53,6,0.0
11,11,11,2015-02-26 22:37:53,10,0.0
12,12,12,2015-02-26 22:42:53,17,0.0
13,13,13,2015-02-26 22:47:53,8,0.0
14,14,14,2015-02-26 22:52:53,7,0.0
15,15,15,2015-02-26 22:57:53,11,0.0
16,16,16,2015-02-26 23:02:53,11,0.0
17,17,17,2015-02-26 23:07:53,10,0.0
18,18,18,2015-02-26 23:12:53,6,0.0
19,19,19,2015-02-26 23:17:53,7,0.0
20,20,20,2015-02-26 23:22:53,16,0.0
21,21,21,2015-02-26 23:27:53,5,0.0
22,22,22,2015-02-26 23:32:53,11,0.0
23,23,23,2015-02-26 23:37:53,9,0.0
24,24,24,2015-02-26 23:42:53,22,0.0
25,25,25,2015-02-26 23:47:53,4,0.0
26,26,26,2015-02-26 23:52:53,14,0.0
27,27,27,2015-02-26 23:57:53,21,0.0
28,28,28,2015-02-27 00:02:53,9,0.0
29,29,29,2015-02-27 00:07:53,9,0.0
30,30,30,2015-02-27 00:12:53,6,0.0
31,31,31,2015-02-27 00:17:53,7,0.0
32,32,32,2015-02-27 00:22:53,7,0.0
33,33,33,2015-02-27 00:27:53,6,0.0
34,34,34,2015-02-27 00:32:53,15,0.0
35,35,35,2015-02-27 00:37:53,10,0.0
36,36,36,2015-02-27 00:42:53,7,0.0
37,37,37,2015-02-27 00:47:53,6,0.0
38,38,38,2015-02-27 00:52:53,9,0.0
39,39,39,2015-02-27 00:57:53,8,0.0
40,40,40,2015-02-27 01:02:53,13,0.0
41,41,41,2015-02-27 01:07:53,7,0.0
42,42,42,2015-02-27 01:12:53,5,0.0
43,43,43,2015-02-27 01:17:53,7,0.0
44,44,44,2015-02-27 01:22:53,16,0.0
45,45,45,2015-02-27 01:27:53,7,0.0
46,46,46,2015-02-27 01:32:53,12,0.0
47,47,47,2015-02-27 01:37:53,10,0.0
48,48,48,2015-02-27 01:42:53,7,0.0
49,49,49,2015-02-27 01:47:53,9,0.0
50,50,50,2015-02-27 01:52:53,11,0.0
51,51,51,2015-02-27 01:57:53,26,0.0
