Time,DATE_R,TIME_R,AC_TYPE,FLIGHT_PHASE,LDGNOS,N11,N12,ALT_STD,ALT_QNH,RALTC,GSC,IAS,VRTG,LONG,LATG,IVV,FPA,DRIFT,HEAD,LONG_AIR,LAT_AIR,CITY_FROM_R,CITY_TO_R,WIN_SPDR,WIN_DIR,AP_EGD1,AP_EGD2,PITCH_CPT,PITCH_FO,ROLL_CPT,ROLL_FO,RUDD,ELEVR,ELEVL,FLAP1,FLAP2,SPOILL,SPOILR,SPOIL_POS_NO3,SPOIL_POS4_R,SPOIL_POS9_R,SPOIL_POS_NO10,TAT,VIB_N11,VIB_N12,VIB_N21,VIB_N22,EGT1,EGT2,GW,CWS_PITCH_R,CWS_ROLL_R,TIME_R,DATE_R
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Recorded Date,Recorded Time,A/C Type Ref,Flight phase computed on ground,NOSE GEAR AIR/GND,LEFT ENG N1 SELECTED,RIGHT ENG N1 SELECTED,ALTITUDE (1013.25mB),Altitude QNH,Radio altitude corrected,Ground speed (corrected),COMPUTED AIRSPEED,Vertical Acceleration,Longitudinal Acceleration,Lateral Acceleration,Inertial vertical speed,,DRIFT ANGLE,CAPTAIN'S DISPLAY HEADING,Air path - Longitude,Air path - Latitude,City Pair From     char #4:/062/  char #3 to #1:/061/ ,City Pair To   char #4 to #2:/063/  char #1:/062/ ,WIND SPEED,WIND DIRECTION TRUE,Auto-Pilot 1 Engaged,Auto-Pilot 2 Engaged,Captain Control Column Position,F/O Control Column Position,Control Wheel Position Captain,Control Wheel Position F/O,Rudder Position,Elevator Position Right,Elevator Position Left,T.E. FLAP POSN-LEFT,T.E. FLAP POSN-RIGHT,SPOILER POSITION Left,SPOILER POSITION Right,Spoiler # 3 Position,Spoiler # 4 Position,Spoiler # 9 Position,Spoiler # 10 Position,Total Air Temperature,TN1 TRACKED VIB LEFT,TN1 TRACKED VIB RIGHT,TN2 TRACKED VIB LEFT,TN2 TRACKED VIB RIGHT,SELECTED EGT (T495) #1,SELECTED EGT (T495) #2,GROSS WEIGHT,CWS PITCH,CWS ROLL,Recorded Time,Recorded Date
,,,,,,%,%,feet,feet,feet,knot,knot,g,g,g,ft/min,,deg,deg,deg,deg,,,knot,deg,,,,,,,deg,,,deg,deg,deg,deg,,deg,deg,,deg C,,,,,deg C,deg C,lb,,,,
5:28:45,00/00/00,0:00:00,64,TAXI OUT,GROUND,0,9.8,6485,-21180,0,0,45,0.997,-0.009,0.0051,0,,-22.5,167.34,0.2099,0.6516,,,,0,0,0,0.15,0.26,0.35,0.35,0.1,3.5,3.85,,,0,0,0,0,-0.18,0,10.75,0,0,0,0.03,0,290,,-,-,0:00:00,00/00/00
5:28:46,00/00/00,0:00:00,64,TAXI OUT,GROUND,0,10.4,6486,-21179,0,0,45,0.997,-0.009,0.0051,0,,37.354,167.34,0.2099,0.6516,,,99.5,0,0,0,0.15,0.26,0.35,0.35,0.1,3.5,3.85,,,0,0,0,0,-0.18,0,10.5,0,0,0,0.06,317,303,,-,-,0:00:00,00/00/00
5:28:47,00/00/00,0:00:00,64,TAXI OUT,GROUND,0,11,6487,-21178,0,0,45,0.997,-0.009,0.0051,0,,0,167.34,0.2099,25.1292,,,,166.29,0,0,0.15,0.26,0.35,0.35,0.1,3.5,3.85,0,,0,0,0,0,-0.18,0,10.75,0,0,0,0.08,768,315,,-,-,0:00:00,00/00/00
5:28:48,00/00/00,5:28:42,64,TAXI OUT,GROUND,0,11.6,6486,-21099.5,0,0,45,0.997,-0.009,0.0051,0,,36.211,167.34,102.9541,25.261,,,,166.29,0,0,0.15,0.26,0.35,0.35,0.1,3.5,3.85,,0.01,0,0,0,0,-0.18,0,10.75,0,0,0,0.08,317,327,0,-,-,5:28:42,00/00/00
5:28:49,00/00/00,5:28:42,64,TAXI OUT,GROUND,0,12.4,6486,-21099.5,0,0,45,0.997,-0.009,0.0051,-10,,-22.5,167.34,102.8662,25.261,,,,166.29,0,0,0.15,0.26,0.35,0.35,0.1,3.5,3.85,,,0,0,0,0,-0.18,0,10.5,0,0,0,0.06,0,339,,-,-,5:28:42,00/00/00
5:28:50,00/00/00,5:28:42,64,TAXI OUT,GROUND,0,13,6485,-21100.5,0,0,45,0.997,-0.009,0.0051,-17,,35.068,167.34,102.8662,25.261,,,99.5,166.29,0,0,0.15,0.26,0.35,0.35,0.1,3.5,3.85,,,0,0,0,0,-0.18,0,10.5,0,0,0,0.04,317,350,,-,-,5:28:42,00/00/00
5:28:51,00/00/00,5:28:42,64,TAXI OUT,GROUND,0,13.6,6485,-21100.5,0,0,45,0.997,-0.009,0.0051,-21,,0,167.34,102.8662,25.1292,,,,166.29,0,0,0.15,0.26,0.35,0.35,0.1,3.5,3.85,0,,0,0,0,0,-0.18,0,10.5,0,0,0,0.03,768,361,,-,-,5:28:42,00/00/00
