,N12,anomaly_score
0,9.8,0.0
1,10.4,0.0
2,11,0.0
3,11.6,0.0
4,12.4,0.0
5,13,0.0
6,13.6,0.0
7,14.4,0.0
8,15.1,0.0
9,15.9,0.0
10,16.5,0.0
11,17.3,0.0
12,18,0.0
13,18.6,0.0
14,19.3,0.0
15,19.9,0.0
16,20.5,0.0
17,21.3,0.0
18,22,0.0
19,22.9,0.0
20,24.1,0.0
21,24.6,0.0
22,24.8,0.0
23,24.5,0.0
24,24.6,0.0
25,24.6,0.0
26,24.6,0.0
27,24.4,0.0
28,24.3,0.0
29,24.1,0.0
30,24.1,0.0
31,24.1,0.0
32,24.1,0.0
33,24.1,0.0
34,24.1,0.0
35,24.1,0.0
36,24,0.0
37,24,0.0
38,24,0.0
39,24,0.0
40,24.1,0.0
41,24.1,0.0
42,24.1,0.0
43,24.1,0.0
44,24.3,0.0
45,24.1,0.0
46,24.1,0.0
47,24.1,0.0
48,24.1,0.0
49,24.3,0.0
50,24.4,0.0
51,24.3,0.0
52,24.3,0.0
53,24.4,0.0
54,24.4,0.0
55,24.4,0.0
56,24.4,0.0
57,24.4,0.0
58,24.3,0.0
59,24.3,0.0
60,24.1,0.0
61,24.3,0.0
62,24.3,0.0
63,24.1,0.0
64,24.1,0.0
65,24.1,0.0
66,24.1,0.0
67,24.1,0.0
68,24.3,0.0
69,24.1,0.0
70,24.3,0.0
71,24.4,0.0
72,24.5,0.0
73,24.5,0.0
74,24.5,0.0
75,24.5,5.714082959795697e-06
76,24.4,5.623371956975376e-06
77,24.4,5.9436719367367274e-06
78,24.4,6.4955128342703006e-06
79,24.4,7.3275073680934e-06
80,24.3,8.9956797297841e-06
81,24.1,1.4353605045314133e-05
82,24,1.5198401943083972e-05
83,23.9,1.2237640235279734e-05
84,24,9.856967728039123e-06
85,23.9,7.870414928223823e-06
86,23.9,6.454703164071596e-06
87,23.9,6.012819636858069e-06
88,23.9,6.592520664816526e-06
89,24,8.499042936982448e-06
90,24,1.2118070758182498e-05
91,24.4,1.7970514033405216e-05
92,25.1,2.676020487368813e-05
93,26.6,3.8917670186155995e-05
94,28.9,5.4189690339323526e-05
95,32,3.5732711910374526e-05
96,36.5,1.5381051741925056e-05
97,37.3,1.5654016823019035e-05
98,36.4,1.957540990671358e-05
99,36.3,1.8149029615388557e-05
100,36.4,1.4958753700278216e-05
101,36.4,1.3518700036296849e-05
102,36.4,1.5868612251668246e-05
103,36.4,2.473189963769773e-05
104,36.4,4.6080744099286086e-05
105,36.4,8.33167082956443e-05
106,36.4,0.00011453207692480039
107,36.5,0.00012358332181638954
108,35.6,0.00011590316330245543
109,33.8,0.00010027221130826103
110,31.6,8.41488185338024e-05
111,29.8,7.263406084390134e-05
112,28,6.576633642241259e-05
113,26,5.999457077077164e-05
114,25,5.27267210588267e-05
115,24.6,4.588790344139948e-05
116,24.5,5.4829576478954145e-05
117,24.5,9.018656058668029e-05
118,24.5,0.00012004827122413797
119,24.5,0.00012921080233974092
120,24.5,0.00012769377105426027
121,24.5,0.00012435162595303417
122,24.5,0.00012287860854720556
123,24.5,0.00012300689819799704
124,24.6,0.00012353801758768768
125,24.6,0.00012276772233321687
126,24.6,0.00011985831920635626
127,24.6,0.0001141998174659653
128,24.6,0.00010570254617303654
129,24.6,9.618221059226606e-05
130,24.6,8.75103986313075e-05
131,24.5,8.073788642293245e-05
132,24.5,7.607541635790138e-05
133,24.5,7.322225861328135e-05
134,24.5,7.174861797276666e-05
135,24.5,7.125654169559681e-05
136,24.5,7.174145818411581e-05
137,24.5,7.345972091477027e-05
138,24.5,7.676749660590065e-05
139,24.5,8.212519058381496e-05
140,24.5,8.981062067703327e-05
141,24.5,9.947193694936907e-05
142,24.5,0.00010969852725672968
143,24.6,0.00011817361463994924
144,24.6,0.00012199127806122867
145,24.5,0.0001191035629952708
146,24.6,0.0001098222239104274
147,24.6,9.82948440791942e-05
148,24.6,9.368495523176534e-05
149,24.6,9.575565970898481e-05
150,24.8,0.00010019035285602218
151,24.6,0.00010247102867522173
152,24.6,9.409511626301548e-05
153,24.6,6.616107913259839e-05
154,24.6,3.883535272930505e-05
155,24.8,3.987976346242483e-05
156,24.6,5.156685619678303e-05
157,24.6,6.004071299259284e-05
158,24.6,6.322596100316602e-05
159,24.6,6.367914182037193e-05
160,24.6,6.561075059241528e-05
161,24.6,7.529235903058762e-05
162,24.6,8.69506970049283e-05
163,24.6,9.339642901684542e-05
164,24.6,8.682817601224357e-05
165,24.6,6.147131068545697e-05
166,24.6,3.0914138769322363e-05
167,24.6,1.4138492939408387e-05
168,24.8,8.16950685467166e-06
169,24.8,7.495482536312714e-06
170,24.8,9.118361905535721e-06
171,24.6,1.0888950296106259e-05
172,24.6,1.169845517967616e-05
173,24.6,1.2337135290474421e-05
174,24.6,1.3431607213898467e-05
175,24.8,1.406487154165248e-05
176,24.8,1.3995118221199476e-05
177,24.8,2.6202949879539084e-05
178,24.8,1.7514296380749528e-05
179,24.8,1.0703690362046103e-05
180,24.8,6.007724492662625e-06
181,24.8,3.0851496602979367e-06
182,24.8,1.4155375630542366e-06
183,24.6,6.650399102525739e-07
184,24.6,3.907504080302715e-07
185,24.6,3.15072308576525e-07
186,24.8,3.039415722438932e-07
