Time,DATE_R,TIME_R,AC_TYPE,FLIGHT_PHASE,LDGNOS,N11,N12,ALT_STD2,ALT_QNH,RALTC,GSC,IAS_1,VRTG,LONG,LATG,IVV,FPA_SEL,DRIFT,HEAD,LONG_AIR,LAT_AIR,CITY_FROM_R,CITY_TO_R,WIN_SPDR,WIN_DIR,AP_EGD1,AP_EGD2,PITCH_CPT,PITCH_FO,ROLL_CPT,ROLL_FO,RUDD,ELEVL,ELEVR,FLAP,SPOIL_R2,SPOIL_R3,SPOIL_R4,SPOIL_R5,TAT,VIB_N1FNT1,VIB_N1FNT2,VIB_N2FNT1,VIB_N2FNT2,EGT1,EGT2,GW,TIME_R,DATE_R
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Recorded Date,Recorded Time,A/C Type Ref,Flight phase computed on ground,NOSE LANDING GEAR COMPRESSED SYS. 1,N1 ACTUAL (LOW ROTOR SPEED) SYS. 1,N1 ACTUAL (LOW ROTOR SPEED) SYS. 2,,Altitude QNH,Radio Altitude  (corrected),Ground speed (corrected),,NORMAL ACCELERATION SYS. 1,LONGITUDINAL ACCELERATION SYS. 1,LATERAL ACCELERATION SYS. 1,Vertical Speed computed on ground,SELECTED FPA,DRIFT ANGLE SYS. 1,MAGNETIC HEADING,Air path - Longitude,Air path - Latitude,DEPARTURE AIRPORT,City pair TO,WIND SPEED,WIND DIRECTION - TRUE,AP1 ENGAGED SYS. 1,AP2 ENGAGED SYS. 1,PITCH CAPT CMD POSITION,PITCH F/O CMD POSITION,ROLL CAPT CMD POSITION,ROLL F/O CMD POSITION,RUDDER POSITION SYS. 1,ELEVATOR POSITION LEFT SYS. 1,ELEVATOR POSITION RIGHT SYS. 1,FLAP ACTUAL POSITION,RH SPL 2 POSITION SYS. 2,RH SPL 3 POSITION SYS. 2,,RH SPL 5 POSITION SYS. 2,TOTAL AIR TEMPERATURE,N1 VIB ENG 1 BRG1 OR TRF SYS. 1,N1 VIB ENG 2 BRG1 OR TRF SYS. 1,N2 VIB ENG 1 BRG1 OR TRF SYS. 1,N2 VIB ENG 1 BRG1 OR TRF SYS. 1,IAE EGT LPT EXIT TEMP SYS. 1,IAE EGT LPT EXIT TEMP SYS. 2,GROSS WEIGHT (KGS.),Recorded Time,Recorded Date
,,,,,,%,%,,feet,feet,knot,,g,g,g,ft/min,deg,deg,deg,deg,deg,,,knot,deg,,,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,,deg,deg C,%,%,%,%,deg C,deg C,kg,,
11:41:58,00/00/00,00:00:00, 20,ENG. STOP,GROUND,   0.0,   0.0,,-28117.0,    0.0,  0.00,, 0.977, 0.000, -0.0039,    0,   0.0,,274.92,   0.0000, 32.0976,,, 59.00,268.59,N,NOFALT, 22.41,  0.00, -0.09, -0.35, -0.8,  17,  17,  0.00,   0,   0,,   0,, 0.0, 0.0, 0.0, 0.0,   0.00,   0.00,,00:00:00,00/00/00
11:41:59,26/01/16,00:00:00, 20,ENG. STOP,GROUND,   0.0,   0.0,,-28117.0,    0.0,  0.00,, 0.965,-0.004, -0.0039,    0,   0.0,,274.92,   0.0000, 32.0976,ZSNT,,,268.59,N,NOFALT, 22.41,  0.00, -0.09, -0.35, -0.8,  17,  17,  0.00,   0,   0,,   0,  7.50, 0.0, 0.0, 0.0, 0.0,   0.00,   0.00,     0,00:00:00,26/01/16
11:42:00,26/01/16,00:00:00, 20,ENG. STOP,GROUND,   0.0,   0.0,,-28117.0,    0.0,  0.00,, 0.977, 0.000, -0.0039,    0,   0.0,  0.000,274.92, 120.9798, 32.0976,,,,268.59,N,NOFALT, 22.41,  0.00, -0.09, -0.35, -0.7,  17,  17,  0.00,   0,   0,,   0,, 0.0, 0.0, 0.0, 0.0,   0.00,   0.00,,00:00:00,26/01/16
11:42:01,26/01/16,11:42:01, 20,ENG. STOP,GROUND,   0.0,   0.0,,-28117.0,    0.0,  0.00,, 0.965,-0.004, -0.0078,    0,   0.0,,274.92, 120.9798, 32.0976,,ZLXY,,268.59,N,NOFALT, 22.41,  0.00, -0.09, -0.35, -0.8,  17,  17,  0.00,   0,   0,,   0,  7.50, 0.0, 0.0, 0.0, 0.0,   0.00,   0.00,     0,11:42:01,26/01/16
11:42:02,26/01/16,11:42:01, 20,ENG. STOP,GROUND,   0.0,   0.0,,-28117.0,    0.0,  0.00,, 0.977,-0.004, -0.0039,    0,   0.0,,274.92, 120.9798, 32.0976,,, 59.00,268.59,N,NOFALT, 22.41,  0.00, -0.09, -0.35, -0.7,  17,  17,  0.00,   0,   0,,   0,, 0.0, 0.0, 0.0, 0.0,   0.00,   0.00,,11:42:01,26/01/16
11:42:03,26/01/16,11:42:01, 20,ENG. STOP,GROUND,   0.0,   0.0,,   12.27,    0.0,  0.00,, 0.977, 0.000, -0.0039,    0,   0.0,,274.92, 120.9798, 32.0976,ZSNT,,,268.59,N,NOFALT, 22.41,  0.00, -0.09, -0.35, -0.8,  17,  17,  0.00,   0,   0,,   0,  7.50, 0.0, 0.0, 0.0, 0.0,   0.00,   0.00,     0,11:42:01,26/01/16
11:42:04,26/01/16,11:42:01, 20,ENG. STOP,GROUND,   0.0,   0.0,,   12.27,    0.0,  0.00,, 0.965, 0.000, -0.0039,    0,   0.0,  0.000,274.92, 120.9798, 32.0976,,,,268.59,N,NOFALT, 22.41,  0.00, -0.09, -0.35, -0.7,  17,  17,  0.00,   0,   0,,   0,, 0.0, 0.0, 0.0, 0.0,   0.00,   0.00,,11:42:01,26/01/16
11:42:05,26/01/16,11:42:05, 20,ENG. STOP,GROUND,   0.0,   0.0,,   12.27,    0.0,  0.00,, 0.977,-0.004, -0.0078,    0,   0.0,,274.92, 120.9798, 32.0976,,ZLXY,,268.59,N,NOFALT, 22.32,  0.00, -0.09, -0.35, -0.7,  17,  17,  0.00,   0,   0,,   0,  7.50, 0.0, 0.0, 0.0, 0.0,   0.00,   0.00,     0,11:42:05,26/01/16
11:42:06,26/01/16,11:42:05, 20,ENG. STOP,GROUND,   0.0,   0.0,,   12.27,    0.0,  0.00,, 0.977,-0.004, -0.0039,    0,   0.0,,274.92, 120.9798, 32.0976,,, 59.00,268.59,N,NOFALT, 22.41,  0.00, -0.09, -0.35, -0.8,  17,  17,  0.00,   0,   0,,   0,, 0.0, 0.0, 0.0, 0.0,   0.00,   0.00,,11:42:05,26/01/16
11:42:07,26/01/16,11:42:05, 20,ENG. STOP,GROUND,   0.0,   0.0,,   12.27,    0.0,  0.00,, 0.977,-0.004, -0.0039,    0,   0.0,,274.92, 120.9798, 32.0976,ZSNT,,,268.59,N,NOFALT, 22.41,  0.00, -0.09, -0.35, -0.8,  17,  17,  0.00,   0,   0,,   0,  7.50, 0.0, 0.0, 0.0, 0.0,   0.00,   0.00,     0,11:42:05,26/01/16
11:42:08,26/01/16,11:42:05, 20,ENG. STOP,GROUND,   0.0,   0.0,,   12.27,    0.0,  0.00,, 0.977, 0.000, -0.0039,    0,   0.0,  0.000,274.92, 120.9798, 32.0976,,,,268.59,N,NOFALT, 22.41,  0.00, -0.09, -0.35, -0.8,  17,  17,  0.00,   0,   0,,   0,, 0.0, 0.0, 0.0, 0.0,   0.00,   0.00,,11:42:05,26/01/16
11:42:09,26/01/16,11:42:09, 20,ENG. STOP,GROUND,   0.0,   0.0,,   12.27,    0.0,  0.00,, 0.977, 0.000, -0.0039,    0,   0.0,,274.92, 120.9798, 32.0976,,ZLXY,,268.59,N,NOFALT, 22.41,  0.00, -0.09, -0.35, -0.8,  17,  17,  0.00,   0,   0,,   0,  7.50, 0.0, 0.0, 0.0, 0.0,   0.00,   0.00,     0,11:42:09,26/01/16
11:42:10,26/01/16,11:42:09, 20,ENG. STOP,GROUND,   0.0,   0.0,,   12.27,    0.0,  0.00,, 0.977,-0.004, -0.0039,    0,   0.0,,274.92, 120.9798, 32.0976,,, 59.00,268.59,N,NOFALT, 22.32,  0.00, -0.09, -0.35, -0.8,  17,  17,  0.00,   0,   0,,   0,, 0.0, 0.0, 0.0, 0.0,   0.00,   0.00,,11:42:09,26/01/16
11:42:11,26/01/16,11:42:09, 20,ENG. STOP,GROUND,   0.0,   0.0,,   12.27,    0.0,  0.00,, 0.977, 0.000, -0.0039,    0,   0.0,,274.92, 120.9798, 32.0976,ZSNT,,,268.59,N,NOFALT, 22.32,  0.00, -0.09, -0.35, -0.8,  17,  17,  0.00,   0,   0,,   0,  7.50, 0.0, 0.0, 0.0, 0.0,   0.00,   0.00,     0,11:42:09,26/01/16
11:42:12,26/01/16,11:42:09, 20,ENG. STOP,GROUND,   0.0,   0.0,,   12.27,    0.0,  0.00,, 0.977,-0.004, -0.0039,    0,   0.0,  0.000,274.92, 120.9798, 32.0976,,,,268.59,N,NOFALT, 22.41,  0.00, -0.09, -0.35, -0.8,  17,  17,  0.00,   0,   0,,   0,, 0.0, 0.0, 0.0, 0.0,   0.00,   0.00,,11:42:09,26/01/16
11:42:13,26/01/16,11:42:13, 20,ENG. STOP,GROUND,   0.0,   0.0,,   12.27,    0.0,  0.00,, 0.965,-0.004, -0.0039,    0,   0.0,,274.92, 120.9798, 32.0976,,ZLXY,,268.59,N,NOFALT, 22.32,  0.00, -0.09, -0.35, -0.8,  17,  17,  0.00,   0,   0,,   0,  7.75, 0.0, 0.0, 0.0, 0.0,   0.00,   0.00,     0,11:42:13,26/01/16
11:42:14,26/01/16,11:42:13, 20,ENG. STOP,GROUND,   0.0,   0.0,,   12.27,    0.0,  0.00,, 0.977, 0.000, -0.0039,    0,   0.0,,274.92, 120.9798, 32.0976,,, 59.00,268.59,N,NOFALT, 22.32,  0.00, -0.09, -0.35, -0.8,  17,  17,  0.00,   0,   0,,   0,, 0.0, 0.0, 0.0, 0.0,   0.00,   0.00,,11:42:13,26/01/16
